"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[5,1]",66.1492444444444,23.2440192483933,34,49,61,79,122,1.17995201161647,16
"N.A[6,1]",114.558666666667,38.9340293692132,59,87,108,135,209,1.09811155221159,26
"N.A[7,1]",330.272888888889,98.5294975580594,177,259,318,386,560,1.0956077418703,27
"N.A[8,1]",114.316148148148,42.4149483527449,58,85,105,133,223,1.09507544711435,34
"N.A[9,1]",81.4653037037037,25.8314216542749,44,63,77,95,143,1.04341838704408,80
"N.A[10,1]",80.8,25.0689765209889,45,63,77,94,141,1.04993985460388,49
"N.A[11,1]",236.421481481481,64.1572779468381,139,191,227,272,387,1.02761635122472,86
"N.A[12,1]",979.689333333333,340.063432113301,487,731,917,1170,1795,1.13439754682483,21
"N.A[13,1]",858.745274074074,258.496703706588,503,679,813,981,1516.274934268,1.12906472693725,22
"N.A[14,1]",211.477807407407,59.2488445402765,122,169,202.499382715109,244,353,1.06040328985883,39
"N.A[15,1]",2278.30948148148,628.878283185664,1313,1834,2186,2620,3783,1.01429232922413,190
"N.A[16,1]",2140.72877037037,506.907136385731,1279,1779,2083,2460,3271.2749695292,1.00264845873007,34000
"N.A[17,1]",3288.04305185185,1122.27397316957,1880.72494698672,2536,3067,3761,6156.27498380796,1.10888320878066,28
"N.A[18,1]",490.886222222222,146.345438738043,276,387,466,567,843,1.04780204674057,53
"N.A[19,1]",171.891437037037,45.6971306184212,102,139,165,197,279,1.03196432346551,69
"N.A[20,1]",1823.21552592593,503.891447065068,1063,1464,1742,2112,3017,1.02301014200751,100
"N.A[21,1]",2190.91866666667,666.820241310549,1243,1730,2083,2531,3745,1.02435435853951,88
"N.A[22,1]",2418.75081481481,615.42094166966,1415,1957,2362,2817,3770,1.04859020403814,46
"N.A[23,1]",2316.74951111111,576.824156849538,1355,1893,2264,2681,3576,1.02032063623739,110
"N.A[24,1]",2129.0501037037,656.951039360486,1163,1662,2020.49993813412,2467,3688,1.02166141006291,150
"N.A[25,1]",3701.10151111111,1053.02419320348,2135,2902,3550,4322,6185,1.01332784509224,240
"N.A[26,1]",1623.15822222222,486.418459628126,868,1285,1552,1897,2708.2749631956,1.12370633441581,21
"N.A[27,1]",471.322933333333,150.854802157418,250,365,447,551,832,1.07252309397337,33
"N.A[28,1]",227.60322962963,71.6276864272227,123,176,216,267,399,1.07307493471265,34
"N.A[5,2]",47.3549925925926,23.1591685265157,17,31,42,59,105,1.21857626116856,13
"N.A[6,2]",165.638696296296,45.8927310972832,94,132,160,193,270,1.07248623294345,34
"N.A[7,2]",306.647851851852,96.8327958385709,160,239,292,358,547,1.13288900685571,21
"N.A[8,2]",87.778162962963,38.6239234685669,37,61,80,105,184,1.07111073437396,40
"N.A[9,2]",65.667437037037,25.2037625309599,29,48,61,79,127,1.03645202146729,66
"N.A[10,2]",71.5316148148148,27.1059925050462,32,52,67,86,136,1.0907670578461,27
"N.A[11,2]",230.38557037037,67.28554848258,131,182,220,266,395,1.03036012725709,80
"N.A[12,2]",1058.02634074074,335.673979865333,563,814,1000,1240,1885.27494713151,1.11342218598068,25
"N.A[13,2]",673.343644444444,194.813425096924,386,536,640,776,1153,1.13166942702541,21
"N.A[14,2]",221.675081481481,57.8706311886883,131,180,214,254,357.274721212201,1.08280841783332,30
"N.A[15,2]",2659.95887407407,598.572156992989,1699,2230,2585,3024,4021,1.02153087426344,100
"N.A[16,2]",1738.72373333333,419.029954703764,1010,1432,1709,2016,2605,1.00961177426404,370
"N.A[17,2]",2644.21994074074,851.254367178704,1496.72493338289,2065,2479,3023,4913,1.13842963160948,24
"N.A[18,2]",434.376148148148,125.946804808179,241,348,416,500,733,1.04959176514437,47
"N.A[19,2]",146.219525925926,45.0487656504392,79,114,139,171,253,1.03255573254133,67
"N.A[20,2]",2221.40954074074,540.1747899319,1305,1834,2188,2560,3384,1.03097513770215,71
"N.A[21,2]",2294.87662222222,546.427427682861,1422,1888,2228,2653,3482,1.00764312781597,300
