"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",40.8432444444444,7.19330511824581,28,36,40,45,56,1.14514684018687,31
"N.A[2,1]",2.32991111111111,1.57960001911092,0,1,2,3,6,1.02015650411373,190
"N.A[3,1]",3.18666666666667,1.68748132622723,1,2,3,4,7,1.01989124103068,190
"N.A[4,1]",7.27035555555556,2.79515644606971,3,5,7,9,14,1.09389243202601,44
"N.A[5,1]",43.9329333333333,5.99871757040153,33,40,44,48,57,1.01222197126852,310
"N.A[6,1]",272.969466666667,36.7212614614133,206,247,271,297,349,1.14803447546474,30
"N.A[7,1]",144.711022222222,18.3164413798869,113,132,144,156,185,1.10619516250463,40
"N.A[8,1]",80.4,13.2176156958384,59,71,79,89,110,1.11635160997609,37
"N.A[9,1]",953.304711111111,109.099102250046,733,881,954,1030,1167,1.19074845938133,26
"N.A[10,1]",817.472,89.3953354204407,643,757,816,879,993,1.21601999529226,23
"N.A[11,1]",676.008355555556,58.4776044726642,575,635,670,710,813,1.40472772533973,15
"N.A[12,1]",149.163244444444,17.1625068808571,119,137,148,160,187,1.11416771570678,36
"N.A[13,1]",57.7700444444444,11.5592883808331,40,49,56,64,86,1.3893507188351,15
"N.A[14,1]",618.164933333333,57.1676804870616,508,579,617,657,730,1.2317537330228,21
"N.A[15,1]",978.401466666667,115.522207952917,763,902,972,1047,1230,1.19739517405078,25
"N.A[16,1]",1433.9656,225.108637207603,994,1278,1424,1588,1895,1.20965019232759,24
"N.A[17,1]",1348.91328888889,199.345774702541,964,1209,1340,1486,1766,1.24733979727088,20
"N.A[18,1]",589.009688888889,56.1063204231291,490,550,586,623,716,1.28071065248178,19
"N.A[19,1]",2763.87946666667,829.990684543441,1348,2149,2581,3492,4314.52497110031,1.35806935296042,15
"N.A[20,1]",466.196044444444,45.71140279833,387,433,463,497,562,1.20965703153852,23
"N.A[21,1]",143.556977777778,20.681252561139,108,129,142,156,189,1.0505232219279,97
"N.A[1,2]",77.9356444444444,12.1061588958105,56,69,77,86,104,1.22718088321919,21
"N.A[2,2]",6.76942222222222,2.51263540995499,3,5,7,8,12,1.05538151454397,72
"N.A[3,2]",12.7345777777778,2.23427731775247,9,11,12,14,18,1.07314871114518,56
"N.A[4,2]",13.888,5.35286595375233,6,10,13,17,26,1.21487214921752,22
"N.A[5,2]",54.8679555555556,7.85491324124259,41,49,54,60,72,1.02367893196846,170
"N.A[6,2]",374.033333333333,57.2735771005692,271,334,371,411,494,1.13551073485635,33
"N.A[7,2]",234.203244444444,33.360042936037,178,210,232,255,307,1.12672987795667,34
"N.A[8,2]",99.7395111111111,19.015154016035,70,86,97,111,143,1.130025950327,34
"N.A[9,2]",1302.25448888889,153.035318306341,991,1200,1307,1411,1592,1.17969009086156,27
"N.A[10,2]",1079.45542222222,122.908618776907,843,995,1079,1165,1324,1.20892627538678,23
"N.A[11,2]",852.747022222222,77.6075623417723,716,800,846,898,1035,1.41950727834899,14
"N.A[12,2]",173.310977777778,23.2352633975497,134,157,171,188,225,1.10152354194154,40
"N.A[13,2]",70.5524444444444,19.104587117356,44,57,67,79,119,1.54846594174069,12
"N.A[14,2]",837.890222222222,82.8153258030787,678,780,838,896,997,1.23293292264534,21
"N.A[15,2]",1286.41257777778,153.85974303617,999,1185,1280,1377,1608,1.18066492117351,27
"N.A[16,2]",1700.19471111111,271.172366211179,1180,1515,1686,1880,2266,1.20721989779951,24
"N.A[17,2]",1413.66933333333,213.508759729794,1013,1265,1403,1555,1869,1.24633468422795,21
"N.A[18,2]",810.380088888889,76.3158959983813,675,757,807,859,974.524872048664,1.25399568736688,20
"N.A[19,2]",3232.47524444444,978.485300649137,1575,2500,3030.49995875268,4080,5067,1.38034736777892,15
"N.A[20,2]",639.6916,66.7877459204091,523.474761823221,591,634,685,777,1.19076040335029,25
"N.A[21,2]",124.685288888889,21.7614461234742,89,109,122,138,173,1.08642185181975,57
"N.A[1,3]",107.1444,15.9532516373975,79,96,106,117,142,1.18803430075674,25
"N.A[2,3]",5.92137777777778,3.01979422732421,3,4,5,7,14,1.02412755504904,160
"N.A[3,3]",24.8936,6.07980351440835,16,21,24,28,39,1.08990389899056,46
"N.A[4,3]",24.0621777777778,6.57114633413222,14,19,23,28,40,1.1307461754331,33
"N.A[5,3]",75.5044888888889,10.1902619921869,58,68,75,82,98,1.01751028371917,220
"N.A[6,3]",441.227244444444,58.8245751478437,337,400,438,479,564,1.12929767831565,34
"N.A[7,3]",348.531422222222,41.1530295125277,277,319,345,374,439,1.11576430429463,37
"N.A[8,3]",117.883955555556,19.782038246846,87,104,115,129,163,1.1022515657132,42
"N.A[9,3]",1221.07266666667,140.747230637517,939,1127,1222,1320,1497,1.17716155257498,27
"N.A[10,3]",1274.87333333333,141.902032118676,1001,1178,1274,1371,1556,1.2091235987061,23
"N.A[11,3]",1118.48146666667,95.4286367213873,954,1053,1110,1174,1345,1.41108197397365,15
"N.A[12,3]",246.517733333333,26.7282907346634,201,227,244,263,305,1.09478236838919,42
"N.A[13,3]",82.1715111111111,17.7675094521987,56,70,79,91,126,1.40629411416577,15
"N.A[14,3]",810.427955555556,79.3393983553042,660,755,808,864,968.52487125598,1.21794475094889,22
"N.A[15,3]",1003.834,125.617188609428,778,918,996,1079,1279,1.17248112259648,28
"N.A[16,3]",1918.52693333333,301.332849569275,1340,1710,1906,2120,2532,1.20221545018943,24
"N.A[17,3]",1807.17964444444,271.211986609805,1299,1619,1799,1989,2372,1.2491171744465,20
"N.A[18,3]",709.0168,68.9229934310342,589,660,704,752,861,1.23904200472727,21
"N.A[19,3]",3414.91204444444,1029.21649689964,1682.4749258919,2646,3198,4282.24997810901,5338,1.3599190659143,15
"N.A[20,3]",628.983911111111,63.3216578038647,520,582,624,672,761,1.18402432988593,25
"N.A[21,3]",131.428533333333,20.6358048256377,97,117,129,144,178,1.0488722608304,94
"N.A[1,4]",135.079866666667,20.7789265505956,98,121,134,148,179.524305328517,1.21530299377447,22
"N.A[2,4]",28.5786666666667,7.3546715349071,17,23,28,33,46,1.08277572848454,49
"N.A[3,4]",22.1452444444444,6.66411201568025,12,17,21,26,38,1.12453460705009,35
"N.A[4,4]",10.9953333333333,3.53794056242657,6,8,10,13,19,1.13705808645522,32
"N.A[5,4]",74.5872888888889,10.2071995322354,57,67,74,81,96,1.01762306364467,220
"N.A[6,4]",369.847377777778,56.3256059667266,270,330,365,406,489,1.12768478792953,34
"N.A[7,4]",317.639822222222,39.1723358116594,250,290,315,342,404,1.10794039538579,39
"N.A[8,4]",80.1559111111111,16.4035472318019,55,68,78,90,118,1.08852546481587,47
"N.A[9,4]",1108.80555555556,141.847455310451,824,1013,1108,1207,1390,1.16787844726413,29
"N.A[10,4]",1105.78577777778,122.005705666416,873,1020,1103,1191,1348,1.20300640534344,24
"N.A[11,4]",957.585555555556,83.0551694736649,814,901,951,1005,1151,1.39357578260501,15
"N.A[12,4]",185.664444444444,22.598162395793,147,170,184,199,236,1.0975714714889,42
"N.A[13,4]",68.7804444444444,15.4348834803702,46,58,66,77,106.523829127282,1.38553950052391,15
"N.A[14,4]",747.193911111111,73.4874155110356,608,696,744,797,894,1.21435330181623,22
"N.A[15,4]",958.068044444444,121.206364300579,737,876,951,1029,1222,1.17385378747915,28
"N.A[16,4]",1667.50808888889,262.228860984985,1164,1487,1658,1843,2207,1.20490014773759,24
"N.A[17,4]",1687.52306666667,259.658294384348,1201,1504,1675,1862,2234,1.24714112146965,20
"N.A[18,4]",660.789155555556,66.7313608860952,545,613,656,702,807,1.24433413947132,20
"N.A[19,4]",3318.63786666667,999.477176615947,1634,2574,3104,4150,5225,1.36342632000235,15
"N.A[20,4]",605.794044444444,62.7286071475492,498,560,601,647,738,1.1891090397314,25
"N.A[21,4]",100.200533333333,17.0485240101057,72,88,98,111,139,1.04720038021777,99
"N.A[1,5]",101.621688888889,17.9586071315769,70,89,100,113,141,1.21349162767443,23
"N.A[2,5]",11.6209333333333,4.28381082389228,5,9,11,14,21,1.06650136295091,61
"N.A[3,5]",15.2061333333333,5.64810235451876,6,11,14,18,28,1.1169683587153,37
"N.A[4,5]",21.7465777777778,7.58228484336229,10,16,21,26,40,1.145175131322,30
"N.A[5,5]",67.3196888888889,10.9297004862387,48,60,67,74,91,1.01820234819555,210
"N.A[6,5]",397.172666666667,54.838543402263,300,358,394,433,512,1.12911684062243,34
"N.A[7,5]",235.471555555556,31.7626850696211,181,213,233,255,306,1.10136704664223,42
"N.A[8,5]",93.9090222222222,16.0017232733597,69,82,92,103,130,1.08431064376002,49
"N.A[9,5]",1181.6724,140.70436271813,902,1087,1184,1280,1456,1.17609322244767,28
"N.A[10,5]",794.130133333333,96.3935679480608,611,727,791,859,991,1.18840696699179,25
"N.A[11,5]",640.163066666667,60.6454184676729,536,599.749843597916,634,673,787,1.35095335999071,16
"N.A[12,5]",130.326622222222,18.5019842499964,99,117,129,142,171,1.0915343581313,44
"N.A[13,5]",63.6672,15.4276000934035,41,53,61,72,102,1.39928265352764,15
"N.A[14,5]",819.379733333333,82.9275578209335,663,762,817,876,984,1.22807014235482,21
"N.A[15,5]",1034.9672,129.132423844068,797,949,1027,1112,1317,1.17503747049927,27
"N.A[16,5]",1398.79088888889,240.284563688212,949,1232,1385,1556,1905,1.19300914951722,25
"N.A[17,5]",1445.00555555556,228.588938315851,1018,1284,1432,1598,1929,1.23700846984985,21
"N.A[18,5]",757.600711111111,70.5442862588841,632.474802868179,708,754,803,910,1.25161889435252,20
"N.A[19,5]",2912.00453333333,886.034090288398,1418,2252,2710,3663,4609,1.35764441266857,15
"N.A[20,5]",469.341777777778,51.8404557429129,380.474672313211,432,464,502,582,1.17681850779363,26
"N.A[21,5]",75.8318222222222,14.160794301928,53,66,74,84,108,1.04721388223656,97
"N.A[1,6]",89.8316888888889,15.7445263799951,62,79,89,100,124,1.19603677442011,24
"N.A[2,6]",26.5290666666667,6.64048889262006,16,22,26,30,42,1.06476901366369,62
"N.A[3,6]",10.2294666666667,3.74056594311951,5,8,10,12,19,1.07764824289455,53
"N.A[4,6]",17.6936888888889,5.75520643986677,9,14,17,21,32,1.13781990743713,31
"N.A[5,6]",69.7656444444444,10.2931675125957,52,62,69,76,92,1.01789195212739,220
"N.A[6,6]",354.444755555556,52.3165133686728,262,317,351,388,465.524732137982,1.12120070749286,36
"N.A[7,6]",235.692533333333,32.5012610200267,180,213,233,255,309,1.10995112796213,39
"N.A[8,6]",98.9072444444444,17.6198018359046,72,86,96,109,139,1.10015554633932,42
"N.A[9,6]",1243.1868,146.996470984409,952,1143,1245,1346,1531,1.17311651085433,28
"N.A[10,6]",787.785733333333,94.7189366722796,606,723,785,851,981,1.19141589914516,25
"N.A[11,6]",762.191555555556,66.9834550646013,647,717,756,802,916.524863951287,1.39534911682945,15
"N.A[12,6]",128.747688888889,17.8395451850278,98,116,127,140,168,1.08269453251595,48
"N.A[13,6]",39.2532,11.1271406586862,23,31,37,45,66,1.3548577877276,16
"N.A[14,6]",742.189555555556,80.2326882205929,593,686,738,795,904,1.21531835342647,22
"N.A[15,6]",1132.98444444444,138.142325939232,878.474858069064,1039,1126,1216,1430,1.17996944449971,27
"N.A[16,6]",1339.30702222222,216.09717660557,931,1189,1328,1487,1781,1.19122994475022,25
"N.A[17,6]",1206.72408888889,193.204402881176,851,1072,1194,1336,1619,1.2300906653111,22
"N.A[18,6]",638.817466666667,61.7777104072346,531,595,635,677,774,1.24934321674459,20
"N.A[19,6]",2721.15004444444,832.450530778086,1327,2102,2536,3420,4315,1.35991550549646,15
"N.A[20,6]",574.882444444444,58.6826530186149,472,532,570,614,699,1.18725090535648,25
"N.A[21,6]",67.0218666666667,13.3229071593172,45,58,66,75,97,1.04500630851032,100
"N.A[1,7]",106.4528,19.1442748933939,72,93,105,118,148,1.22431532160772,22
"N.A[2,7]",28.4766222222222,8.87714044776787,14,22,28,34,48,1.11178306588924,39
"N.A[3,7]",16.0080444444444,5.64029690670329,8,12,15,19,29,1.09523991005455,43
"N.A[4,7]",13.2045333333333,4.75953961740638,6,10,12,16,25,1.09600679086536,43
"N.A[5,7]",79.1675555555556,11.7782417901923,59,71,78,87,104,1.01804492852416,220
"N.A[6,7]",460.978177777778,62.6144764439766,349,416,457,502,591,1.13678946128646,32
"N.A[7,7]",186.374577777778,28.8930471195336,138,166,184,204,250,1.09414168868553,44
"N.A[8,7]",91.5548444444444,17.9590940764042,63,78,89,102,133,1.10051192477483,42
"N.A[9,7]",1478.70484444444,181.990778950239,1112,1356,1482,1607,1830,1.17107847011901,28
"N.A[10,7]",950.087466666667,109.625070433864,740,875,947,1024,1170,1.19551423115926,25
"N.A[11,7]",771.787777777778,76.0595003011823,641,720,766,815,950,1.39526343160318,15
"N.A[12,7]",151.010844444444,22.7894407445056,113,135,149,165,202,1.08896459058347,45
"N.A[13,7]",33.5752444444444,8.78393171551059,20,27,32,38,55,1.26485857258163,19
