"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"S_M_A_S2W",0.602349689296221,0.0325355257634801,0.540700605785334,0.579929161422925,0.602594995497758,0.6248327788285,0.66468683410097,1.0100119113528,310
"S_M_A_W2S",0.80134822017041,0.0254538118659899,0.751243358573963,0.784748556668845,0.801536485346646,0.818437753970463,0.849996574881866,1.00261135800903,3100
"S_M_J_S2W",0.358140885716777,0.0992891915656205,0.168077318549178,0.28747548227519,0.358497465185415,0.425480879340627,0.564361230558998,1.01288671236702,280
"S_M_J_W2S",0.635983458918548,0.0674371359189919,0.506105582814158,0.590964372657608,0.635785053201434,0.67904869095644,0.775505659039281,1.02666623483448,130
"WMD.HR.A[1,1]",0.191846696312779,0.0374996011251522,0.126481134856697,0.164615395756534,0.189329937079166,0.215354809984204,0.271755160986843,1.05528226876289,60
"WMD.HR.A[2,1]",0.190299837489684,0.0361757400660954,0.12706964154121,0.163402969844705,0.188491337648512,0.213506379827209,0.26646060913219,1.07781336124122,45
"WMD.HR.A[3,1]",0.199812949661126,0.0388945137611156,0.132080251201276,0.171656165045167,0.196836041310124,0.224910472985381,0.279611976361817,1.08376635539519,43
"WMD.HR.A[4,1]",0.205153259872776,0.0391175672987384,0.136305904961852,0.177620452971236,0.202584112272798,0.229692468968333,0.287040333158421,1.05232104647162,64
"WMD.HR.A[5,1]",0.221606514733875,0.0537510392310867,0.136380396422411,0.183259877775443,0.213504034862356,0.254202220749301,0.345639381035994,1.50929154073976,11
"WMD.HR.A[6,1]",0.203634165991057,0.0413852546696101,0.135643625079293,0.174355587789057,0.199160567741219,0.227647513287941,0.298777015052447,1.11635349574131,34
"WMD.HR.A[7,1]",0.196380667689648,0.037186535211848,0.131515179437423,0.169750986572238,0.194115571728895,0.221230686447106,0.272856411766762,1.05282836295158,66
"WMD.HR.A[8,1]",0.193923000843599,0.0377034770558581,0.127541429442481,0.167111325880792,0.191511383985527,0.217602492106999,0.274795962300085,1.13131423671718,29
"WMD.HR.A[9,1]",0.204696417372076,0.0392119104400681,0.136834691705636,0.177167808011896,0.201790937727142,0.228961868543979,0.288053665369324,1.07132066787659,50
"WMD.HR.A[10,1]",0.209329872774262,0.0534006168518786,0.128074929863913,0.172217274019142,0.199197397280206,0.23789874720372,0.341725214436082,1.60854346476104,10
"WMD.HR.A[11,1]",0.202697630430527,0.0373251108309086,0.137318101746528,0.176134015757501,0.200470168201277,0.226691822391572,0.280220476948137,1.01438659252023,220
"WMD.HR.A[12,1]",0.200270936733884,0.0371782258643606,0.133845863668293,0.175273727051626,0.197829468867886,0.224539180480859,0.279180169049529,1.03791532053825,89
"WMD.HR.A[13,1]",0.19102728833144,0.0436061580411893,0.111433511647123,0.160616633048949,0.189454538266396,0.219923445763274,0.279114055001157,1.28905888936084,16
"WMD.HR.A[14,1]",0.196819691380132,0.036292410249024,0.134394515813454,0.171118283723188,0.194401773845523,0.219745986415293,0.275158210169921,1.06798981404888,51
"WMD.HR.A[15,1]",0.204019020947537,0.0433344290257451,0.131638729584268,0.173822732581969,0.199777080603827,0.229508865686649,0.301532686540503,1.2159707573504,20
"WMD.HR.A[16,1]",0.207852060156093,0.0401384910652373,0.139205897387176,0.179410034069098,0.204078270757954,0.232917502657766,0.297160900891343,1.00925331702125,2300
"WMD.HR.A[17,1]",0.194178595495441,0.035674033811614,0.129515700627302,0.169015128550989,0.19222774881175,0.216766615511506,0.268474386589341,1.04127958532776,81
"WMD.HR.A[18,1]",0.186212501681081,0.0364164845374755,0.121738176335785,0.161124969334743,0.183528902746296,0.208672718971334,0.265683764243827,1.10901484056991,33
"WMD.HR.A[19,1]",0.187697832088062,0.0352945263211891,0.124284641853606,0.162782818195132,0.185635344399618,0.21088280756903,0.262350690677649,1.08202920248641,43
"WMD.HR.A[20,1]",0.198026641816779,0.0386348229542929,0.132333502944059,0.170460912240674,0.194494298298579,0.221840114213368,0.283665110755931,1.14396519599821,27
"WMD.HR.A[21,1]",0.201263931436017,0.0387853012119063,0.133578990453085,0.173298157223952,0.199078692577876,0.226572619162233,0.284326555568917,1.04535687977836,94
"WMD.HR.A[22,1]",0.190821228341639,0.0394254335710127,0.117630484892921,0.163987293984726,0.189333600155008,0.21746326353348,0.270668310001245,1.17390232359765,26
"WMD.HR.A[23,1]",0.196352621326616,0.0365658256114463,0.132326724778932,0.170417416794442,0.193018848213319,0.22070927204184,0.273652360991941,1.02141928751562,140
"WMD.HR.A[24,1]",0.207403086931556,0.0364383116182754,0.14392045012155,0.180831533216673,0.205071758067279,0.231753327627188,0.28385343163658,1.00273291527065,1200
"WMD.HR.A[25,1]",0.20421173558363,0.037950332457424,0.135612876209647,0.17812739091766,0.200844176543071,0.229737827206113,0.284022072885621,1.06709078989978,50
"WMD.HR.A[1,2]",0.253544546447425,0.0411102652926951,0.179451971498578,0.224349987297686,0.250485090884327,0.280046381139448,0.34137498138157,1.09421178481836,37
"WMD.HR.A[2,2]",0.251492108006402,0.0385615242519112,0.181945247150607,0.223687244776488,0.250273523510662,0.276481855021468,0.332652691139927,1.12355257278788,30
"WMD.HR.A[3,2]",0.263587513049159,0.0426334925927888,0.189598566340083,0.234134088891232,0.260443393147575,0.289867212016004,0.354144512096654,1.12991319175244,30
"WMD.HR.A[4,2]",0.270264670603005,0.041665244563805,0.194307373132697,0.240671901359535,0.268436971425849,0.298140675340126,0.357644125774735,1.08427508864277,42
"WMD.HR.A[5,2]",0.290419889563122,0.0597269046239332,0.194300234717736,0.248516689419365,0.281912656073395,0.324163881879224,0.428497078939492,1.67552773164374,9
"WMD.HR.A[6,2]",0.268378951681162,0.0451857508608949,0.192311567890694,0.236602630071251,0.263686592021311,0.294572233446932,0.371770260206639,1.17329461342335,25
