"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",1088.83424,64.6476318579416,957,1048,1088,1129,1218.8999630653,1.33375301900942,14
"N.A[2,1]",86.06528,9.2801862867081,69,80,86,92,104,1.05436128828563,61
"N.A[3,1]",164.984,15.2085502267639,136,155,165,175,195,1.12308411832198,32
"N.A[4,1]",209.94336,16.9584203296423,178.099748086871,198,210,222,244,1.10547780273101,35
"N.A[5,1]",833.4896,56.0871626861425,727,793,832,873,941,1.3370364539029,14
"N.A[6,1]",1620.64288,95.2380625466732,1434,1557,1619,1685,1809,1.57034619582358,10
"N.A[7,1]",490.43872,37.2494769398435,418,467,488,512,572,1.38964361972407,13
"N.A[8,1]",931.3456,50.5867263819624,832.099945954598,897,931,965,1030.89995632623,1.08333089109929,46
"N.A[9,1]",953.74112,53.0930547278352,862,913,953,992,1057.89995744144,1.28628799199182,16
"N.A[10,1]",308.09408,22.2436480487065,264,293,309,323,350.899871563064,1.2652676369142,17
"N.A[11,1]",1035.89888,87.9042082194525,894,969,1018,1107,1205,2.00593548009598,8
"N.A[12,1]",830.41312,89.4215220101803,699,768,815,872,1044,2.55260808400654,6
"N.A[13,1]",432.78208,33.5084056784855,377,409,429,454,507,1.5593538075235,10
"N.A[14,1]",226.67584,17.9825337252718,192,215,227,238,264,1.1806441313451,22
"N.A[15,1]",896.29344,43.3413553589801,805,868,899,927,977,1.0251903502422,230
"N.A[16,1]",154.72416,16.0138606928302,124,143,155,166,185,1.40077050514591,13
"N.A[17,1]",479.91904,38.976446961878,408,451,479,508,554.899918826273,1.84623947808196,8
"N.A[18,1]",1567.4464,85.6928870661153,1408.09996805414,1511,1564,1619,1746,1.11579071214601,35
"N.A[19,1]",810.92256,65.2817964764358,705.099936227496,761,806,854,963,1.49900783961357,11
"N.A[20,1]",1332.76736,78.0149774490542,1187,1279,1330,1387,1490.89996980609,1.44880823949487,12
"N.A[21,1]",716.68416,47.2558868621064,626,684,716,747,814.89994474233,1.64469998841689,10
"N.A[22,1]",338.6448,24.2649674495249,291,321,339,356,384.899882924245,1.32593805723256,14
"N.A[23,1]",1313.94208,89.6435474212381,1148.29964779532,1248,1310,1377,1495.89996990704,1.13835066369103,30
"N.A[24,1]",1580.23136,88.0871551564673,1413,1514,1581,1647,1742.89997417306,1.18095350367749,22
"N.A[25,1]",791.64896,66.0042143270963,664,742,797,841,915.899950839368,1.38820943087106,13
"N.A[1,2]",711.76608,50.9246575253256,607,680,710,744,814,1.39340083731792,13
"N.A[2,2]",210.68736,15.193244661002,183,200,210,221,241,1.12176121454429,30
"N.A[3,2]",244.76544,21.0807017986277,204,230,244,259,285,1.19831775451886,21
