"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",104.94144,12.3552344902304,82,96,104,113,130,1.29312905571487,15
"N.A[2,1]",171.11104,17.699715243266,139,158,171,183,207,1.28062324011561,16
"N.A[3,1]",374.70816,56.9692614343374,293,328,363,417,492,2.45169323560862,7
"N.A[4,1]",580.59936,64.8035601494314,478,533,569,617,731,1.90950513959023,8
"N.A[5,1]",1114.4272,165.395487585667,825.19978215258,973,1117,1259,1386,2.0506884176826,7
"N.A[6,1]",741.9904,76.4799265505195,603,685,742,792,902,2.03473560393569,8
"N.A[7,1]",45.95584,6.55641102910628,34,42,46,50,59,1.06759505854577,52
"N.A[8,1]",948.12832,71.2675738007247,833.099946019428,897,939,987,1124,1.19755242322467,21
"N.A[9,1]",981.17056,113.097484509635,811,897,952,1069,1203,2.27631169184238,7
"N.A[10,1]",947.31264,71.8261914401632,815,896,946,1001,1082,1.24751216871197,18
"N.A[11,1]",1017.33312,98.3486446116703,863.09994789455,944,1002,1083,1240,1.60356943871867,10
"N.A[12,1]",647.33248,48.8006264039056,559,613,647,680,746.899939707912,1.39215066784791,12
"N.A[13,1]",298.44288,38.7154457644832,229.099804035203,267,300,330,365,2.18048684247078,7
"N.A[14,1]",350.36672,46.4487027878994,274,312,350,385,439,2.11235612975845,7
"N.A[15,1]",179.58016,17.1087428316756,148,167,179,192,213,1.34000078597626,14
"N.A[16,1]",1025.04832,110.878198655811,850,942,1009,1093,1264,1.8618043066292,8
"N.A[17,1]",933.89568,109.62136264043,769,849,910,1017,1173.89996164882,1.97345251583498,8
"N.A[18,1]",629.17184,77.590570599404,508,565,619,692,781,1.74133210167312,9
"N.A[19,1]",420.37408,52.8769308346678,341,379,412,456,540,2.23057974363806,7
"N.A[20,1]",881.28992,85.0280426222073,728,816,885,944,1049.79982836434,1.95887480004587,8
"N.A[21,1]",784.50304,87.0767635298728,660,725,764,824,1004,2.31475447118212,7
"N.A[22,1]",805.18688,68.9936738876637,699,756,793,844,965,1.45113828601732,12
"N.A[23,1]",43.82144,6.89862489591552,31,39,44,48,58,1.07324747655856,47
"N.A[24,1]",737.7552,57.4897522683572,644,694,731,776,858.899947574847,1.23458875658703,18
"N.A[25,1]",658.63424,49.0160120964955,574,625,655,687,768.899941434206,1.19341607707575,21
"N.A[1,2]",95.90208,12.3953240285233,73,87,96,104,120,1.36350634024511,13
"N.A[2,2]",354.83072,35.3828496169634,289,328,356,380,424,1.37063214151385,13
"N.A[3,2]",414.76512,68.4961460407283,323,360,397,461,561,2.63481605565822,6
"N.A[4,2]",608.70304,73.0880330159517,502,556,595,646,786.899942774782,1.95570744642169,8
"N.A[5,2]",1024.58112,170.243507048249,731,879,1022,1164,1322,2.08708005855766,7
"N.A[6,2]",636.552,71.5640898081155,503.099910649261,586,635,685,782.799769742366,1.83328385367083,8
"N.A[7,2]",197.3952,21.5250273295179,153.099707094094,183,199,213,236,1.43340076834789,12
"N.A[8,2]",709.70176,62.9479543375962,608,666,701,745,866.89994805894,1.23174437803197,18
"N.A[9,2]",463.26368,77.8343202636799,352,407,440,512,626.899928157086,2.4809276986137,7
"N.A[10,2]",815.3856,68.8022467101821,686,766,812,867,946,1.21800786770813,20
"N.A[11,2]",764.496,84.8592176005634,631,702,751,822,959,1.54726450383547,10
"N.A[12,2]",340.87616,35.0842824332212,278,315,340,365,412,1.45964569910501,11
"N.A[13,2]",347.09504,55.2460993145673,251,298,355,394,438,2.51936596442399,6
"N.A[14,2]",253.86592,42.5010236394011,182.099753604243,217,254,285,332,2.15469955706633,7
"N.A[15,2]",237.76448,23.270748574254,196,221,237,255,283,1.39644904926324,12
