"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",1228.86048,161.319764180929,942.099952261393,1096,1233,1356,1542.89997082406,1.20429567673287,20
"N.A[2,1]",138.45728,18.5993675879987,107,125,136,151,179,1.32415785309007,15
"N.A[3,1]",990.08352,108.11769681253,801,906,979,1071,1200,1.26755290306711,17
"N.A[4,1]",282.26944,39.5517017328153,217,254,279,306,378,1.2920757549053,17
"N.A[5,1]",72.95424,11.0498587241332,55,65,72,79,98,1.34606029862384,14
"N.A[6,1]",410.05472,40.9847713937407,334,379,412,440,486.89990747719,1.25032675059125,18
"N.A[7,1]",690.14624,50.9895239432477,592,656,690,726,788.799771496191,1.27855953754929,16
"N.A[8,1]",119.85696,12.7328889112255,96,111,119,128,147,1.17365981768959,23
"N.A[9,1]",341.50944,40.6437907257463,279,308,337,371,424,1.37807868936296,13
"N.A[10,1]",712.2,84.8329004497641,538.09991645521,648,717,774,864,1.20552135082975,22
"N.A[11,1]",1003.80864,117.116335738877,768.099941454524,918,999,1089,1216,1.2804408945547,17
"N.A[12,1]",927.8528,83.7133283712399,771,864,934,988,1088.89995865364,1.38260232067833,13
"N.A[13,1]",56.0672,7.62240883955233,42,51,56,61,72,1.09407215497027,38
"N.A[14,1]",210.01856,24.2581673319469,171,192,207,227,262.899828484165,1.28690035844912,16
"N.A[15,1]",601.72416,56.4374043528725,502,561,599,638,727,1.24589821380771,19
"N.A[16,1]",747.80448,74.74535845044,610,688,747,801,891,1.27282764122031,17
"N.A[17,1]",834.40224,98.5461138283931,658,752,833,913,1013.89995559356,1.23918396362496,18
"N.A[18,1]",143.46272,18.8961962149965,112,129,141,157,183,1.22316013543954,19
"N.A[19,1]",212.09664,22.4784347835899,172,195,211,228,255,1.15161503719582,28
"N.A[20,1]",444.49696,37.2324309172829,379,416,444,472,515,1.22044946998299,19
"N.A[21,1]",531.56896,30.7674374588605,477,510,529,552,596,1.0789396543815,45
"N.A[22,1]",207.26592,14.5750521384985,181,197,207,217,237,1.08694653118069,40
"N.A[23,1]",632.95008,37.3240567899911,557,607,635,660,701,1.22868179205549,19
"N.A[24,1]",402.24,27.9303253289924,352,382,401,419,462,1.15477455298574,27
"N.A[25,1]",451.97184,32.6420539824721,393,429,450,473,520,1.21963298956284,20
"N.A[1,2]",818.9152,113.164444903286,615,728,823,904,1034.89995649512,1.18805621160224,21
"N.A[2,2]",95.3392,14.6251765805683,71,85,94,104,127,1.34152418751597,14
"N.A[3,2]",531.24032,63.0280827794058,418,484,526,578,656,1.25055313172523,18
"N.A[4,2]",456.97792,63.5098152366675,353,412,451,493,611.899926394405,1.33962726693319,15
"N.A[5,2]",158.38816,22.2432438196635,124,142,155,170,210,1.63513580017809,10
"N.A[6,2]",563.95584,56.6620366519031,461,517,568,606,670,1.26073523347299,17
"N.A[7,2]",426.86912,34.8636610582073,359,403,429,451,494,1.2703149035465,16
"N.A[8,2]",346.40864,29.6493332116857,293,325,345,367,408,1.30349608107901,15
"N.A[9,2]",266.61504,33.5296221448733,214,239,264,291,337,1.39874034716125,13
"N.A[10,2]",581.12224,71.3280174750919,437,529,585,633,710,1.19318061572356,23
"N.A[11,2]",710.26016,85.0490923418293,540.099916764273,651,707,772,867,1.26193409237759,18
"N.A[12,2]",554.47744,53.9640288367821,452,515,559,592,659,1.36678723914666,14
"N.A[13,2]",379.82912,39.4390920465934,311,351,375,406,463,1.31116294305178,15
"N.A[14,2]",165.5296,22.396543427288,129,148,163,181,213,1.31985333514076,15
"N.A[15,2]",320.81152,33.4642966490806,262,297,318,342,395,1.20866737984983,21
"N.A[16,2]",479.86336,51.0344359612178,389,440,480,517,578,1.25486958564354,18
"N.A[17,2]",658.1408,78.9686886846529,516.099912897588,593,657,720,799,1.22640013532699,19
"N.A[18,2]",177.34848,24.3738718526809,138.09967540176,159,173,195,228,1.25939038785255,17
"N.A[19,2]",423.19936,43.3553742447541,344,390,422,456,506.899911131571,1.15653952152416,29
"N.A[20,2]",458.81984,39.5859636474866,390,429,457,488,536.899916102152,1.22891080856664,19
"N.A[21,2]",256.19328,19.0101164091619,221,243,255,268,296,1.03799812104368,84
"N.A[22,2]",131.87936,10.7242756967056,112,124,131,139,154,1.05885418961492,56
"N.A[23,2]",457.42976,29.2416191322408,398,439,459,478,511,1.18890849539942,22
"N.A[24,2]",152.54784,15.4747750001742,125,142,151,162,187,1.20707603323148,21
"N.A[25,2]",236.25344,21.0550257345171,198,221,235,250,280,1.15827799573232,25
"N.A[1,3]",1170.58624,158.069750734964,889.099949417359,1041,1170,1295,1475,1.19560477579462,21
"N.A[2,3]",120.65824,17.8053657653644,90,108,118,132,160.899719392425,1.33053148603367,15
"N.A[3,3]",880.7088,98.950088635499,708.099936497475,804,870,955,1077.89995823149,1.26463112732464,18
"N.A[4,3]",394.03744,57.7568876657123,301,354,388,426,531.899915312699,1.32351806849382,16
"N.A[5,3]",103.03584,16.7518797645699,77,90,101,113,141,1.50761923482799,11
"N.A[6,3]",501.47104,51.2595471545959,406,462,503,538,598,1.25841101339572,17
"N.A[7,3]",571.16608,45.0418030491744,486,540,572,602,659,1.28223709043078,16
"N.A[8,3]",201.664,20.6206607975727,164,187,201,215,244,1.25220474655319,18
"N.A[9,3]",333.11648,41.001247604765,268,300,329,362,418,1.37799088202761,13
"N.A[10,3]",708.27808,87.6053551728157,528,645,715,772,864,1.19992312135773,22
"N.A[11,3]",984.79648,117.199118351117,752,900,982,1071,1199,1.27744342394693,17
"N.A[12,3]",808.62112,75.4687176165991,664,751,815,861,953,1.39363037145587,13
"N.A[13,3]",178.87776,22.108822523895,140,163,177,193,225,1.22076318299429,20
"N.A[14,3]",210.528,25.4107662665556,170,191,207,228,266,1.32378214408025,15
"N.A[15,3]",483.76448,48.7970091063056,401,448,481,514,593.899924161552,1.23865321717698,19
"N.A[16,3]",681.6336,70.4875818196443,556.099919156821,626,681,733,817.899944945144,1.26439646872335,17
"N.A[17,3]",841.48896,102.279216120845,663,758,839,924,1028,1.23365735372741,18
"N.A[18,3]",162.10144,22.6115165290592,125,145,159,178,209.899785065788,1.22874739459786,19
"N.A[19,3]",304.2144,34.1355865466824,245,278,302,330,372,1.16143168524207,27
"N.A[20,3]",459.20448,40.0012097179429,389,429,458,489,537,1.20988852253353,20
"N.A[21,3]",362.67168,23.9848913689863,321,345,362,378,413,1.05146984813591,67
"N.A[22,3]",155.72096,12.5521533919853,133,147,155,164,183,1.06992747520568,48
"N.A[23,3]",490.81856,32.9149668986785,423,469,492,514,551.899918384604,1.20579995491124,20
"N.A[24,3]",284.56352,21.8999050015772,245,269,283,298,333,1.14479015466092,28
"N.A[25,3]",346.25472,27.5329115298608,296,326,344,365,404,1.20581989548151,20
"N.A[1,4]",1057.85632,145.217562164406,798,941,1062,1169,1335,1.18622042389364,22
"N.A[2,4]",104.95296,16.3731503644019,78,93,103,115,142,1.34836665540968,14
"N.A[3,4]",716.32096,83.9521979198269,568,652,708,779,884,1.24717298187613,18
