"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",1187.51584,98.2921617464681,977,1129,1193,1257,1360.89996692068,1.07403576626134,54
"N.A[2,1]",135.48768,14.5452049959387,108,126,135,145,167,1.12364887665787,33
"N.A[3,1]",944.54464,63.4372390471538,801,907,953,988,1055,1.16675171992088,26
"N.A[4,1]",279.09856,30.0104102910751,225,258,277,298,343,1.0441178389713,120
"N.A[5,1]",71.07584,8.71421759670157,55,65,70,77,90,1.17057238475904,23
"N.A[6,1]",413.2336,30.3909306506573,352,393,415,434,469,1.09221063390923,40
"N.A[7,1]",685.54048,39.0418704344022,610,658,685,713,760.899940818021,1.13216269434657,29
"N.A[8,1]",115.57216,10.6725649260087,95,108,115,123,137,1.0600308311418,55
"N.A[9,1]",331.24,25.2592068127489,283,314,331,348,380,1.05510989818306,63
"N.A[10,1]",702.08928,64.6198033048301,575,662,706,741,842,1.1161041678414,35
"N.A[11,1]",979.52576,79.3904095234568,799,929,989,1032,1123,1.04599023599239,90
"N.A[12,1]",908.19712,56.9634251944593,794,871,910,947,1015.89995568103,1.05957970647,71
"N.A[13,1]",54.52256,6.49937600471801,43,50,54,59,68,1.03091310984097,100
"N.A[14,1]",206.136,18.8097081752728,173,194,205,217,249,1.31648769556695,16
"N.A[15,1]",599.416,41.3331426482185,525,572,598,624,696.899935378864,1.08324052531597,50
"N.A[16,1]",736.45664,50.7312322977487,632,704,739,770,842,1.13532389112647,33
"N.A[17,1]",811.67584,68.2545712752955,677,763,813,860,942,1.16360867173624,24
"N.A[18,1]",139.00512,13.6729439987455,113.099603987658,130,138,148,167,1.16612379087765,24
"N.A[19,1]",211.02592,17.3935292367184,180,199,210,222,247,1.22876809563905,19
"N.A[20,1]",439.79904,25.1281211050267,389,423,440,457,486.89990747719,1.10602020066463,36
"N.A[21,1]",519.76512,24.9750169540802,473,502,520,537,568,1.09604297368489,36
"N.A[22,1]",204.52128,13.1984730579996,180,196,204,213,231,1.08631603500348,41
"N.A[23,1]",628.95008,30.3152778832226,570,609,629,648,692,1.0491635545702,77
"N.A[24,1]",396.93568,23.3118374287008,353.099872749493,381,396,412,446,1.03411630964885,110
"N.A[25,1]",443.36928,24.7438209340719,398,426,442,460,496.899909341192,1.11952805399049,32
"N.A[1,2]",785.6576,70.2861756614807,637,744,788,834,915,1.07214949126287,57
"N.A[2,2]",92.56672,11.6341936492994,71,85,92,100,117,1.1223584093895,33
"N.A[3,2]",501.80544,39.3161115641861,415,478,505,529,572,1.17955501857659,25
"N.A[4,2]",450.65344,47.7057565154553,367.099877595378,415,447,481,550,1.04839856396836,120
"N.A[5,2]",153.91456,16.5608352328847,126,142,153,165,189,1.39993601742263,12
"N.A[6,2]",567.84896,41.6018515863914,486.09990752789,539,570,597,645,1.1138477922559,33
"N.A[7,2]",422.80288,28.5340877870429,369,402,422,445,475,1.11980501326449,32
"N.A[8,2]",332.59488,25.1843085589585,291,313,330,351,384,1.2000576093555,20
"N.A[9,2]",257.11136,21.2415023810909,217,242,257,272,299,1.05293633578801,64
"N.A[10,2]",571.1712,55.0706722296064,466,535,573,605,688,1.12478919143074,32
"N.A[11,2]",690.08352,60.0435640004365,554,651,697,732,797,1.04635724531087,87
"N.A[12,2]",539.2128,38.2328748203617,465,515,540,565,611.899926394405,1.04858788947662,85
"N.A[13,2]",366.63584,24.7149795298845,318,351,366,381,418,1.11879715777921,31
"N.A[14,2]",160.67872,18.2217230014652,130,148,159,171,204,1.40750631536443,13
"N.A[15,2]",318.39808,25.8608062969882,271.099834335371,301,318,333,376,1.08284764936374,49
"N.A[16,2]",470.70592,36.2145086112799,397.099886830372,447,470,495,544,1.1410212091044,30
"N.A[17,2]",637.14368,57.6066691028186,527,596,637,679,745,1.17839848186355,23
"N.A[18,2]",171.0576,17.0590564185093,139,159,170,182,206,1.22914159526474,18
"N.A[19,2]",418.59776,32.3967353060322,367,394,414,440,487,1.36481465790041,14
"N.A[20,2]",452.77312,26.665424426038,397,435,453,472,503,1.12617727677269,33
"N.A[21,2]",247.72928,16.5455659474799,216.099792275478,236,247,259,280.89983949578,1.08949255633496,39
"N.A[22,2]",129.04544,10.1677912094705,110,122,129,136,150,1.07995791789998,44
"N.A[23,2]",453.42432,24.2876445386191,407.099889606634,437,452,469,503,1.05718961526357,68
"N.A[24,2]",149.28928,12.9283518907878,126,140,149,158,175,1.04846586593463,68
"N.A[25,2]",229.37536,16.9140016428669,199,218,228,240,264,1.17564754042455,23
"N.A[1,3]",1121.04992,95.5247254872319,916,1065,1125,1190,1288,1.070515426904,56
"N.A[2,3]",117.01664,14.2827575139503,90,108,117,126,148,1.1174383950375,34
"N.A[3,3]",831.79584,57.4702944642975,701,796,839,871,929.899951579926,1.16333572864175,27
"N.A[4,3]",387.14112,42.6199623736023,313,356,384,415,476,1.04356898301384,140
"N.A[5,3]",99.432,12.3186044406384,78,90,98,108,125,1.29299781982162,15
"N.A[6,3]",503.39712,37.6848842888875,429,478,506,530,575.899921788991,1.10047506703925,36
"N.A[7,3]",562.8496,35.8987733893217,495,538,562,587,632.899928838744,1.1565604143045,25
"N.A[8,3]",192.1024,17.1200217490019,162,179,191,204,227,1.11833471204467,30
"N.A[9,3]",320.45824,25.5944923973019,271,302,320,339,370,1.06562513347141,53
"N.A[10,3]",691.93024,66.8812150350026,565,649,696,732,834.799784103558,1.11650248193841,35
"N.A[11,3]",951.49408,78.1606227681054,774.099941907994,902,962,1004,1090,1.04338085368815,95
"N.A[12,3]",783.88192,50.9266734183036,680,750,785,818,882,1.05050462381807,86
"N.A[13,3]",171.1744,15.8938938500214,141,160,171,181,204,1.14558395595647,27
"N.A[14,3]",204.59872,19.8635292306156,170.09973627609,191,202,215,251,1.39440328271453,13
"N.A[15,3]",478.69824,36.0747571730709,413,454,476,500,557.899919263187,1.07641113382959,53
"N.A[16,3]",665.43776,47.3187327194165,570,636,667,695,762,1.13226019503896,33
"N.A[17,3]",810.80672,70.5413838156539,680,760,813,860,945,1.16478438402458,24
