"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",556.56864,83.2755924652504,422,495,549,609,755,1.48592049956339,11
"N.A[2,1]",328.50544,38.6808200965457,256,303,326,353,411,1.28140102472822,16
"N.A[3,1]",78.20816,15.4360225686943,46,68,79,89,107,1.88296706805635,8
"N.A[4,1]",126.34384,18.0833673679008,92,114,126,138,163,1.29869919667976,15
"N.A[5,1]",99.90848,12.7314397622165,77,91,99,108,126,1.03653014986069,89
"N.A[6,1]",453.87248,60.0845291464653,361,409,444,489,591,1.200068577958,24
"N.A[7,1]",359.9696,42.9448026752049,283,329,357,386.749757386142,456,1.23097907200853,19
"N.A[8,1]",63.53024,9.69148665213777,46,57,63,70,84,1.12142855146784,32
"N.A[9,1]",143.32496,17.7432165199999,108,132,143,154,179,1.11359307639727,34
"N.A[10,1]",298.63968,31.6010966611482,242,276,297,320,363,1.11164969647634,33
"N.A[11,1]",221.55056,27.7306747508592,170,204,220,237,283,1.10349762465455,43
"N.A[12,1]",465.09712,44.6332112610464,384,434,462,495,559.774844143335,1.04168069565757,85
"N.A[13,1]",414.89648,41.3198864578825,345,386,412,440,512.774829847576,1.17549963138997,22
"N.A[14,1]",239.94368,27.4406856083055,180,223,241,259,292,1.18810859407762,24
"N.A[15,1]",104.88528,14.7797547309008,80,94,104,114,139,1.10193537774187,38
"N.A[16,1]",139.26528,17.6019998689212,109,127,138,149,180,1.13617131566103,28
"N.A[17,1]",334.13248,38.0127373910671,264,307,335,360,409,1.38690779025336,13
"N.A[18,1]",413.54048,48.659561874759,332,378,409,445,521.774832784568,1.3901669462826,13
"N.A[19,1]",223.3024,28.5246002371811,172,203,222,242,282,1.38919254280342,13
"N.A[20,1]",860.12064,101.167480859512,677.224871327356,791,863,922,1069.77491847127,1.26810615395932,16
"N.A[21,1]",147.46032,21.6034566445242,110,131,146,163,191,1.45191137862845,12
"N.A[22,1]",322.1344,41.9312262291158,248,291,320,352,404.774784407182,1.25159455112133,17
"N.A[23,1]",233.11696,31.8637670136807,181,212,229,250,311,1.27515376772321,19
"N.A[24,1]",421.48256,47.2716222785939,343,387,416,451,526,1.06900221377142,62
"N.A[25,1]",414.4792,55.8700997157403,315,374,412,453,526.774834372837,1.21200366689428,19
"N.A[1,2]",427.78976,70.0692542503843,316,375,421,474,593.774853073322,1.53252545685538,11
"N.A[2,2]",227.804,31.3283625267548,170,207,226,247,296,1.31388514335368,15
"N.A[3,2]",68.88864,17.5173118926664,32,58,70,81,101,2.10844921957969,7
"N.A[4,2]",151.18176,24.9103289263782,102,134,152,168,199,1.44948804981975,12
"N.A[5,2]",94.00832,12.0462354560994,73,85,93,102,120,1.03764465879884,90
"N.A[6,2]",410.69936,60.18107856748,320,367,399,445,554,1.22580091405375,22
"N.A[7,2]",318.50416,46.7244579496618,237.224633035979,285,316,347,421,1.27958661030882,16
"N.A[8,2]",54.48624,10.0540809718974,36,48,54,61,75,1.15305978185524,28
"N.A[9,2]",111.9696,16.8216869220701,78,101,112,123,146,1.15792966010002,26
"N.A[10,2]",266.59072,31.0464553703667,212,244,265,287,330,1.1122956170152,34
"N.A[11,2]",200.52208,28.3700244941729,148,182,198,216,266,1.11244224216345,40
"N.A[12,2]",354.28256,39.2936126861105,283,327,352,380,438,1.03146796353991,120
"N.A[13,2]",353.76896,38.2505916001262,289,327,351,375,442,1.17863838432499,22
"N.A[14,2]",203.17568,26.6472217772538,144,187,204,221,252,1.21612298803407,22
"N.A[15,2]",122.64944,17.1335109314435,95,111,121,132,163,1.11605856890938,35
"N.A[16,2]",132.72384,18.0490492426324,103,120,131,143,176,1.14879190020152,27
"N.A[17,2]",292.92512,37.4924219284101,225,265,294,319,365,1.41858211854968,12
"N.A[18,2]",384.95968,50.3574927357344,304,348,379,418,494,1.41566161935258,12
"N.A[19,2]",231.40672,31.9630029911339,175,208,230,253,298,1.44494709413111,12
"N.A[20,2]",782.09968,97.6995640556715,606,716,785,842,984,1.26544166482806,16
"N.A[21,2]",131.90592,21.1932964374073,94.224078268815,116,131,147,175,1.53223180367637,10
"N.A[22,2]",308.73088,45.2705480641567,227.224616912152,275,307,341.749725408693,397,1.27947381276194,16
"N.A[23,2]",196.93952,30.6641299956242,148,176,193,213,273.774681108584,1.29275379638399,18
"N.A[24,2]",377.70896,46.7591240532536,300,344,372,406,483,1.06403081623987,70
"N.A[25,2]",418.52704,61.6721932668685,310.224719285596,372,416,462,541,1.21269290466851,19
"N.A[1,3]",577.4128,95.3076018080089,427,505,569,635,803,1.46809865755746,11
"N.A[2,3]",206.68688,30.218313309963,151,186,205,225,270,1.27172070671051,17
"N.A[3,3]",54.07392,14.0858752562515,27,45,54,63.7485216596841,82,1.80324068349041,9
"N.A[4,3]",90.30944,16.8454495325471,59,78,90,102,125,1.30474433837065,15
"N.A[5,3]",89.74768,14.6764600082629,65,79,89,99,121,1.0321415178889,100
