"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",145.8263,20.0805241728174,110,132,145,158,190,1.30233472329574,22
"N.A[2,1]",139.7114,17.9185160479805,106,128,139,151,177,1.14570485967587,41
"N.A[3,1]",89.496,14.6243007018148,63,79,89,99,121,1.35785794895918,20
"N.A[4,1]",212.1913,39.0195765872171,158,186,203,229,317,1.4387198278821,18
"N.A[5,1]",190.5777,40.7244694373186,138,161,180,212,302,1.43280934093859,19
"N.A[6,1]",307.3002,34.1740203418713,249,284,304,327,385,1.2233770907143,28
"N.A[7,1]",256.3405,25.8813512820413,210,238,255,274,310.024960768774,1.05437423805541,95
"N.A[8,1]",401.7406,48.7838077401689,319,368,398,429,517,1.26812317125879,24
"N.A[9,1]",922.7587,136.391539105268,690,809,927,1017,1193,1.05771712139483,87
"N.A[10,1]",429.3553,75.3405553592365,318,368,414,484.249806534774,583,1.18395269633376,32
"N.A[11,1]",311.515,30.9692021877932,255,290,310,332,374,1.10637172114847,52
"N.A[12,1]",150.9379,21.1850306618238,113,135,150,166,193,1.14041677161572,41
"N.A[13,1]",226.3789,26.371304089065,180,207,225,244,281,1.27444140585877,24
"N.A[14,1]",90.1829,15.9868322525304,64,78,88,100,125.024903010464,1.12985218260639,46
"N.A[15,1]",932.1221,157.974088295667,684.974982190911,798.749882580095,929,1041,1260,1.10924893763657,51
"N.A[16,1]",184.0738,20.5712535156981,147,169,183,198,227,1.06187423691329,87
"N.A[17,1]",273.7401,35.5306092603186,212,248,270,298,348,1.110603756587,49
"N.A[18,1]",223.0045,26.4307309415349,174,204,222,242,275.024955787627,1.15715170010996,37
"N.A[19,1]",384.2111,47.5450501100693,309,350,378,412,496,1.17674896100133,33
"N.A[20,1]",166.25,23.4648281437555,126,149,165,182,215,1.36834507169328,20
"N.A[21,1]",361.198,44.158179202488,283,329.749715405861,357,390,455,1.19175957649277,32
"N.A[22,1]",160.316,21.7367475170335,124,145,158,174,209,1.21396742472928,29
"N.A[23,1]",152.9968,19.8211068658574,118,140,152,165,196,1.33640381818101,21
"N.A[24,1]",105.834,16.4385177703663,75,95,105,116,141,1.29756905645719,23
"N.A[25,1]",218.7432,29.428283268747,168,197,216,239,279,1.0458275234341,140
"N.A[1,2]",115.4742,19.3526428902795,80,102,115,128,156,1.33186595989885,21
"N.A[2,2]",119.6078,16.7458239994974,88,108,119,130,155,1.16239796408803,38
"N.A[3,2]",85.5683,15.5694372360591,57,75,85,95,118.024897288724,1.43557201412275,18
