"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",707.08128,122.616656326402,532,611,683,786,981.774911160826,1.95680280502319,8
"N.A[2,1]",495.20816,88.0891347483906,364,422,488,555,689,1.88867668834001,8
"N.A[3,1]",329.09728,55.5196445012906,251,287,317,363,454,1.76613301509764,9
"N.A[4,1]",530.63776,57.3946757634483,437,492,525,560,668,1.15858438033288,25
"N.A[5,1]",590.62064,109.60266878681,440,501,557,677,826,3.00204991351406,6
"N.A[6,1]",662.94544,65.5468525986419,559,616,654,701,814.774892943742,1.11881278110582,35
"N.A[7,1]",94.60048,18.158198671626,66,81,93,106,136,1.52153762523194,11
"N.A[8,1]",269.01456,38.4646439294532,212,242,263,289,373,1.53493029115948,11
"N.A[9,1]",197.61664,35.6503877557305,148.224413239379,172,191,214.74956276662,293,1.86111190421915,8
"N.A[10,1]",84.92688,12.5890750667142,64,76,83,93,113,1.25940456288418,17
"N.A[11,1]",613.48176,107.768420200378,494.224823718176,544,575,628,874,3.22591891856022,6
"N.A[12,1]",351.75104,39.1594567506609,290,323,346,376,437.774800672458,1.37067482890287,13
"N.A[13,1]",388.31808,37.0149370120161,326,362,385,411,474,1.15250506539405,26
"N.A[14,1]",1037.45664,227.841988306309,730,853,953,1244,1481,3.36732739737787,6
"N.A[15,1]",842.20512,84.1317054908826,710,776,828,905,1017,1.68438721877711,9
"N.A[16,1]",747.32848,95.4937834150315,605.224856029204,669,729,818,949,2.04364837172046,7
"N.A[17,1]",147.93424,20.5274191171734,114,133,146,162,191,1.32836774438621,14
"N.A[18,1]",733.2616,151.693252652529,534,615,693,838,1088.77491989449,2.73586229055405,6
"N.A[19,1]",431.0736,44.654983527582,362,399,424.499705535823,457,535,1.35572847690551,14
"N.A[20,1]",434.53392,49.4979067868309,354,396,429,470,542,1.86424226290054,8
"N.A[21,1]",200.90816,22.9437841728767,159,185,200,216,250,1.387519630006,13
"N.A[22,1]",1074.22896,176.253057391232,805,944,1045,1178,1470.77494070524,2.00451601659373,8
"N.A[23,1]",599.38672,146.156305351964,397,486,559,700,931,2.34859967756343,7
"N.A[24,1]",462.07328,84.4659769981076,351,400,436,516,672,2.67886087614143,6
"N.A[25,1]",204.50224,21.385706692427,166,189,203,219,248,1.17405504343003,22
"N.A[1,2]",645.56752,120.468922975488,473.224815901483,551,622,723,915.774904755611,1.94344351754448,8
"N.A[2,2]",549.2464,102.393777177799,395,461,543,621,768.774886534925,1.95184981286352,8
"N.A[3,2]",414.28448,74.1878826078608,313,357,395,461,578.774849263037,1.89084300423499,8
