,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
"N.A[5,1]",48.7504,12.57547366,26,40,48,57,75,1.169160874,16
"N.A[6,1]",56.87173333,14.97034771,33,46,55,65,91,1.040298815,77
"N.A[7,1]",321.7194667,64.11736305,209,280,319,352,473.2747895,1.074515457,360
"N.A[8,1]",95.21413333,24.37951824,57,79,91,107,156,1.263473655,13
"N.A[9,1]",76.32426667,23.82293138,41,60,72,87,135,1.760565973,6
"N.A[10,1]",57.4424,14.14312635,33,47,57,67,87,1.276024328,11
"N.A[11,1]",225.6336,39.37340162,154,199,222,250,310,1.145938814,18
"N.A[12,1]",750.0330667,150.2947969,508.7248039,643,731,828.7498868,1107,1.528842662,8
"N.A[13,1]",699.3173333,119.7740007,485,620,691,778,961.2748963,1.139349447,23
"N.A[14,1]",222.8538667,72.50727085,136,169,197,268,406,2.617257214,4
"N.A[15,1]",1875.823733,332.4185661,1305.724924,1620.249942,1856.499933,2082,2597.824655,1.064641565,64
"N.A[16,1]",1972.9664,287.4239407,1452.174382,1777,1958.499936,2148,2580.274961,1.259798575,12
"N.A[17,1]",2461.3056,434.6554544,1698.724941,2151,2439.499949,2764,3379.099528,1.555460048,7
"N.A[18,1]",418.8133333,67.13819156,295,371,420,462,561,1.066199302,40
"N.A[19,1]",162.92,30.48467731,105,141,163,183,220,1.151894643,18
"N.A[20,1]",1737.7824,226.1712896,1334.449701,1586,1710,1879,2217,1.003845815,620
"N.A[21,1]",1663.184,270.8120757,1219.449673,1492,1617,1803,2299,1.028024721,240
"N.A[22,1]",2438.6312,473.4353593,1643.899029,2129.249956,2411,2669,3654.472792,1.663391533,6
"N.A[23,1]",2542.1888,395.7812774,1749.724943,2304,2535,2769,3485.648971,1.070217474,35
"N.A[24,1]",1500.965867,280.6572154,1046,1276,1500,1670.749944,2150.824583,1.113502765,27
"N.A[25,1]",2399.0184,369.1911685,1763.449774,2147,2347,2620.749964,3218.274969,1.026986179,79
"N.A[26,1]",1270.373333,202.7613056,948.4495793,1123,1243,1398.749933,1746.274943,1.224348452,13
"N.A[27,1]",366.9568,59.22919798,265,327,360,403,496,1.036823857,73
"N.A[28,1]",223.1528,44.58261262,153,190,216,254,323,1.205825621,14
"N.A[5,2]",22.36053333,7.951583266,10,17,21,27,40,1.00487492,800
"N.A[6,2]",147.6818667,35.10165654,88,122,144,170,224,1.062456559,42
"N.A[7,2]",222.4856,49.2544163,147,188,215,248,343.2747099,1.056298029,91
"N.A[8,2]",38.37173333,18.4436003,14,25,34,47,86,1.425907757,8
"N.A[9,2]",36.2944,16.45945237,13,24,33,45,76,1.68109082,6
"N.A[10,2]",33.22453333,10.36324711,16,26,32,39,58,1.049955775,46
"N.A[11,2]",161.0205333,32.94894253,107,137,157,181.7494832,233,1.029786667,76
"N.A[12,2]",876.7357333,177.8691718,574.7248265,760,857,969,1291.274923,1.424421104,9
"N.A[13,2]",461.2933333,80.89835907,311.7246799,406,458,512,629,1.109276562,29
"N.A[14,2]",240.2536,71.99961809,144,188,222,281,417,2.25301179,5
"N.A[15,2]",2109.0224,444.0470293,1500,1831,1993,2276.749959,3313,1.587368493,7
"N.A[16,2]",1285.371467,203.4700604,921,1149.249918,1271,1409,1735,1.182334947,15
"N.A[17,2]",1647.536533,296.896023,1137,1424,1632,1863,2257.549823,1.720336212,6
"N.A[18,2]",263.0973333,56.79028699,168.7244081,225,256,294,397.2747493,1.068098578,35
"N.A[19,2]",100.9493333,21.66790481,63,85,99,114,148,1.051836261,45
"N.A[20,2]",1822.495733,262.8763752,1368,1630,1802,1988,2401.099336,1.25756794,12
"N.A[21,2]",1771.809867,260.50282,1295,1592,1752,1930.749951,2350,1.023327896,120
