Years BR Data: 6
Number of Individuals in BR Data: 3000
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 225


Average HR Bias (Realized - Estimated)
"","x"
"A_1",-0.00347515256732175
"A_2",-0.0108857935814375
"A_3",-0.0151302758375273
"A_4",0.000418590030582866
"A_5",0.0113791737085379
"A_6",0.00668207641977367
"J_1",-0.0560530029586174
"J_2",-0.0423529657605913
"J_3",-0.0239203610892893
"J_4",-0.0351919097229541
"J_5",-0.0282197384978834
"J_6",-0.0514236054239359


Average Estimated HR
"","x"
"A_1",0.239324209171095
"A_2",0.23400407315133
"A_3",0.242808847266099
"A_4",0.220538129787185
"A_5",0.236169845899305
"A_6",0.241024345598575
"J_1",0.159313872523835
"J_2",0.155755027616261
"J_3",0.161851395572048
"J_4",0.146303020834065
"J_5",0.1572519965624
"J_6",0.160619007722787


Average Real HR
"","x"
"1",0.235849056603774
"2",0.223118279569892
"3",0.227678571428571
"4",0.220956719817768
"5",0.247549019607843
"6",0.247706422018349
"7",0.103260869565217
"8",0.11340206185567
"9",0.137931034482759
"10",0.111111111111111
"11",0.129032258064516
"12",0.109195402298851


Average WSR Bias (Realized - Estimated)
"","x"
"1",0.002847172866425
"2",0.0078416540085664


Average Estimated WSR
"","x"
"1",0.98514175423371
"2",0.962930828257937


Average Real WSR
"","x"
"1",0.987988927100135
"2",0.970772482266503


Average Bias by Year (absolute value) - N.A
"","x"
"V1",57.1192704
"V2",58.5830528
"V3",56.2014976
"V4",40.8571648
"V5",54.5069568
"V6",70.7940096
"V7",44.3282304
"V8",34.7127808
"V9",64.9608576
"V10",69.870848
"V11",48.7553792
"V12",43.2991616
"V13",56.8405504
"V14",45.8065664
"V15",39.3838592
"V16",47.6157568


Bias by Year - N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",-40.91008,-23.46432,-92.3728,-41.74048,20.9856,-11.64736,-63.26112,-7.13567999999998,-91.29536,90.97408,26.12832,1.37440000000004,33.77376,12.7481600000001,-33.3235199999999,-53.3008
"2",-50.89984,-185.75488,-66.744,-52.18752,-49.53504,-69.21312,-46.79904,22.42912,-125.55552,-96.05248,-49.6848,-91.94752,-72.52864,44.98816,-28.42368,-0.00736000000000558
"3",-89.60256,18.21184,-114.91712,-57.68032,-61.536,-10.8704,-50.07072,-25.968,-90.76768,-38.66368,-19.57696,5.6288,8.51872,-28.03648,3.77824,-28.98944
"4",5.73408000000001,-2.70208000000002,36.27264,19.25408,-12.12,-46.57472,0.0969599999999957,6.56927999999999,-2.53440000000001,-52.05024,-84.42304,-16.96448,-41.06432,4.1664,-9.976,-7.11936
"5",-111.93376,-73.59072,-24.336,-36.18816,-27.44992,-57.44576,-19.62016,-4.31072,-49.54272,-7.84255999999999,-39.63008,-26.736,-45.58016,-8.30271999999999,-20.40064,-1.06112
