Years BR Data: 6
Number of Individuals in BR Data: 3000
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 225


Average HR Bias (Realized - Estimated)
"","x"
"A_1",0.0580421756558025
"A_2",0.0426208613144427
"A_3",0.0407330284071463
"A_4",0.0350523112133321
"A_5",0.0502248238173951
"A_6",0.0390558167820184
"J_1",-0.0574906277961913
"J_2",-0.0497983829658683
"J_3",-0.0311528505609771
"J_4",-0.0569987952684572
"J_5",-0.0495105461276999
"J_6",-0.0797003156228746


Average Estimated HR
"","x"
"A_1",0.177806880947971
"A_2",0.18049741825545
"A_3",0.186945543021425
"A_4",0.185904408604436
"A_5",0.197324195790448
"A_6",0.20865060523633
"J_1",0.160751497361409
"J_2",0.163200444821538
"J_3",0.169083885043736
"J_4",0.168109906379568
"J_5",0.178542804192216
"J_6",0.188895717921725


Average Real HR
"","x"
"1",0.235849056603774
"2",0.223118279569892
"3",0.227678571428571
"4",0.220956719817768
"5",0.247549019607843
"6",0.247706422018349
"7",0.103260869565217
"8",0.11340206185567
"9",0.137931034482759
"10",0.111111111111111
"11",0.129032258064516
"12",0.109195402298851


Average WSR Bias (Realized - Estimated)
"","x"
"1",-0.00430830429834839
"2",0.0164287059844459


Average Estimated WSR
"","x"
"1",0.992297231398483
"2",0.954343776282057


Average Real WSR
"","x"
"1",0.987988927100135
"2",0.970772482266503


Average Bias by Year (absolute value) - N.A
"","x"
"V1",238.4718592
"V2",255.2879744
"V3",240.8879744
"V4",243.0143872
"V5",236.846848
"V6",253.2787072
"V7",280.9108864
"V8",268.2032896
"V9",261.6817792
"V10",311.9467264
"V11",332.4909696
"V12",331.4634496
"V13",327.0638208
"V14",320.8081536
"V15",291.5615616
"V16",242.114176


Bias by Year - N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",-769.19072,-675.02304,-677.66048,-605.4848,-659.53216,-636.16448,-737.10016,-784.45632,-780.91968,-792.50624,-885.28896,-916.38272,-863.5616,-875.63392,-898.15936,-840.22528
"2",-123.6768,-114.97632,-180.54208,-125.59168,-200.70112,-195.78048,-186.968,-175.14272,-176.64704,-166.51648,-178.6544,-155.74912,-160.728,-125.90304,-107.33856,-90.94304
"3",65.51584,-7.17216000000002,4.63999999999999,-27.776,-11.21472,-18.32064,-21.47936,-4.89823999999999,-5.29504,-32.18624,-5.5872,5.12544,12.32256,-22.27456,-2.86176,-12.40928
"4",6.95744000000001,80.91424,-28.68768,44.552,-0.0704000000000065,6.86944,-2.40544,-8.63744,-9.08256,-39.02656,-48.15392,-35.71904,-29.37952,-12.65792,3.15295999999999,14.60928
"5",14.70432,-93.08,-18.44256,-19.77088,-0.164800000000014,-30.72576,24.91744,-7.43328,-5.7808,-14.23872,-8.12384,-10.63264,-8.89727999999999,-25.90528,10.27936,10.21216
"6",-407.88416,-345.36672,-467.01184,-498.8512,-541.66048,-613.66144,-637.90528,-671.9888,-741.26496,-809.65024,-912.75968,-919.94272,-903.5664,-964.70752,-935.07552,-747.23168
