Years BR Data: 10,,,,,,,,,,,,,,,,,,,,
Number of Individuals in BR Data: 6000,,,,,,,,,,,,,,,,,,,,
Additional Years of Total Harvest Data in SS: 10,,,,,,,,,,,,,,,,,,,,
Years WSR Data: 3,,,,,,,,,,,,,,,,,,,,
Number of Individuals in WSR Data: 150,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average HR Bias (Realized - Estimated),,,,,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,,,
A_1,-0.019159932,,,,,,,,,,,,,,,,,,,
A_2,-0.028151325,,,,,,,,,,,,,,,,,,,
A_3,-0.02169968,,,,,,,,,,,,,,,,,,,
A_4,-0.009913484,,,,,,,,,,,,,,,,,,,
A_5,-0.018809165,,,,,,,,,,,,,,,,,,,
A_6,-0.027668264,,,,,,,,,,,,,,,,,,,
A_7,-0.017342645,,,,,,,,,,,,,,,,,,,
A_8,-0.005475869,,,,,,,,,,,,,,,,,,,
A_9,-0.026642898,,,,,,,,,,,,,,,,,,,
A_10,0.010860568,,,,,,,,,,,,,,,,,,,
J_1,-0.02578114,,,,,,,,,,,,,,,,,,,
J_2,0.007729708,,,,,,,,,,,,,,,,,,,
J_3,-0.001798722,,,,,,,,,,,,,,,,,,,
J_4,-0.031993818,,,,,,,,,,,,,,,,,,,
J_5,0.004713181,,,,,,,,,,,,,,,,,,,
J_6,-0.004273091,,,,,,,,,,,,,,,,,,,
J_7,-0.00267386,,,,,,,,,,,,,,,,,,,
J_8,-0.033952182,,,,,,,,,,,,,,,,,,,
J_9,0.015112755,,,,,,,,,,,,,,,,,,,
J_10,-0.055108914,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Average Estimated HR,,,,,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,,,,,
A_1,0.289321222,,,,,,,,,,,,,,,,,,,
A_2,0.241386619,,,,,,,,,,,,,,,,,,,
A_3,0.247572369,,,,,,,,,,,,,,,,,,,
A_4,0.276701142,,,,,,,,,,,,,,,,,,,
A_5,0.278141188,,,,,,,,,,,,,,,,,,,
A_6,0.272528077,,,,,,,,,,,,,,,,,,,
A_7,0.305804183,,,,,,,,,,,,,,,,,,,
A_8,0.254972851,,,,,,,,,,,,,,,,,,,
A_9,0.249076358,,,,,,,,,,,,,,,,,,,
A_10,0.281447124,,,,,,,,,,,,,,,,,,,
J_1,0.138230939,,,,,,,,,,,,,,,,,,,
J_2,0.113200525,,,,,,,,,,,,,,,,,,,
J_3,0.116336167,,,,,,,,,,,,,,,,,,,
J_4,0.131496305,,,,,,,,,,,,,,,,,,,
J_5,0.13221628,,,,,,,,,,,,,,,,,,,
J_6,0.129273091,,,,,,,,,,,,,,,,,,,
J_7,0.147003757,,,,,,,,,,,,,,,,,,,
J_8,0.120076584,,,,,,,,,,,,,,,,,,,
J_9,0.117045835,,,,,,,,,,,,,,,,,,,
