Years BR Data: 9
Number of Individuals in BR Data: 4500
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 150


Average HR Bias (Realized - Estimated)
"","x"
"A_1",-0.0617189019122084
"A_2",-0.0199295735612976
"A_3",-0.020916253252383
"A_4",-0.0268392482928795
"A_5",-0.0350050562333663
"A_6",-0.0224090758018778
"A_7",-0.0303634847624953
"A_8",-0.0146252857670755
"A_9",-0.0229949858123588
"J_1",-0.00619266423379197
"J_2",-0.0278003077828658
"J_3",-0.0324221483863802
"J_4",0.00220609260493716
"J_5",-0.042163373894021
"J_6",-0.0365797233918072
"J_7",-0.0366174232429892
"J_8",-0.0286748198602217
"J_9",-0.0238855145811625


Average Estimated HR
"","x"
"A_1",0.277236143291519
"A_2",0.271463315892586
"A_3",0.236412621291124
"A_4",0.275049272159228
"A_5",0.309063633639224
"A_6",0.280687221497242
"A_7",0.312359146367701
"A_8",0.267446956195969
"A_9",0.28453344735082
"J_1",0.122471734001234
"J_2",0.119692199674758
"J_3",0.10277390718035
"J_4",0.121449821373557
"J_5",0.138420058386
"J_6",0.124208589371189
"J_7",0.140065699105058
"J_8",0.117680055462316
"J_9",0.126036052215571


Average Real HR
"","x"
"1",0.21551724137931
"2",0.251533742331288
"3",0.215496368038741
"4",0.248210023866348
"5",0.274058577405858
"6",0.258278145695364
"7",0.281995661605206
"8",0.252821670428894
"9",0.261538461538462
"10",0.116279069767442
"11",0.0918918918918919
"12",0.0703517587939698
"13",0.123655913978495
"14",0.0962566844919786
"15",0.0876288659793814
"16",0.103448275862069
"17",0.0890052356020942
"18",0.102150537634409


Average WSR Bias (Realized - Estimated)
"","x"
"1",0.00160685990380616
"2",0.0169098836101795


Average Estimated WSR
"","x"
"1",0.984392488896388
"2",0.963098679494053


Average Real WSR
"","x"
"1",0.985999348800194
"2",0.980008563104232


Average Proportional Bias by Year - N.A
"","x"
"V1",0.0471095943522326
"V2",0.0570606268803817
"V3",0.0670034947264523
"V4",0.0572670223284698
"V5",0.0632650005899687
"V6",0.0368541157243
"V7",-0.01163444810168
"V8",0.021798513021461
"V9",0.0149051897945797
"V10",0.0388383280766604
"V11",0.0220840796135197
"V12",0.0482829869051013
"V13",0.0525500391261782
"V14",0.0754190550361547
"V15",0.0395637926672597
"V16",0.0518486870260929
"V17",0.0194887365505584
"V18",-0.0113611992365513
"V19",0.00844432795478114


Average Proportional Bias by Year - N.J
"","x"
"V1",0.141890619705358
"V2",0.13215850559913
"V3",0.124024566110683
"V4",0.144209303188622
"V5",0.078864696194643
"V6",-0.00324560199453962
"V7",0.106053286618066
"V8",0.0787160773438638
"V9",0.155389861061438
"V10",0.118124913967007
"V11",0.16581286611036
"V12",0.0946164188938769
"V13",0.178805620233638
"V14",0.0912268846085497
"V15",0.170000500890671
"V16",-0.00365794370027357
"V17",0.0555865763723176
"V18",0.0768205665388159
"V19",0.0145591784921125


Real N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",421,194,383,256,361,309,366,368,402,434,424,462,485,469,551,520,558,525,548
"2",292,399,337,425,323,379,354,380,380,407,398,435,448,430,461,455,461,480,523
"3",743,406,610,471,565,504,588,548,554,579,523,570,529,560,534,558,543,541,564
"4",214,500,317,469,397,494,443,482,466,506,485,499,488,538,515,541,526,490,507
"5",564,658,642,737,710,812,790,870,883,896,951,948,1018,1010,1078,1048,1190,1194,1263
"6",459,616,608,736,791,906,991,1146,1245,1452,1516,1762,1968,2282,2618,2873,3206,3508,4121
"7",239,552,451,646,639,792,841,1006,1082,1258,1439,1578,1902,2129,2510,2752,3169,3581,4139
"8",927,443,856,656,801,738,843,827,912,982,1087,1096,1195,1246,1364,1408,1499,1559,1726
"9",937,725,795,694,742,695,644,691,579,582,500,532,504,500,471,459,440,467,406
"10",660,533,596,552,532,522,543,493,506,477,473,453,464,424,463,394,381,371,364
"11",344,374,366,387,389,424,411,417,432,417,451,412,443,442,472,447,473,441,469
"12",892,401,837,637,898,848,1094,1097,1266,1437,1538,1741,1978,2157,2370,2571,2800,3052,3384
"13",523,614,604,689,671,737,821,838,876,907,985,1019,1062,1135,1216,1228,1331,1368,1489
"14",811,617,848,750,871,854,896,939,991,1023,1053,1077,1111,1174,1261,1276,1360,1368,1542
