Years BR Data: 6
Number of Individuals in BR Data: 3000
Additional Years of Total Harvest Data in SS: 15
Years WSR Data: 3
Number of Individuals in WSR Data: 300


Average HR Bias (Realized - Estimated)
"","x"
"A_1",-0.0857173904380685
"A_2",-0.0557286282601101
"A_3",-0.066651121061623
"A_4",-0.0636543265502705
"A_5",-0.0655119572263273
"A_6",-0.0743026255542441
"J_1",-0.0758332654946209
"J_2",-0.091397585441428
"J_3",-0.109037704120274
"J_4",-0.0819798028546673
"J_5",-0.0874922919363847
"J_6",-0.065802758381159


Average Estimated HR
"","x"
"A_1",0.34762215234283
"A_2",0.305043696753261
"A_3",0.356370747229847
"A_4",0.314250985261488
"A_5",0.309956401670772
"A_6",0.298249410476639
"J_1",0.213588367535437
"J_2",0.184804178848021
"J_3",0.219534941689335
"J_4",0.190890693943776
"J_5",0.187994804499199
"J_6",0.180230619077676


Average Real HR
"","x"
"1",0.261904761904762
"2",0.249315068493151
"3",0.289719626168224
"4",0.250596658711217
"5",0.244444444444444
"6",0.223946784922395
"7",0.137755102040816
"8",0.0934065934065934
"9",0.110497237569061
"10",0.108910891089109
"11",0.100502512562814
"12",0.114427860696517


Average WSR Bias (Realized - Estimated)
"","x"
"1",0.00160762719081398
"2",0.0100390562119425


Average Estimated WSR
"","x"
"1",0.983874841499367
"2",0.966194182081201


Average Real WSR
"","x"
"1",0.985482468690181
"2",0.976233238293143


Average Bias by Year (absolute value) - N.A
"","x"
"V1",92.476496
"V2",91.531096
"V3",92.428104
"V4",86.609048
"V5",88.131384
"V6",79.723824
"V7",82.4048
"V8",81.347448
"V9",82.159728
"V10",78.758752
"V11",76.9512
"V12",87.441344
"V13",84.22616
"V14",91.744312
"V15",89.552528
"V16",89.92488


Bias by Year - N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",75.256,67.571,84.3644,98.7766,76.9406,68.2378,27.9922,47.6418,48.7598,45.8896,43.7644,50.636,20.2188,25.1358,-3.62860000000001,12.6662
"2",10.1894,0.726399999999998,9.267,14.558,2.737,17.2,5.1712,6.5232,9.8142,9.6182,6.4958,8.7348,4.619,5.0256,4.958,2.9928
"3",68.681,34.1072,48.2878,45.0282,34.62,47.3878,48.168,41.361,33.22,43.417,34.2336,21.2882,30.187,14.3168,23.9946,21.5678
"4",117.4888,133.503,123.4934,111.2352,94.8884,85.5594,67.6364,59.995,45.7584,45.67,57.4078,37.2862,25.0258,28.1916,30.6588,27.3238
"5",41.5384,26.0564,25.9308,27.0272,23.8326,16.5106,16.6664,17.5544,12.29,8.0336,13.7968,10.3624,7.7418,10.3738,7.8758,9.406
"6",12.4564,21.0482,25.2764,19.309,24.1392,18.0556,10.8156,11.718,16.1758,11.9688,13.8226,9.305,11.3004,5.9892,3.7652,-0.8538
"7",35.1484,46.1678,38.1228,37.1636,35.946,28.4524,20.8176,17.659,16.275,24.605,20.3148,20.3354,14.8708,10.4886,15.3534,15.7734
"8",47.3232,-10.2974,44.7144,44.6196,16.0736,47.5446,5.6388,33.8084,23.1902,36.0672,40.6072,29.0066,19.1262,41.0348,-5.53200000000001,18.7976
"9",78.0556,51.6832,62.9166,33.9656,29.4152,28.186,28.1654,19.8896,10.7206,11.945,7.2798,4.8342,4.4584,1.5998,0.1632,0.3118
"10",58.42,51.81,54.7562,40.7934,27.3416,20.1186,11.5762,18.6646,17.3208,11.4618,9.5448,10.1538,5.4534,4.5938,4.1178,3.497
"11",21.4566,29.2594,40.1648,17.6834,26.9668,12.6206,17.12,17.1814,7.266,27.1868,28.7574,8.2852,15.696,5.561,6.4862,10.104
"12",86.1466,81.3894,91.406,75.7694,65.6744,60.5108,57.2412,70.279,50.4542,53.3926,54.9828,43.9888,32.8678,44.3552,35.834,35.865
"13",31.3142,21.1578,23.6084,19.8504,13.7376,15.8806,29.1404,16.9482,21.7396,15.8646,20.3612,14.7602,11.2688,7.3436,14.7588,20.1818
"14",126.4176,76.9198,96.4016,52.6038,73.0494,43.85,40.2872,30.919,24.5942,20.2142,12.0306,17.776,10.723,10.1908,3.9536,3.0376
"15",28.223,10.2804,25.4274,7.1568,17.6416,19.379,10.6878,13.375,12.0346,11.0992,8.841,5.722,6.6524,2.9156,3.7986,1.258
"16",32.2462,16.7808,30.9428,5.4144,22.2824,11.2754,17.6514,21.1324,26.3754,16.6322,26.8912,10.0818,15.2516,16.8184,10.1176,16.8072
"17",31.9814,17.7104,29.7062,18.8816,15.4844,28.072,10.7514,16.566,6.1404,17.1188,24.6618,15.103,4.00060000000001,0.517399999999995,-0.779799999999994,0.587199999999996
"18",77.5098,83.7408,75.3412,78.0314,88.13,69.387,61.7964,59.053,39.9344,37.3494,37.3938,20.4438,24.039,21.0786,25.4606,14.6934
"19",109.5394,94.6062,84.2044,80.3572,50.576,66.3596,31.3794,23.8848,18.873,22.9574,11.0974,8.6194,10.1418,8.9142,7.8416,9.772
"20",32.7286,24.838,49.5218,32.55,28.3662,30.8358,29.0392,17.6556,26.009,16.3682,11.7236,10.4182,10.0864,-1.409,3.4994,-1.5748
"21",29.8032,22.8648,15.9486,5.8158,9.7026,8.1886,1.1474,-1.514,0.6828,1.2042,-0.4974,1.33,-1.2304,0.0145999999999999,-0.8558,-0.9784
"22",63.2696,87.0458,64.9512,86.471,55.9518,61.2178,27.7568,56.0184,44.0236,52.6786,35.4454,32.3922,18.3906,14.9338,19.847,20.76
