Average HR Bias (Realized - Estimated)
"","x"
"A_1",0.00808012637965849
"A_2",-0.0136764360957686
"A_3",0.0434707129344153
"A_4",0.0468764309843564
"A_5",0.0359814466769599
"A_6",0.0459660919689279
"J_1",-0.00678385161114783
"J_2",0.0763423574881683
"J_3",0.00154429175582887
"J_4",-0.00270381038445559
"J_5",0.0110732362927354
"J_6",0.00234097098248888


Average Estimated HR
"","x"
"A_1",0.255433387133855
"A_2",0.247910670330003
"A_3",0.207670839577
"A_4",0.196366812258887
"A_5",0.201936768936423
"A_6",0.190593047816018
"J_1",0.131783851611148
"J_2",0.127541137657463
"J_3",0.105325937251805
"J_4",0.099195038454631
"J_5",0.102134310877076
"J_6",0.096019684755216


Average Real HR
"","x"
"1",0.263513513513513
"2",0.234234234234234
"3",0.251141552511416
"4",0.243243243243243
"5",0.237918215613383
"6",0.236559139784946
"7",0.125
"8",0.203883495145631
"9",0.106870229007634
"10",0.0964912280701754
"11",0.113207547169811
"12",0.0983606557377049


Average WSR Bias (Realized - Estimated)
"","x"
"1",0.00320100269026469
"2",-0.00560671251902489


Average Estimated WSR
"","x"
"1",0.98662094644199
"2",0.978760712677557


Average Real WSR
"","x"
"1",0.989821949132254
"2",0.973154000158532


Average Proportional Bias by Year - N.A
"","x"
"V1",-0.209122254573843
"V2",-0.238699830887851
"V3",-0.26037308492603
"V4",-0.235947982109905
"V5",-0.153822364157265
"V6",-0.166889076140196
"V7",-0.20889768288498
"V8",-0.212435367374191
"V9",-0.189112248445075
"V10",-0.19236547873149
"V11",-0.222449817691644
"V12",-0.200033189839864
"V13",-0.230187663904833
"V14",-0.191122759443389
"V15",-0.19324562779181
"V16",-0.210328744273658


Average Proportional Bias by Year - N.J
"","x"
"V1",-0.0140096086518786
"V2",-0.152039808693735
"V3",-0.0374295526063876
"V4",0.0852086732215942
"V5",0.0254341215518646
"V6",-0.0716981298696212
"V7",-0.0368760884863115
"V8",-0.0280929029771017
"V9",-0.0192802784814046
"V10",-0.041843266282829
"V11",-0.029500029768681
"V12",-0.101824304449571
"V13",-0.0051566541853643
"V14",-0.0359330437893341
"V15",-0.0403562040130027
"V16",-0.163885306705477


Real N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",51,206,120,174,135,152,142,154,163,159,176,169,179,190,177,192
"2",286,443,364,411,376,404,365,392,380,390,383,368,380,364,393,378
"3",937,402,849,614,860,739,864,866,951,972,1067,1102,1147,1258,1358,1386
