Age,Trial,WMD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,1,1,-385.7394,-316.965,-389.2039,-369.0336,-372.4184,-404.3036,-514.96,-584.7841,-464.7835,-592.8054,-578.32,-704.2956,-728.3278,-632.3965,,,,
A,1,2,-16.7441,2.8255,5.5152,20.487,-37.6289,-38.5405,-11.398,-19.1645,-25.8593,-21.7061,-18.9841,-3.5824,-33.8283,-23.8833,,,,
A,1,3,-12.6998,36.0046,-12.4123,-13.4815,-3.956,-5.7315,9.2749,-10.0072,-56.3702,3.7974,23.7381,15.0566,0.9507,-0.9488,,,,
A,1,4,-171.0087,-112.2053,-196.872,-178.8546,-249.2942,-307.0566,-339.1181,-300.3281,-413.73,-413.648,-410.9271,-457.0321,-443.5607,-439.9689,,,,
A,1,5,-94.6137,-91.383,-115.6666,-193.7833,-106.1968,-142.8384,-147.3117,-201.1819,-148.0954,-144.4353,-191.0711,-189.7232,-209.1947,-144.448,,,,
A,1,6,52.7323,61.914,31.0701,34.1559,35.1167,35.5293,40.7871,49.0265,30.3102,6.6034,35.789,20.5503,56.7904,37.983,,,,
A,1,7,26.5271,86.2603,47.5482,87.3581,60.9148,21.34,73.1102,21.3499,49.4862,80.8625,60.2805,47.1754,106.2112,99.2462,,,,
A,1,8,-97.6801,-98.486,-224.4799,-225.7822,-195.3452,-240.1706,-253.7849,-282.7973,-259.224,-279.531,-273.2871,-240.9722,-325.4738,-320.8678,,,,
A,1,9,-287.4987,-247.7736,-430.8703,-444.9781,-558.3999,-615.7359,-598.0093,-599.6391,-693.2176,-814.3144,-859.6523,-1039.8984,-941.2095,-1060.3388,,,,
A,1,10,-38.7534,-52.0398,-37.1017,-61.8474,-27.318,-47.7987,-59.4557,-93.0357,-52.5521,-59.3384,-36.4659,-75.7038,-79.3584,-48.6377,,,,
A,1,11,104.6137,133.6342,113.6792,120.6639,83.6632,62.1363,59.094,69.8366,42.5508,39.5672,41.596,42.4636,40.9065,42.9,,,,
A,1,12,160.9,97.7336,74.5991,73.2357,59.404,33.1772,37.2261,31.5839,12.1647,37.735,17.3229,21.7229,14.2764,18.3426,,,,
A,1,13,64.3362,87.4095,59.74,46.2016,43.9853,55.8341,45.3662,14.1336,44.0956,31.266,29.2088,25.0974,20.2309,6.2466,,,,
A,1,14,84.1063,69.4859,72.2169,72.2604,60.1442,44.5188,41.8158,31.4246,5.08,24.5417,36.8093,43.0353,17.985,29.862,,,,
A,1,15,43.0814,40.293,10.4973,25.7519,38.5112,10.2866,17.0927,-18.8435,14.6919,-5.1628,27.7401,24.1752,23.8172,-7.0418,,,,
A,1,16,34.5542,13.9785,5.7872,20.6413,7.6477,1.7406,5.3259,14.0014,31.5899,3.0354,17.4299,7.8835,4.6631,22.017,,,,
A,1,17,84.2665,82.8391,57.8677,64.1948,52.3762,38.3621,46.9762,61.91,25.9572,33.7455,28.8929,24.0677,25.985,14.3813,,,,
A,1,18,70.8303,51.4516,39.3314,22.4673,33.3733,32.7947,37.0919,20.0208,21.6299,13.5359,12.3818,9.7317,12.902,5.3902,,,,
A,1,19,42.8956,40.8811,26.2909,29.6306,18.494,32.8962,0.447,-8.7034,8.4782,17.7161,5.5789,4.8775,-3.5124,2.1403,,,,
A,1,20,116.9722,122.036,96.0057,102.1239,104.1336,65.5924,51.8985,58.7287,45.9253,83.8097,65.2971,50.9845,52.293,58.0327,,,,
A,1,21,60.2771,68.0392,19.9607,56.8511,55.6086,65.2665,48.3597,57.3825,35.5913,31.2401,35.2819,40.5272,37.2707,48.0863,,,,
A,1,22,1.0745,3.5658,14.4686,11.5975,10.702,13.827,13.0978,3.9713,-1.901,2.2189,12.9532,18.6483,17.4843,10.5548,,,,
A,1,23,107.7729,97.0419,71.0348,59.6991,61.5486,51.5366,24.6714,18.3035,36.2398,19.9329,24.5953,24.442,17.5328,14.3293,,,,
A,1,24,44.9262,31.1188,14.762,20.6805,-3.2604,0.5364,3.5528,2.7325,1.7389,-0.6537,2.9341,1.1746,2.5016,1.1231,,,,
A,1,25,106.9615,140.0372,134.2425,148.6414,130.3775,93.3755,96.6827,43.0516,74.0024,42.0856,66.2097,68.6905,62.2597,73.8591,,,,
J,1,1,-415.1815,-655.747,-535.5619,-540.3661,-557.2785,-902.278,-967.3656,-599.4883,-1162.9544,-845.333,-1149.5331,-1037.9891,-862.3981,-958.5243,,,,
J,1,2,13.8821,21.9122,7.9548,-48.7965,-39.2953,-25.0035,-26.2927,-72.0925,-27.9117,-34.5807,-2.0902,-117.5355,-54.1844,110.3091,,,,
J,1,3,138.8291,31.7471,-31.5454,51.2237,51.1956,57.3352,-38.1499,-32.8592,59.036,33.4512,89.8718,30.4751,70.2853,-126.962,,,,
J,1,4,-128.5725,-431.6514,-331.2204,-488.0097,-554.4747,-558.1233,-402.2943,-785.9387,-597.2088,-619.4885,-736.7045,-772.3011,-633.183,-687.5012,,,,
J,1,5,-83.5667,-95.2223,-328.1903,-18.2516,-156.9121,-160.3799,-311.7919,-146.6908,-152.7646,-280.7689,-199.4588,-341.2753,-67.5618,111.3093,,,,
J,1,6,160.6021,81.2513,64.3365,72.6041,113.9256,89.269,78.0909,69.6963,29.0924,130.982,39.7587,84.5758,55.4189,87.6384,,,,
