Years BR Data: 8
Number of Individuals in BR Data: 4000
Additional Years of Total Harvest Data in SS: 15
Years WSR Data: 3
Number of Individuals in WSR Data: 225


Average HR Bias (Realized - Estimated)
"","x"
"A_1",0.0188466848074895
"A_2",-0.0104208466821565
"A_3",0.00608317551721868
"A_4",0.00363756630769368
"A_5",0.0195169877998443
"A_6",0.00771219218168132
"A_7",0.0111241623670847
"A_8",0.00867412477822027
"J_1",-0.0126465719213911
"J_2",0.0205681090345014
"J_3",-0.0314563176599513
"J_4",0.00444654194259947
"J_5",-0.0451701017135478
"J_6",-0.0053148766294121
"J_7",-0.00418713410390126
"J_8",0.00964280335833036


Average Estimated HR
"","x"
"A_1",0.27115331519251
"A_2",0.223535600780517
"A_3",0.239078114805362
"A_4",0.229210666540539
"A_5",0.236016211395327
"A_6",0.213806795160091
"A_7",0.260875837632915
"A_8",0.230165160936065
"J_1",0.134868794143613
"J_2",0.109239583273191
"J_3",0.117477823036295
"J_4",0.112220124724067
"J_5",0.115822275626591
"J_6",0.104080308728178
"J_7",0.129187134103901
"J_8",0.112697622173585


Average Real HR
"","x"
"1",0.29
"2",0.213114754098361
"3",0.245161290322581
"4",0.232848232848233
"5",0.255533199195171
"6",0.221518987341772
"7",0.272
"8",0.238839285714286
"9",0.122222222222222
"10",0.129807692307692
"11",0.0860215053763441
"12",0.116666666666667
"13",0.0706521739130435
"14",0.0987654320987654
"15",0.125
"16",0.122340425531915


Average WSR Bias (Realized - Estimated)
"","x"
"1",-0.000570614224473687
"2",-0.00243786602917029


Average Estimated WSR
"","x"
"1",0.985739680656947
"2",0.978811382479455


Average Real WSR
"","x"
"1",0.985169066432474
"2",0.976373516450285


Average Bias by Year (absolute value) - N.A
"","x"
"V1",60.240924
"V2",47.56706
"V3",52.496936
"V4",41.924576
"V5",42.288044
"V6",50.119124
"V7",52.905468
"V8",43.20486
"V9",42.40808
"V10",52.539444
"V11",39.003508
"V12",45.892836
"V13",43.633504
"V14",48.189636
"V15",33.858624
"V16",39.832988
"V17",43.627224
"V18",54.338328


Bias by Year - N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",35.106,18.0912,5.0175,-0.1327,-9.6643,4.3189,-10.0886,7.2681,-4.6387,-11.2389,-0.924399999999999,10.6242,13.5406,11.4424,8.6119,16.8711,-1.7631,-8.1284
"2",52.0564,12.6856,-26.3346,-4.4177,6.2195,5.18979999999999,8.68819999999999,14.2163,-3.3193,-0.7196,-11.6797,-12.3759,9.6374,-8.391,13.2023,-4.8931,-4.9573,-6.1973
"3",-6.2828,1.541,-5.3279,1.9449,-8.1941,-7.2292,-1.989,3.851,3.5359,-3.6801,1.1514,-2.4031,0.8274,-1.2034,0.6,1.4189,-2.9352,1.3524
"4",-39.3685,-19.589,-7.08449999999999,2.6233,-0.0682999999999936,-11.0038,17.2059,17.245,15.4904,6.34520000000001,-14.9921,-25.2684,-9.93289999999999,-24.7033,-16.8215,-9.17019999999999,-1.0034,-18.0056
"5",-54.8016,-43.1666,-72.6119,-25.5852,-19.1721,-57.0187,-83.3625,-2.50229999999999,-11.8391,-68.8456,41.2032,-33.1603,-63.9048,-12.3705,-17.0252,11.087,10.6754,-45.2203
"6",8.40610000000001,18.0146,13.1161,7.0847,-10.9112,-23.1288,8.1071,-4.5497,6.002,0.430400000000006,-6.2634,-9.05,-5.3794,-3.7951,-0.986799999999999,2.2181,-6.1382,-0.0553999999999988
"7",43.0108,38.7675,11.5287,7.63,1.8111,-2.8481,-6.1618,-2.5738,-7.1909,-5.9997,-5.3947,2.9246,10.4481,17.6667,18.3059,-4.797,-7.6398,-0.0482999999999993
"8",5.5868,14.6076,-18.1222,3.5677,-7.0068,3.9908,9.4499,10.661,-7.0145,-12.8365,-3.0551,2.6892,-3.6058,-7.3903,7.1862,9.544,6.1523,5.0351
"9",-131.4874,-89.9987,-237.9015,-199.5143,-151.6959,-165.4433,-226.6658,-181.1304,-147.8202,-253.4315,-180.829,-164.7752,-163.3099,-238.5701,-127.0735,-118.885,-187.4036,-171.6479
"10",-40.6313,-23.9855,-23.0518,-64.1078,-37.1994,-63.0875,-29.0639,-35.0399,-39.5921,-45.4843,-34.2885,-37.0104,-40.5406,-18.8889,-4.4145,-20.8183,-49.6467,-29.9791
"11",-86.972,-123.0544,-53.6943,-44.8728,-23.389,-17.4773,-89.0702,-45.2836,-27.9843,-34.1951,-9.0539,-52.3966,-79.7331,-58.8504,12.6648,-11.149,-78.1612,-53.0028
"12",28.2638,0.637400000000014,12.6195,10.0173,35.0084,13.6905,2.67740000000001,15.3669,-0.700599999999994,-5.2916,-5.3209,-10.5919,3.3481,-5.1397,2.1449,8.0294,6.0194,-3.347
"13",5.44920000000002,-30.2865,-24.0992,18.9178,19.1168,21.7733,-8.13380000000001,-1.95660000000001,-22.2303,-32.1914,31.0979,38.0682,6.9633,18.6355,4.15389999999999,-34.7916,-0.772300000000001,-33.7856
"14",-204.6304,-151.0816,-168.9903,-77.3884,-120.9686,-133.6282,-129.9198,-104.5052,-135.333,-192.8726,-95.1426,-124.4184,-34.1193,-77.2831,-10.0093000000001,-104.8626,-145.5034,-170.3006
"15",-36.2889,-66.3968,-4.76780000000002,3.58030000000002,-0.827600000000018,6.93709999999999,-21.6542,-43.9568,-24.164,-0.781599999999997,3.75970000000001,-19.0238,-23.7976,-19.5694,-9.97409999999999,23.5687,9.1412,11.1491
"16",-237.0292,-166.3654,-160.2821,-172.1089,-158.8491,-159.8133,-110.8458,-150.2223,-139.5407,-93.7017,-142.8856,-78.1858,-67.6138,-112.7348,-136.1413,-100.2311,-75.5365,-104.4591
"17",33.536,-20.6928,-10.7521,-6.35830000000001,3.786,-16.316,-18.2103,-15.3524,11.4381,-7.96029999999999,5.7595,-0.0899000000000001,16.2412,-25.8876,25.7709,16.8868,-11.5753,0.134900000000002
"18",-21.4074,-63.5508,-26.1908,-12.3068,-15.9178,-28.6026,-9.35230000000001,0.45780000000002,-13.8315,8.88929999999999,-2.88480000000001,16.3661,8.64449999999999,-7.01920000000001,-26.0486,-12.4696,-5.86680000000001,10.9523
"19",-38.1342,-56.4079,-37.9415,-38.5581,-30.1326,-46.8387,-26.8802,-59.9752,-52.8315,-28.1448,-29.4311,-22.27,-37.5124,-22.5107,9.48679999999999,-18.7911,-9.6446,-14.5866
"20",-65.9343,-24.7186,-90.3787,-35.4894,25.6001,-22.1013,-39.164,-26.4078,-89.4771,-57.3748,-37.7231,8.06009999999998,-26.346,-53.8915,-29.5306,-25.2888,-35.2154,-46.8397
"21",-14.9116,-32.7244,-42.546,-46.6933,-13.6962,-30.9858,-72.9154,-17.5691,-11.1071,-34.8416,-0.629099999999994,-47.2888,-33.7752,-37.5914,-3.81259999999997,11.1069,5.53449999999998,1.45229999999998
"22",-15.0947,4.4228,-2.58850000000001,9.9109,4.97150000000001,13.0257,-18.78,2.21629999999999,0.256599999999992,-13.6225,-9.00389999999999,-15.0528,9.23419999999999,-26.9276,-24.3287,-26.0306,-8.2962,1.7518
"23",-62.1256,-0.566100000000006,-15.7958,-53.1857,-58.6172,-107.209,-96.6858,-70.9264,1.87079999999997,-40.9049,-54.1621,-42.6614,-42.9341,-28.1073,-38.569,-77.815,-71.2995,-85.1886
"24",-139.4061,-93.2313,-175.1377,-115.7874,-143.4766,-151.5959,-126.4543,-133.1935,-178.3423,-228.1152,-168.663,-211.2531,-214.1767,-203.4779,-106.9762,-152.3331,-171.9269,-288.8811
"25",-100.102,-74.5924,-66.5424,-86.3307,-150.9009,-139.7245,-151.1105,-113.6941,-104.651,-125.5869,-79.789,-161.3127,-165.2712,-162.6931,-192.6261,-172.7677,-177.8724,-246.9569


Average Bias by Year (absolute value) - N.J
"","x"
"V1",84.498436
"V2",100.28712
"V3",86.494428
"V4",102.508652
"V5",66.20556
"V6",83.147772
"V7",68.004868
"V8",66.322188
"V9",87.765928
"V10",57.508132
"V11",71.751008
"V12",59.630564
"V13",54.802328
"V14",58.98644
"V15",67.945456
"V16",70.510444
"V17",80.202588
"V18",57.219728


Bias by Year - N.J
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",97.5741,46.5553,45.4497,34.2687,39.1407,3.10550000000001,82.3148,-4.7616,6.1944,36.7573,26.6489,37.1849,22.5439,29.0437,34.6069,1.3901,-5.3418,0.118500000000001
"2",62.1267,32.8095,107.259,132.1969,46.0779,70.4281,106.9973,16.0154,49.8904,-26.0487,20.622,53.2506,19.5691,66.4457,-12.6922,47.2096,-3.8931,31.0709
"3",24.273,10.0473,15.3636,5.5018,0.0709000000000017,17.6527,22.1234,21.9539,1.7135,30.0668,-9.2051,11.9606,-1.8664,0.6255,7.5063,-3.8905,7.2459,-2.8175
"4",7.53160000000003,49.288,68.6291,60.4371,-15.7895,132.6299,60.6727,26.3571,-6.42020000000002,-1.54070000000002,9.83300000000003,54.1206,32.3502,21.4494,78.5088,71.7522,-37.2815,-123.6259
"5",167.8654,-18.1787999999999,146.0305,107.4544,24.9365,-69.0866000000001,146.6976,15.7195,-61.9059999999999,201.3833,-55.6562,7.0752,61.605,53.1699,103.9759,88.0540999999999,58.0608999999999,-157.3316
"6",135.7984,63.2998,66.8792,63.9549,25.7405,104.8844,-12.0908,57.8323,23.1286,24.2934,31.0887,16.8137,15.8196,19.0619,30.9951,3.7179,14.8892,18.3673
"7",234.7137,76.6574,126.8632,104.7496,97.3993,38.7676,36.7469,10.0508,28.8293,21.5434,26.0644,32.5526,40.2737,31.9913,-18.15,11.4414,20.5299,12.0887
"8",74.7883,-19.6957,56.6359,29.3564,47.3712,61.8853,19.1242,12.7104,-1.73139999999999,27.7078,20.3723,-5.2875,-9.976,25.192,13.7495,12.1191,2.2156,12.9663
"9",-35.4829999999999,-452.1699,-155.3242,-152.1849,-150.3673,-246.2844,-108.3922,-108.7519,-491.2505,-37.8509,-110.4287,-173.5641,-234.4302,-11.0612,-106.6977,-253.5393,-201.5358,48.8224
"10",68.269,65.5827,-117.3246,42.7466,-42.7811,97.4333,-22.9185,-34.012,-47.8713,-20.7327,-66.2997,-6.76650000000001,-14.4591,67.8984,4.69560000000001,-82.303,2.46539999999999,74.5924
"11",-209.7511,65.7879,0.363200000000006,-47.438,67.3514,-212.3125,16.5155,46.9959,-103.6767,55.5953,-85.1412,-129.4867,-8.98289999999997,27.4727,-8.59929999999997,-167.407,-62.4476,-48.9082
