Age,Trial,WMD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,1,1,4.54496,-53.89248,-44,-11.688,-5.97376,-13.59872,-2.1744,3.44224,14.23936,2.14656,-6.7968,-9.49312,-14.1504,-8.91296,1.91968,,
A,1,2,-137.2784,-126.95616,-55.88832,-32.64448,-58.73952,-1.39296,-25.6944,-26.54528,-39.16416,-35.17664,-5.54976,-25.23264,-19.62336,-9.7568,19.7056,,
A,1,3,-125.10144,-111.99104,-91.04672,-33.83136,-80.02848,-38.66784,-37.93088,-71.64064,-138.64224,-120.66304,-107.87232,-105.24064,-79.2416,-114.90464,-79.96,,
A,1,4,-126.61792,-60.16992,-88.80928,-42.69376,-58.71008,-68.48864,-86.26656,10.96064,-8.31072,-23.83328,-86.3168,-121.66144,-65.92992,-63.88992,-66.61344,,
A,1,5,-7.65344,-20.3184,-56.02176,-13.26944,-45.61952,-2.73504,-17.02784,-19.10336,-23.57888,-23.80832,-8.79136,-9.59008,-5.05056,2.15072,-1.32352,,
A,1,6,-71.06336,-21.01056,-35.98592,-32.26048,-4.9376,-3.45824,-7.52896,-24.60192,-17.39808,-20.11904,-27.55872,-7.38272,-20.84608,-15.32448,6.696,,
A,1,7,-26.69728,-3.81248,-6.64928,21.12768,-6.39776,0.3392,-5.20704,-8.4064,-5.30752,-5.87424,2.24224,-12.20864,-6.77312,-3.34272,13.43456,,
A,1,8,-99.77024,-88.73536,-71.03648,-113.40256,-88.56032,-71.81248,-43.14272,-54.68288,-49.8208,-61.664,-37.01312,-41.36256,-42.13312,-53.33792,-14.30912,,
A,1,9,-54.55456,13.44288,-21.02592,0.98208,-1.5472,-14.56608,-28.79616,-2.91936,-27.05088,-40.13376,-15.75264,10.47936,-10.8816,-27.0304,-14.2832,,
A,1,10,51.25024,26.86144,0.34784,1.62336,7.37792,-3.93376,6.24736,0.85312,-7.52288,3.94656,25.81312,2.12672,-6.1744,-2.51936,-16.8272,,
A,1,11,-45.30976,-22.25504,-3.52864,-46.26144,-9.75872,-2.09408,-20.4032,2.05344,-19.10016,-18.31296,-15.76672,-9.43776,-5.47968,-6.57696,-8.03648,,
A,1,12,-69.4624,-32.8672,-43.78752,4.06912,-33.36992,-37.58752,-28.90144,-8.9888,-17.05024,-13.56672,-9.88192,-40.4992,4.51488,-8.2752,-5.56864,,
A,1,13,-63.3376,-6.61024,-44.28448,-62.69536,1.29504,-16.48864,-27.43008,-15.92256,-67.53888,-64.85792,-30.89408,-32.296,-65.70368,-28.27872,-3.58624,,
A,1,14,-75.07264,-15.40928,-42.94208,-19.01088,-60.32064,-33.25312,-26.78464,-84.03008,-28.12,-22.85696,-24.3408,-26.688,-47.05472,-14.79584,-25.3152,,
A,1,15,-43.6896,13.8816,-33.6736,-24.9536,-47.09312,0.66464,-10.63296,-13.91424,-8.33696,-8.80608,-21.63488,-24.21984,-16.51712,-13.25504,-5.0944,,
A,1,16,-101.51328,-54.64544,-16.26944,-26.42272,-5.52416,-19.5744,-43.11392,12.63168,-18.97856,-20.68224,-15.72384,-31.05312,-12.62976,-8.54016,-32.06912,,
A,1,17,-79.40128,-71.91616,-15.3696,-44.24064,-43.22336,-67.80352,26.70752,-4.54368,-35.32672,-29.45408,-34.21824,-28.9968,-32.13952,-35.93152,-27.13856,,
A,1,18,-71.79328,-18.11488,-19.94784,-16.94976,-15.16704,-42.2512,26.96896,2.35776,-6.71104,-21.1776,-46.74048,-10.5632,-36.64736,-19.62464,-10.95232,,
A,1,19,-26.47552,-5.69184,-5.59104,-4.70848,22.24288,17.00096,10.43904,-13.12288,-45.33664,-58.29376,-19.60832,4.21696,-13.43072,-8.6928,-30.52512,,
A,1,20,-77.07008,-80.38112,-87.39008,-39.51648,-46.01248,-29.69184,-39.28992,-34.72448,-72.46016,-65.20416,-51.77088,-48.71872,-35.10528,-49.63648,-53.88608,,
A,1,21,1.64544,-6.672,14.44256,-32.72864,-5.2192,15.304,-15.87968,-38.00512,-26.01696,-14.27104,-53.2368,-16.2,5.72512,-5.43264,-6.26336,,
A,1,22,-7.08128,3.38336,20.58816,8.25504,-5.97152,-21.55072,-20.1136,-0.56288,-13.7808,-15.2704,-12.14272,4.8208,18.3728,-0.37536,-18.51136,,
A,1,23,22.03072,0.31936,17.69952,4.92096,-14.11552,-18.05248,10.1536,18.11424,-11.34496,-10.28416,-24.4912,-22.47392,-39.69216,-12.52032,-13.0256,,
A,1,24,25.15392,-3.80544,-8.45344,9.89696,16.74368,50.39296,-2.75424,-12.28448,-17.17568,11.6736,-15.1632,-6.47168,5.12608,12.35264,3.14688,,
A,1,25,-26.78048,-10.3648,-13.65088,-7.41216,-14.09408,12.9904,-9.29152,-27.63808,-5.48064,-29.352,-12.58336,19.02784,-2.00928,-15.76896,-7.78528,,
J,1,1,52.29696,168.5616,165.23552,111.0048,102.76544,89.11936,44.37664,84.40224,25.21952,1.96,14.656,-0.10656,3.1664,35.5088,5.21248,,
J,1,2,-39.93568,249.78176,98.95808,104.63168,190.2768,33.74464,43.82016,35.08512,36.57088,48.49024,5.33248,21.94048,18.56288,60.06944,3.03552,,
J,1,3,-106.5088,-66.73184,14.12992,-145.46368,7.72672,-82.06592,-131.16832,-297.06784,-95.95872,-120.1888,-167.04768,-66.92736,-172.10336,-61.87904,-218.2,,
J,1,4,-21.88064,2.07584,-11.53184,12.15872,-43.54208,-43.16096,126.4976,8.84736,-7.5936,-109.89056,-149.0352,52.48672,-54.28576,-88.09248,93.5248,,
J,1,5,162.64352,289.74848,182.81952,167.74368,180.81088,121.3248,92.40832,34.90816,7.60064,26.13472,35.30528,28.30304,19.91488,24.51968,21.68416,,
J,1,6,9.43872,47.24352,0.55904,68.68704,4.30208,37.33632,0.97472,9.22208,0.63872,-15.80064,34.1472,-26.30816,7.75104,25.98752,2.48864,,
J,1,7,80.10656,76.64576,71.97472,5.27776,41.93632,50.88256,12.42272,34.44768,14.15136,21.43616,-15.88064,-0.51584,18.66496,17.14272,12.00512,,
J,1,8,11.22816,4.14976,-57.5312,1.5648,-20.44576,-13.08928,-44.9744,7.45216,-20.86368,37.81504,-35.47488,1.75296,-33.81152,46.71552,8.70944,,
J,1,9,79.93664,132.82496,134.26304,83.83616,28.20704,65.62176,86.11488,33.99904,31.5936,37.91872,68.68896,-17.16288,4.11552,66.9616,-5.8576,,
J,1,10,6.75936,147.10592,19.6384,133.89056,39.80352,94.4848,85.69344,60.24448,29.75552,67.20128,13.66848,23.1472,24.88416,-23.16544,11.63296,,
J,1,11,46.64608,81.22784,-38.40064,91.21536,43.61344,-13.2272,103.41728,-11.43104,-8.90464,34.616,24.504,58.85152,33.36256,14.85024,24.07584,,
J,1,12,-2.05408,54.99488,131.12704,31.02144,17.92,21.62496,65.56416,35.7104,38.04224,19.38048,-22.36832,67.42208,21.64896,33.79872,48.22656,,
J,1,13,72.27328,87.53152,-21.31424,126.86176,64.27072,67.52608,83.96896,-13.38944,27.68352,83.8512,12.33408,-51.89888,28.5728,58.1024,57.24864,,
J,1,14,111.75104,52.32288,109.81312,-8.59264,59.52864,27.25472,-48.59424,107.83712,5.63616,53.0384,76.54688,-18.04768,70.01248,37.40832,84.50752,,
J,1,15,23.85184,35.6512,53.48768,82.54048,97.06464,62.89984,23.00288,17.74912,42.9408,35.69408,-11.864,25.36128,26.55104,45.31392,36.75072,,
J,1,16,209.1168,143.15264,90.01056,137.67936,57.71936,31.61728,114.32672,7.58784,52.43488,48,14.55264,55.31744,21.75552,27.68864,31.21088,,
J,1,17,129.76,313.30656,84.17344,165.27392,11.05568,252.37568,116.75552,37.43424,52.75904,27.9968,7.16896,29.15424,1.7488,12.87904,-43.94464,,
J,1,18,61.78144,243.5056,97.97856,180.024,12.67584,165.9328,94.0768,72.13312,45.00544,38.5152,103.016,-20.4448,43.11968,18.4688,13.65504,,
J,1,19,204.21088,249.58944,188.02464,207.39392,103.08704,123.10656,82.72448,33.45568,-3.70272,64.70272,58.81248,10.48384,28.98624,16.33408,55.6752,,
J,1,20,-39.13152,27.93088,124.832,98.90944,78.23168,22.25088,51.46304,-28.65856,-21.86688,-2.1376,-13.76512,1.1952,-19.0128,10.04384,-8.21024,,
J,1,21,110.08128,271.95424,43.9648,109.73248,109.86528,60.83456,109.2432,61.91936,20.55936,-10.59936,85.71136,48.07072,43.22848,42.59776,22.20416,,
J,1,22,-33.0736,243.752,50.45504,111.2976,10.95552,106.84512,59.06208,55.60288,34.54656,40.06816,78.03552,84.00864,49.42176,29.728,3.91456,,
J,1,23,177.82816,202.87008,159.04544,62.312,34.92192,144.0144,96.33504,36.04032,30.9776,45.29728,52.57888,16.37248,68.75104,66.86624,21.29664,,
J,1,24,167.04768,394.93824,211.46048,273.0912,250.2144,96.29248,117.43808,134.61824,92.57728,65.3616,86.9872,72.00672,72.40992,71.25536,98.71968,,
J,1,25,115.47776,285.23136,167.58304,159.14336,173.8016,125.60416,62.26496,134.4704,35.47648,67.11072,100.18912,18.31584,19.28416,32.85216,-0.41088,,
A,2,1,74.96896,16.38976,28.05632,30.62016,34.0384,3.17856,43.62464,12.14848,8.86272,6.29984,-0.61504,-11.09376,-0.41088,-11.77504,3.8176,12.7424,-2.02784
A,2,2,-8.77056,9.0544,41.87424,7.6976,21.02336,8.68864,15.36768,-1.31552,15.04384,-8.17952,-0.92608,6.15904,3.4912,5.03968,-4.87616,-1.19808,-2.15808
A,2,3,26.92928,18.43968,-6.94144,-12.37376,12.26432,8.43072,1.93792,-18.24704,-8.91264,-10.62816,-10.65632,6.0896,11.72128,1.02816,-4.64512,1.72832,-2.03072
A,2,4,11.42048,10.224,4.31136,1.86976,-19.96192,-14.86752,3.19488,14.8576,1.68384,6.82304,-2.93408,0.67648,2.61984,-1.05696,-6.70112,3.22368,3.78304
A,2,5,-0.53632,0.10528,12.06176,25.67392,20.9104,-2.43488,1.73696,6.33824,9.82176,14.08832,3.76832,-6.40352,3.368,9.8976,-2.01312,-4.86816,-0.8992
A,2,6,-85.84512,-49.6128,-1.70208,-8.58144,-9.02944,-7.80928,-19.97536,-5.232,-22.3312,-17.18368,-32.74016,-26.90848,-13.3984,-2.12,0.28192,-7.3648,-18.02784
A,2,7,-38.43616,-61.2288,-0.98464,1.08,10.10592,-8.76384,12.07616,11.19968,6.37856,-12.56864,-10.04544,5.81024,6.18944,-0.048,-12.03872,-0.10112,-7.10464
A,2,8,-29.05728,2.30208,39.77536,33.63488,3.8496,-16.65856,18.24256,15.01984,-13.52256,-18.54016,-9.86784,-2.2288,-14.84608,4.57696,-4.4896,-1.8688,-2.37504
A,2,9,-3.26304,-10.48224,3.33472,-5.0368,-10.4608,-8.62688,-2.6336,0.1552,-2.74912,4.5376,0.04384,0.20224,-3.60576,1.49536,2.1904,4.12224,-2.44832
