Years BR Data: 5
Number of Individuals in BR Data: 2500
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 225


Average HR Bias (Realized - Estimated)
"","x"
"A_1",-0.0192388485669538
"A_2",-0.0102356234327382
"A_3",-0.0313844383177123
"A_4",-0.000512015888904427
"A_5",-0.00106461975812067
"J_1",-0.0457935204348572
"J_2",-0.0877991691078298
"J_3",-0.0450143319842378
"J_4",-0.054637856223722
"J_5",-0.0458107133196253


Average Estimated HR
"","x"
"A_1",0.28622913982909
"A_2",0.307686048361917
"A_3",0.295947545113829
"A_4",0.265428483669334
"A_5",0.286778905472406
"J_1",0.174506391721986
"J_2",0.188862998895064
"J_3",0.180883897201629
"J_4",0.160698462284328
"J_5",0.174676692701069


Average Real HR
"","x"
"1",0.266990291262136
"2",0.297450424929178
"3",0.264563106796116
"4",0.26491646778043
"5",0.285714285714286
"6",0.128712871287129
"7",0.101063829787234
"8",0.135869565217391
"9",0.106060606060606
"10",0.128865979381443


Average WSR Bias (Realized - Estimated)
"","x"
"1",0.00139412353115809
"2",0.00814738843425611


Average Estimated WSR
"","x"
"1",0.984727346329992
"2",0.970901840878328


Average Real WSR
"","x"
"1",0.98612146986115
"2",0.979049229312584


Average Bias by Year (absolute value) - N.A
"","x"
"V1",117.9681536
"V2",68.7215744
"V3",65.2105344
"V4",58.0197248
"V5",55.6058496
"V6",43.2707584
"V7",39.6520832
"V8",38.0337664
"V9",30.1282944
"V10",28.9932416
"V11",30.8551296
"V12",29.8314368
"V13",30.212992
"V14",22.0656256
"V15",25.5304192


Bias by Year - N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",157.17792,48.09856,80.5776,38.1568,25.79552,13.63168,18.85792,5.31008,17.25824,24.592,40.43968,37.26208,20.83808,8.97504000000001,7.0848
"2",21.7456,35.51968,22.47552,-10.06912,-35.86368,-10.6272,-9.62240000000003,-13.98592,-34.14208,-24.24064,-14.11584,-12.91296,-22.16128,5.44032000000001,4.48063999999999
"3",85.11904,75.51264,59.30816,59.81024,43.9408,25.9472,10.70976,14.0336,9.14080000000001,47.86592,40.10176,43.69792,25.61728,32.3808,27.75936
"4",162.63712,49.76096,58.32928,29.84608,-29.02304,10.01088,18.38816,12.2864,20.31456,14.85888,22.384,15.93312,27.4768,6.44607999999999,6.55168
"5",9.92576000000003,9.43328,3.10720000000001,-10.95488,15.6304,25.71136,-0.592960000000005,13.9984,24.69952,-3.44704,17.6784,20.07872,-4.71168,2.13248,1.50432
"6",38.9136,18.10432,19.89984,-14.04,-4.68096,-8.17504,1.58911999999999,10.74784,12.68512,0.174720000000001,7.74592,-4.48096,3.37024,-9.28,0.846080000000001
"7",-9.40800000000002,20.29248,2.03296,6.72672,1.25824,1.66336000000001,29.76672,-30.63744,-1.65312,6.03071999999997,5.1088,8.28160000000003,32.72288,1.87200000000001,14.58688
"8",2.90144000000001,-15.2416,-36.22848,-49.62784,-10.93536,9.2784,-19.39712,-28.58016,13.75808,4.1952,-23.6368,-35.72672,-12.81248,-30.61376,-19.00832
"9",30.58016,8.20767999999998,-41.36256,-16.87616,-6.96832000000001,-0.603520000000003,-29.83904,-16.47584,-26.17632,-8.69759999999999,-10.82944,-29.90176,-14.27392,-1.79712000000001,0.190080000000002
"10",150.3744,64.30144,47.4784,48.3824,42.89504,24.87264,41.66144,33.03136,23.53632,13.4384,10.37952,9.07328,8.07648,21.85664,-5.31264
"11",5.06432000000001,9.68608,23.44832,-7.13664,-28.07008,-3.32032000000001,-13.55616,-1.06048000000001,-10.99264,-11.74304,4.93792000000001,26.97856,13.12832,6.73887999999999,19.05568
"12",-33.81344,8.80832000000001,-9.54848000000001,-45.86496,-50.51648,-41.3728,-46.30656,-15.46624,-8.43104,-10.98496,-20.8544,4.7552,-27.71904,-17.90208,-29.22304
"13",-81.97728,-93.45216,-101.01504,-69.25056,-84.95808,-73.20896,-73.83168,-54.592,-32.20832,-65.84032,-95.42432,-54.93536,-46.48128,-31.02784,-46.31392
"14",-342.84224,-237.84288,-247.43008,-285.4944,-339.10624,-299.59936,-240.89568,-311.56896,-250.42528,-259.60032,-185.77536,-221.41792,-254.55616,-203.51392,-259.63456
"15",-195.6672,-110.23552,-145.81312,-143.66208,-171.04608,-194.11456,-168.4784,-99.10208,-93.264,-86.10752,-130.69024,-92.36128,-151.5696,-85.8694400000001,-87.60736
"16",-67.49856,-62.48672,-22.40864,-80.61248,-98.2848,-30.63232,3.91136,-31.53184,4.51551999999998,14.01728,-14.728,-4.78559999999999,12.92224,-16.0768,-29.36608
"17",146.36832,42.4310400000001,-28.0864,-70.9564800000001,-46.7568,-38.78368,-11.79008,-60.06208,-13.52512,-2.74367999999998,-24.47328,-30.9232,-2.06752,4.096,6.04032000000001
"18",137.46144,69.8176,38.17184,28.6272,14.55584,9.57344000000001,30.59744,31.46368,17.63264,20.04448,15.87616,19.64384,7.816,10.03136,19.2816
"19",68.52384,26.44128,17.99776,10.13824,8.35167999999999,44.01408,21.99616,29.29696,18.30272,12.31232,20.10016,11.65312,10.91712,18.27904,3.45504
"20",4.76096000000001,8.7088,18.87936,-27.19616,-8.21600000000001,1.51296000000001,1.40416,5.51648,-12.4016,5.00991999999999,1.12896,-5.29248,-6.21088,0.206720000000001,-4.90624
"21",21.1392,66.64,39.92224,38.98112,28.93472,10.09216,5.1504,7.22848,4.63136,3.06432,3.8816,7.08768,6.51424,7.59616,5.36576
"22",193.9568,138.07168,139.35488,65.86272,74.87616,47.68928,68.832,40.41216,39.1728,30.7824,27.70144,29.86368,27.66432,18.23008,17.5856
"23",183.2992,150.82912,135.59232,106.90208,76.21184,59.59552,47.85248,24.93664,32.13184,19.9424,17.33088,8.67936,9.00544,9.07136,17.26752
"24",478.83616,240.24416,189.78912,125.73632,102.53792,69.42816,46.05088,34.15776,20.86656,18.82976,10.80096,9.72992,4.33728,1.26624,2.07296
"25",319.21184,107.87136,102.00576,59.58144,40.73216,28.31008,30.224,25.36128,11.34176,16.2672,5.2544,-0.329599999999999,2.35424,-0.94048,3.76


Average Bias by Year (absolute value) - N.J
"","x"
"V1",198.3806208
"V2",302.2064384
"V3",181.1864064
"V4",190.3594752
"V5",141.9310208
"V6",138.9306112
"V7",113.8599424
"V8",89.8770176
"V9",95.7234688
"V10",76.64544
"V11",70.2527616
"V12",64.3504512
"V13",55.3247104
"V14",58.0272128
"V15",40.9213824


Real N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",981,434,577,383,388,274,244,209,188,166,155,132,118,97,79
"2",700,444,518,421,372,328,290,270,225,221,188,193,171,148,139
"3",843,623,631,511,489,421,369,309,279,256,230,226,202,181,160
"4",963,381,576,352,354,281,261,216,198,156,151,123,125,97,89
"5",299,157,218,150,152,121,115,103,109,76,82,73,57,45,40
"6",192,267,189,176,155,106,108,96,67,62,51,46,39,25,29
"7",651,536,514,418,423,368,391,320,307,302,256,267,240,227,203
"8",246,238,200,178,162,168,159,142,145,143,140,112,118,105,98
"9",428,386,332,282,239,217,187,150,152,138,118,96,83,82,64
"10",691,461,447,331,322,235,227,201,161,128,113,97,95,79,74
"11",477,253,357,256,267,211,191,176,132,127,116,113,104,104,107
"12",196,219,173,169,147,146,131,130,105,110,104,112,104,107,92
"13",275,255,230,235,214,198,202,179,190,174,162,162,163,167,163
"14",984,651,837,722,755,705,709,712,656,666,679,668,695,685,675
"15",720,661,681,635,671,577,567,573,518,496,521,480,468,501,447
"16",902,511,664,511,532,457,477,421,380,370,333,331,334,308,274
"17",979,695,660,569,509,443,430,370,311,279,257,209,202,163,169
"18",839,491,541,406,375,299,276,245,211,190,171,148,136,109,111
"19",471,242,284,206,214,183,175,167,133,121,121,96,94,74,74
"20",149,270,174,182,126,108,97,86,63,70,48,51,30,31,24
"21",113,201,122,123,84,75,47,40,27,18,16,15,11,10,8
"22",784,455,500,322,325,237,229,173,141,112,91,81,63,57,45
"23",486,360,303,251,193,145,124,81,73,49,51,31,24,25,27
"24",970,504,461,304,241,162,111,93,60,53,34,29,20,10,9
