"Name","WMD","Value","Trial"
"Years BR Data",NA,"7",8
"NInd BR Data",NA,"3500",8
"Years Extra TotHarv Data",NA,"15",8
"Years WSR Data",NA,"3",8
"NInd BR Data",NA,"150",8
"NSites BR","1","2",8
"NSites BR","2","4",8
"NSites BR","3","6",8
"NSites BR","4","4",8
"NSites BR","5","3",8
"NSites BR","6","7",8
"NSites BR","7","3",8
"NSites BR","8","2",8
"NSites BR","9","6",8
"NSites BR","10","8",8
"NSites BR","11","1",8
"NSites BR","12","4",8
"NSites BR","13","9",8
"NSites BR","14","11",8
"NSites BR","15","6",8
"NSites BR","16","2",8
"NSites BR","17","4",8
"NSites BR","18","5",8
"NSites BR","19","14",8
"NSites BR","20","8",8
"NSites BR","21","9",8
"NSites BR","22","10",8
"NSites BR","23","6",8
"NSites BR","24","9",8
"NSites BR","25","7",8
"NSites WSR","1","0",8
"NSites WSR","2","2",8
"NSites WSR","3","1",8
"NSites WSR","4","2",8
"NSites WSR","5","0",8
"NSites WSR","6","3",8
"NSites WSR","7","1",8
"NSites WSR","8","0",8
"NSites WSR","9","1",8
"NSites WSR","10","1",8
"NSites WSR","11","1",8
"NSites WSR","12","0",8
"NSites WSR","13","3",8
"NSites WSR","14","4",8
"NSites WSR","15","1",8
"NSites WSR","16","0",8
"NSites WSR","17","3",8
"NSites WSR","18","2",8
"NSites WSR","19","2",8
"NSites WSR","20","3",8
"NSites WSR","21","3",8
"NSites WSR","22","3",8
"NSites WSR","23","3",8
"NSites WSR","24","4",8
"NSites WSR","25","2",8
"NInd BR","1","38",8
"NInd BR","2","108",8
"NInd BR","3","140",8
"NInd BR","4","65",8
"NInd BR","5","58",8
"NInd BR","6","116",8
"NInd BR","7","78",8
"NInd BR","8","66",8
"NInd BR","9","111",8
"NInd BR","10","197",8
"NInd BR","11","6",8
"NInd BR","12","74",8
"NInd BR","13","197",8
"NInd BR","14","253",8
"NInd BR","15","173",8
"NInd BR","16","56",8
"NInd BR","17","104",8
"NInd BR","18","150",8
"NInd BR","19","333",8
"NInd BR","20","150",8
"NInd BR","21","154",8
"NInd BR","22","289",8
"NInd BR","23","136",8
"NInd BR","24","214",8
"NInd BR","25","234",8
"NInd WSR","1","0",8
"NInd WSR","2","25",8
"NInd WSR","3","10",8
"NInd WSR","4","15",8
"NInd WSR","5","0",8
"NInd WSR","6","31",8
"NInd WSR","7","11",8
"NInd WSR","8","0",8
"NInd WSR","9","14",8
"NInd WSR","10","9",8
"NInd WSR","11","14",8
"NInd WSR","12","0",8
"NInd WSR","13","24",8
"NInd WSR","14","42",8
"NInd WSR","15","4",8
"NInd WSR","16","0",8
"NInd WSR","17","26",8
"NInd WSR","18","38",8
"NInd WSR","19","17",8
"NInd WSR","20","25",8
"NInd WSR","21","41",8
"NInd WSR","22","37",8
"NInd WSR","23","35",8
"NInd WSR","24","36",8
"NInd WSR","25","14",8
