Years BR Data: 6
Number of Individuals in BR Data: 3000
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 225


Average HR Bias (Realized - Estimated)
"","x"
"A_1",0.0620686840405247
"A_2",0.055981379128936
"A_3",0.0904364618597564
"A_4",0.0766953757266101
"A_5",0.0478236059453947
"A_6",0.0301672678716546
"J_1",-0.064626052476692
"J_2",-0.0636040053959154
"J_3",-0.0719272316557469
"J_4",-0.0925487971429274
"J_5",-0.113301830258982
"J_6",-0.104109757858871


Average Estimated HR
"","x"
"A_1",0.186800094240018
"A_2",0.188863981695806
"A_3",0.205938804664764
"A_4",0.19506683234133
"A_5",0.207363116046307
"A_6",0.21614852160203
"J_1",0.171225037248266
"J_2",0.173127814919725
"J_3",0.188948508251492
"J_4",0.178843213386582
"J_5",0.190224907182059
"J_6",0.198350595555206


Average Real HR
"","x"
"1",0.248868778280543
"2",0.244845360824742
"3",0.29637526652452
"4",0.271762208067941
"5",0.255186721991701
"6",0.246315789473684
"7",0.106598984771574
"8",0.10952380952381
"9",0.117021276595745
"10",0.0862944162436548
"11",0.0769230769230769
"12",0.0942408376963351


Average WSR Bias (Realized - Estimated)
"","x"
"1",-0.00375752157988518
"2",0.0257394393846856


Average Estimated WSR
"","x"
"1",0.993774938420442
"2",0.952203317838821


Average Real WSR
"","x"
"1",0.990017416840557
"2",0.977942757223506


Average Bias by Year (absolute value) - N.A
"","x"
"V1",172.5981312
"V2",223.7003776
"V3",210.6141312
"V4",217.0386304
"V5",209.6789632
"V6",237.9337984
"V7",270.0510464
"V8",278.2167936
"V9",278.2072064
"V10",293.3712384
"V11",368.9979264
"V12",396.128896
"V13",414.0192128
"V14",413.3035776
"V15",405.1561856
"V16",397.7922176


Bias by Year - N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",-74.41632,-97.64416,-51.80512,-39.95776,-31.28896,-17.6464,-26.72416,-36.57696,-42.33024,-32.87264,-19.19616,-26.79712,-42.15488,-47.84576,-43.82368,-8.96672000000001
"2",-475.85312,-643.32,-622.82464,-638.61376,-685.03744,-671.45184,-828.76096,-709.5248,-792.11008,-868.20416,-1167.9744,-1232.4656,-1227.37376,-1206.04192,-1243.83616,-1160.008
"3",-260.44448,-390.64,-240.85152,-272.91168,-179.03072,-203.42272,-231.49376,-229.20224,-173.89504,-214.63808,-250.97216,-256.56224,-311.92224,-321.80288,-221.26304,-208.33856
"4",49.19936,-13.77088,3.46688,24.64032,-8.64895999999999,-2.91264000000001,2.53568000000001,-7.07167999999999,21.90656,48.67264,26.10944,23.5888,29.2832,20.01248,23.15456,23.86912
"5",41.04672,5.584,-2.12608,-1.84640000000002,22.78752,16.86336,10.91296,44.96032,29.64256,35.4512,25.80896,26.08896,12.67744,25.57728,26.17312,23.34624
"6",-65.5299199999999,-199.22272,-84.56032,-95.02688,-27.11712,-86.7504,-30.0073599999999,-125.27296,-10.4729599999999,-4.69568000000004,-39.82208,-49.42656,-57.7612800000001,-28.45088,2.97152000000006,65.21984
"7",-571.56544,-594.3488,-604.39904,-604.96896,-561.96736,-648.41504,-623.9024,-642.18432,-724.89152,-754.73952,-936.1808,-1014.0288,-964.97152,-1078.83712,-956.50688,-841.42944
"8",-365.34272,-382.81024,-409.91296,-447.22304,-439.66176,-477.90496,-507.2512,-547.42432,-522.13888,-608.63136,-747.11424,-755.52,-781.0624,-809.25376,-945.9536,-870.6064
"9",-26.50976,20.09248,-18.30976,-9.17887999999999,-18.36896,-14.57056,-18.77504,-39.06688,-36.95264,-40.9248,-64.2304,-42.57664,-55.26176,-47.04544,-34.66528,-8.04768000000001
"10",-35.32224,-35.50176,-57.74336,-29.64896,-33.18016,-42.36288,-56.98176,-51.5808,-5.46016,-17.78752,-12.76864,-24.90784,-44.88992,-37.4832,3.928,9.90624
"11",-14.36672,-176.6432,-63.60128,-82.89472,-24.3968,-72.46944,-84.79904,-89.86496,-38.69664,-66.04736,-110.14688,-81.79648,-56.056,-13.45568,-25.2268800000001,36.3616
"12",-33.744,-161.32448,-68.35424,-115.11072,-24.21792,-89.12256,-45.84192,-15.11264,8.55423999999999,-5.13920000000002,-44.29312,-42.43264,-21.2576,-9.37119999999999,0.384000000000015,61.80672
"13",-9.20032,-116.34016,-104.27232,-119.22432,-131.79392,-189.25504,-238.71104,-219.42208,-205.88512,-210.2864,-231.04928,-255.55072,-314.67168,-278.21216,-267.24864,-224.76128
"14",-515.8768,-521.49856,-468.5456,-470.37504,-514.5296,-519.74656,-582.52288,-608.55904,-660.57024,-685.21504,-871.86272,-874.18816,-959.7488,-852.00608,-782.47392,-855.96288
"15",-695.66272,-800.2752,-875.83424,-924.45792,-993.35552,-1065.3056,-1351.61504,-1409.6624,-1556.16864,-1694.00448,-2147.13152,-2451.0352,-2704.03392,-2743.23008,-2878.46144,-3067.568
"16",-17.19232,12.26624,-119.22944,-25.46304,-91.90912,-80.62656,-59.66304,-92.98656,-54.3152,-71.15136,-90.54976,-96.64768,-140.10528,-106.4928,-84.2716799999999,-81.4224
"17",-45.02592,-50.75104,-40.74784,-50.2384,-24.67968,-63.34496,-77.17792,-67.74464,-61.17888,-52.81248,-40.91904,-53.79584,-71.5264,-88.03744,-59.25952,-38.06336
"18",-26.08704,-110.09312,-182.52128,-92.9408,-186.28832,-239.27904,-234.42624,-238.98016,-268.55776,-258.54336,-266.5488,-258.30336,-247.87424,-268.43328,-343.42624,-289.7104
"19",-553.38784,-573.85056,-655.27712,-697.68928,-685.1296,-793.20192,-900.92288,-969.48096,-979.53184,-973.6432,-1261.80864,-1374.15136,-1447.07392,-1483.52768,-1429.52192,-1312.53536
"20",-46.20288,-65.67616,-72.17472,-99.8864,-132.70688,-110.31808,-133.85888,-131.53568,-118.76448,-115.25376,-126.26592,-149.59168,-141.9968,-172.03488,-214.40384,-169.49888
"21",-5.50879999999995,-97.66528,-45.16512,-80.36,-11.35936,-12.27072,-30.7824000000001,-26.14176,-73.56032,-61.7763200000001,-52.11808,-106.04064,-80.3318400000001,-48.67232,-26.23488,92.44928
"22",-65.99584,-122.4736,-46.47296,-63.66528,-32.20096,-82.75392,-61.38976,-65.25664,-64.85408,-46.77728,-69.85696,-56.24352,-50.0112,-46.3584,-26.27232,-21.76384
"23",-73.3296,-39.4208,-124.89344,-120.55072,-149.1792,-220.2656,-245.69792,-227.37376,-165.0176,-173.57376,-242.96064,-304.664,-243.84384,-239.70336,-223.64288,-180.08416
"24",-147.72448,-148.01216,-227.29152,-205.92288,-207.6176,-192.32224,-284.92768,-250.37312,-241.82048,-170.82208,-217.936,-252.55168,-284.56864,-337.5088,-264.65696,-290.56768
"25",-100.41792,-213.28384,-74.97248,-113.1696,-25.52064,-35.76192,-81.59424,-110.06016,-97.904,-122.61728,-161.32352,-94.26688,-60.02176,-23.19456,-1.14368000000002,2.51135999999997


Average Bias by Year (absolute value) - N.J
"","x"
"V1",144.3443456
"V2",249.479552
"V3",219.3337344
"V4",258.2888192
"V5",221.5717632
"V6",250.7332736
"V7",249.5425408
"V8",299.556416
"V9",285.529152
"V10",263.5361536
"V11",321.6029952
"V12",333.5467008
"V13",366.2582912
"V14",432.249664
"V15",477.626048
"V16",572.0559488


Real N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",179,90,129,130,141,161,158,154,172,169,199,190,197,170,193,209
"2",850,750,891,928,971,1144,1157,1318,1384,1593,1633,1882,1956,2191,2458,2703
"3",970,359,763,533,703,675,734,735,833,844,899,986,985,983,1096,1142
"4",450,343,348,317,257,245,222,198,194,197,168,168,146,139,132,115
"5",439,361,344,313,277,245,223,212,191,180,171,175,133,145,120,117
"6",849,448,646,502,594,553,618,528,593,605,595,632,604,581,611,613
"7",995,732,876,883,969,1075,1158,1283,1336,1445,1555,1701,1769,1894,2174,2368
"8",626,430,583,539,629,657,726,760,873,937,1092,1125,1277,1340,1550,1600
"9",67,139,97,123,116,127,138,124,142,140,126,142,126,141,145,158
"10",209,283,232,253,221,248,238,226,250,241,239,258,204,227,227,229
"11",904,356,664,468,554,497,541,498,573,541,559,576,580,591,566,601
"12",856,365,598,414,499,429,462,450,468,469,490,477,457,458,458,497
"13",197,260,259,306,331,368,358,402,418,445,481,510,527,549,614,636
"14",862,770,844,920,945,1061,1176,1229,1315,1397,1576,1662,1722,1837,2045,2096
"15",541,632,659,764,846,987,1112,1237,1477,1606,1883,2185,2336,2644,3089,3482
"16",238,442,268,416,337,392,346,400,377,425,434,474,471,462,516,513
"17",106,159,132,161,153,163,166,176,174,183,210,213,213,228,227,266
"18",127,473,276,456,359,465,436,470,502,536,593,670,672,716,794,838
"19",834,755,868,958,1027,1131,1214,1294,1453,1589,1767,1983,2051,2205,2486,2686
"20",106,169,146,176,173,200,219,222,248,271,301,342,384,404,440,478
"21",612,352,511,407,509,476,518,510,533,556,571,596,573,586,610,688
"22",433,203,349,263,323,279,313,279,312,322,331,328,307,319,324,292
"23",141,425,277,413,364,468,411,493,492,553,561,638,644,695,773,777
"24",529,607,559,666,625,697,720,721,792,835,930,1022,1059,1141,1268,1332
"25",974,480,778,621,745,683,751,697,786,749,794,831,821,850,924,930


Estimated N.A
"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"1",253.41632,187.64416,180.80512,169.95776,172.28896,178.6464,184.72416,190.57696,214.33024,201.87264,218.19616,216.79712,239.15488,217.84576,236.82368,217.96672
"2",1325.85312,1393.32,1513.82464,1566.61376,1656.03744,1815.45184,1985.76096,2027.5248,2176.11008,2461.20416,2800.9744,3114.4656,3183.37376,3397.04192,3701.83616,3863.008
"3",1230.44448,749.64,1003.85152,805.91168,882.03072,878.42272,965.49376,964.20224,1006.89504,1058.63808,1149.97216,1242.56224,1296.92224,1304.80288,1317.26304,1350.33856
"4",400.80064,356.77088,344.53312,292.35968,265.64896,247.91264,219.46432,205.07168,172.09344,148.32736,141.89056,144.4112,116.7168,118.98752,108.84544,91.13088
"5",397.95328,355.416,346.12608,314.8464,254.21248,228.13664,212.08704,167.03968,161.35744,144.5488,145.19104,148.91104,120.32256,119.42272,93.82688,93.65376
"6",914.52992,647.22272,730.56032,597.02688,621.11712,639.7504,648.00736,653.27296,603.47296,609.69568,634.82208,681.42656,661.76128,609.45088,608.02848,547.78016
"7",1566.56544,1326.3488,1480.39904,1487.96896,1530.96736,1723.41504,1781.9024,1925.18432,2060.89152,2199.73952,2491.1808,2715.0288,2733.97152,2972.83712,3130.50688,3209.42944
"8",991.34272,812.81024,992.91296,986.22304,1068.66176,1134.90496,1233.2512,1307.42432,1395.13888,1545.63136,1839.11424,1880.52,2058.0624,2149.25376,2495.9536,2470.6064
"9",93.50976,118.90752,115.30976,132.17888,134.36896,141.57056,156.77504,163.06688,178.95264,180.9248,190.2304,184.57664,181.26176,188.04544,179.66528,166.04768
"10",244.32224,318.50176,289.74336,282.64896,254.18016,290.36288,294.98176,277.5808,255.46016,258.78752,251.76864,282.90784,248.88992,264.4832,223.072,219.09376
"11",918.36672,532.6432,727.60128,550.89472,578.3968,569.46944,625.79904,587.86496,611.69664,607.04736,669.14688,657.79648,636.056,604.45568,591.22688,564.6384
"12",889.744,526.32448,666.35424,529.11072,523.21792,518.12256,507.84192,465.11264,459.44576,474.1392,534.29312,519.43264,478.2576,467.3712,457.616,435.19328
"13",206.20032,376.34016,363.27232,425.22432,462.79392,557.25504,596.71104,621.42208,623.88512,655.2864,712.04928,765.55072,841.67168,827.21216,881.24864,860.76128
"14",1377.8768,1291.49856,1312.5456,1390.37504,1459.5296,1580.74656,1758.52288,1837.55904,1975.57024,2082.21504,2447.86272,2536.18816,2681.7488,2689.00608,2827.47392,2951.96288
"15",1236.66272,1432.2752,1534.83424,1688.45792,1839.35552,2052.3056,2463.61504,2646.6624,3033.16864,3300.00448,4030.13152,4636.0352,5040.03392,5387.23008,5967.46144,6549.568
"16",255.19232,429.73376,387.22944,441.46304,428.90912,472.62656,405.66304,492.98656,431.3152,496.15136,524.54976,570.64768,611.10528,568.4928,600.27168,594.4224
"17",151.02592,209.75104,172.74784,211.2384,177.67968,226.34496,243.17792,243.74464,235.17888,235.81248,250.91904,266.79584,284.5264,316.03744,286.25952,304.06336
