Years BR Data: 6
Number of Individuals in BR Data: 3000
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 225


Average HR Bias (Realized - Estimated)
"","x"
"A_1",-0.0634986173763328
"A_2",-0.0405145892296105
"A_3",-0.0342881681935815
"A_4",-0.0219983395456697
"A_5",-0.0207240504826627
"A_6",-0.0200043761325826
"J_1",-0.0525229571431734
"J_2",-0.0342743057612532
"J_3",-0.0526274986301701
"J_4",-0.062208496560764
"J_5",-0.0615659025168084
"J_6",-0.0389609510055518


Average Estimated HR
"","x"
"A_1",0.312367395656876
"A_2",0.285359950054353
"A_3",0.330663434718102
"A_4",0.29376054761361
"A_5",0.275910772474364
"A_6",0.266320165606267
"J_1",0.159121941914747
"J_2",0.143798115285063
"J_3",0.169648775225915
"J_4",0.148502912804419
"J_5",0.138488979439885
"J_6",0.133201788701887


Average Real HR
"","x"
"1",0.248868778280543
"2",0.244845360824742
"3",0.29637526652452
"4",0.271762208067941
"5",0.255186721991701
"6",0.246315789473684
"7",0.106598984771574
"8",0.10952380952381
"9",0.117021276595745
"10",0.0862944162436548
"11",0.0769230769230769
"12",0.0942408376963351


Average WSR Bias (Realized - Estimated)
"","x"
"1",0.0022299285277253
"2",0.0164540847033363


Average Estimated WSR
"","x"
"1",0.987787488312832
"2",0.96148867252017


Average Real WSR
"","x"
"1",0.990017416840557
"2",0.977942757223506


Average Bias by Year (absolute value) - N.A
"","x"
"V1",107.4411904
"V2",90.5891072
"V3",98.3359232
"V4",94.8374272
"V5",100.1330432
"V6",100.2217344
"V7",112.092032
"V8",104.1948032
"V9",117.108224
"V10",120.6516224
"V11",135.7718272
"V12",146.2556416
"V13",152.928704
"V14",164.3222528
"V15",174.9958144
"V16",183.9866496


Bias by Year - N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",14.45408,-11.3888,6.44288,18.39328,25.15328,35.3984,21.18528,29.4432,33.30304,38.03424,44.34944,41.82496,39.53792,22.52928,37.65888,49.34144
"2",-90.62528,-219.75296,-144.9408,-148.56512,-153.17696,-158.12192,-258.62944,-155.05472,-165.11584,-108.18592,-278.31008,-251.83456,-315.60544,-309.26944,-280.82784,-260.09728
"3",74.56448,-25.37504,43.64512,10.784,73.58624,46.88192,37.7568,61.20896,128.4048,109.7488,98.28352,117.45376,94.2768,40.10144,113.28448,102.2256
"4",200.5808,142.6544,154.61568,154.34656,107.00128,104.32672,96.78528,89.08576,99.98976,107.00672,81.98848,85.69984,74.10688,71.62304,68.9264,62.06016
"5",184.88352,157.5904,140.46752,140.38176,130.05184,108.1088,101.33248,109.53632,94.31232,94.2432,90.68672,88.58336,67.984,68.68416,63.83328,52.34944
"6",225.27008,93.53152,158.59136,117.26688,186.50368,129.30112,188.76224,119.67424,193.28832,201.42688,171.55168,206.56896,181.02048,168.42432,185.1728,208.85184
"7",-76.4073599999999,-85.81568,-129.73856,-92.10272,-63.0892799999999,-118.29024,-111.74368,-41.0790400000001,-50.6915200000001,-49.1449600000001,-96.64768,-133.05664,-116.97024,-190.29664,-79.3628800000001,-47.7926400000001
"8",-87.33216,-82.03296,-114.64512,-114.69312,-96.56864,-159.85056,-167.49984,-164.832,-110.37696,-124.31776,-155.00448,-208.5408,-192.87424,-231.08096,-231.55008,-272.06496
"9",0.200320000000005,45.43456,14.5328,31.79584,23.48416,22.67808,26.1328,11.90944,31.23392,28.36608,2.18816,16.67456,3.2064,16.15232,15.7968,21.92864
"10",57.39104,85.93952,72.30624,82.19552,73.23712,76.57312,72.88576,58.27712,97.16576,85.38944,94.4256,93.92384,64.96672,73.45056,91.32672,86.78528
"11",260.23456,101.47904,186.34784,125.96992,152.7824,113.8608,118.42912,107.00896,167.50336,148.93344,140.53024,159.74848,160.85856,171.9168,153.04864,184.17024
"12",238.62112,103.31584,149.58112,97.2752,144.79616,92.41472,119.0208,135.28608,158.28512,162.2192,156.53376,144.1936,132.32896,139.52064,144.5568,186.8576
"13",41.39168,-64.5808,1.62752,-23.70976,13.34944,-22.38912,-38.81152,-13.8016,-9.53791999999999,-11.33056,-29.17024,-29.32512,-70.3977599999999,-68.01376,-65.89248,-66.1088
"14",-47.5984,-42.32032,-60.1952,11.50368,-18.43264,-24.9667199999999,-5.19391999999993,37.9872,27.8841600000001,59.9811199999999,30.7264,16.7744,-21.9359999999999,-19.2073600000001,53.7574400000001,-21.2048
"15",-369.07264,-454.25408,-473.46048,-505.464,-509.72672,-624.52768,-733.46432,-735.46592,-747.42656,-858.56736,-1053.38656,-1167.50272,-1382.77728,-1576.93888,-1696.84704,-1863.51104
"16",64.9904,114.67296,29.39584,116.17664,85.31136,75.28224,73.05184,93.56864,89.18816,102.02368,88.78624,104.17984,85.40864,71.42176,108.48704,86.42304
"17",6.70944,1.83647999999999,13.93152,12.34272,20.78368,2.15647999999999,10.38816,14.7616,16.86368,11.0416,27.03456,13.78112,21.39808,13.01024,25.608,29.3536
"18",22.7056,-9.46176000000003,-9.04032000000001,31.73088,4.22816,3.99135999999999,-10.5264,-1.59168,21.60384,17.01088,30.92736,41.65984,14.6768,14.2387199999999,16.56992,35.4016
"19",-138.07776,-135.15616,-170.40096,-133.29536,-134.94816,-209.89312,-243.656,-218.4704,-173.70912,-176.02464,-244.88896,-232.68448,-305.97824,-355.52192,-299.21216,-328.98144
"20",-11.29856,-37.62528,-31.19584,-28.6064,-34.62112,-35.38272,-40.30272,-42.1328,-28.39648,-28.75712,-38.02112,-42.61888,-31.24448,-51.13664,-61.25376,-51.86144
"21",143.3856,64.42272,93.62208,77.03264,127.17312,95.91584,95.44832,110.99776,116.3456,124.69248,119.6752,115.42368,99.11648,108.82816,120.88608,199.41312
"22",100.72896,43.43168,88.54496,72.66336,98.12128,58.69408,75.168,66.58208,95.83968,99.60992,97.72448,90.96448,88.9888,87.0032,93.27712,69.8528
"23",-11.55552,23.14752,-0.0553600000000074,12.39264,24.3504,15.0704,-6.02208000000002,21.856,36.48736,43.0048,20.72992,26.16224,30.80832,35.50208,55.7968,47.04768
"24",23.71392,24.47232,-11.86848,51.6624,14.4672,24.5270400000001,-6.23360000000002,21.02336,37.27264,55.16512,43.26048,40.8384,46.60192,15.7619199999999,74.14688,49.4867200000001
"25",194.23648,95.03488,159.20448,160.58528,188.38176,146.94016,143.8704,144.2352,197.47968,172.06464,159.46432,186.37248,180.14816,188.42208,237.81504,216.49504


Average Bias by Year (absolute value) - N.J
"","x"
"V1",115.4491648
"V2",158.1034496
"V3",145.7497344
"V4",158.6510208
"V5",142.4580608
"V6",158.9900672
"V7",151.694016
"V8",189.7238272
"V9",185.5405952
"V10",192.8429952
"V11",192.359232
"V12",196.8015232
"V13",200.7920256
"V14",229.8086016
"V15",229.4116864
"V16",256.3298688


Real N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",179,90,129,130,141,161,158,154,172,169,199,190,197,170,193,209
"2",850,750,891,928,971,1144,1157,1318,1384,1593,1633,1882,1956,2191,2458,2703
"3",970,359,763,533,703,675,734,735,833,844,899,986,985,983,1096,1142
"4",450,343,348,317,257,245,222,198,194,197,168,168,146,139,132,115
"5",439,361,344,313,277,245,223,212,191,180,171,175,133,145,120,117
"6",849,448,646,502,594,553,618,528,593,605,595,632,604,581,611,613
"7",995,732,876,883,969,1075,1158,1283,1336,1445,1555,1701,1769,1894,2174,2368
"8",626,430,583,539,629,657,726,760,873,937,1092,1125,1277,1340,1550,1600
"9",67,139,97,123,116,127,138,124,142,140,126,142,126,141,145,158
"10",209,283,232,253,221,248,238,226,250,241,239,258,204,227,227,229
"11",904,356,664,468,554,497,541,498,573,541,559,576,580,591,566,601
"12",856,365,598,414,499,429,462,450,468,469,490,477,457,458,458,497
"13",197,260,259,306,331,368,358,402,418,445,481,510,527,549,614,636
"14",862,770,844,920,945,1061,1176,1229,1315,1397,1576,1662,1722,1837,2045,2096
"15",541,632,659,764,846,987,1112,1237,1477,1606,1883,2185,2336,2644,3089,3482
"16",238,442,268,416,337,392,346,400,377,425,434,474,471,462,516,513
"17",106,159,132,161,153,163,166,176,174,183,210,213,213,228,227,266
"18",127,473,276,456,359,465,436,470,502,536,593,670,672,716,794,838
"19",834,755,868,958,1027,1131,1214,1294,1453,1589,1767,1983,2051,2205,2486,2686
"20",106,169,146,176,173,200,219,222,248,271,301,342,384,404,440,478
"21",612,352,511,407,509,476,518,510,533,556,571,596,573,586,610,688
"22",433,203,349,263,323,279,313,279,312,322,331,328,307,319,324,292
"23",141,425,277,413,364,468,411,493,492,553,561,638,644,695,773,777
"24",529,607,559,666,625,697,720,721,792,835,930,1022,1059,1141,1268,1332
"25",974,480,778,621,745,683,751,697,786,749,794,831,821,850,924,930


Estimated N.A
"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"1",164.54592,101.3888,122.55712,111.60672,115.84672,125.6016,136.81472,124.5568,138.69696,130.96576,154.65056,148.17504,157.46208,147.47072,155.34112,159.65856
"2",940.62528,969.75296,1035.9408,1076.56512,1124.17696,1302.12192,1415.62944,1473.05472,1549.11584,1701.18592,1911.31008,2133.83456,2271.60544,2500.26944,2738.82784,2963.09728
"3",895.43552,384.37504,719.35488,522.216,629.41376,628.11808,696.2432,673.79104,704.5952,734.2512,800.71648,868.54624,890.7232,942.89856,982.71552,1039.7744
"4",249.4192,200.3456,193.38432,162.65344,149.99872,140.67328,125.21472,108.91424,94.01024,89.99328,86.01152,82.30016,71.89312,67.37696,63.0736,52.93984
"5",254.11648,203.4096,203.53248,172.61824,146.94816,136.8912,121.66752,102.46368,96.68768,85.7568,80.31328,86.41664,65.016,76.31584,56.16672,64.65056
"6",623.72992,354.46848,487.40864,384.73312,407.49632,423.69888,429.23776,408.32576,399.71168,403.57312,423.44832,425.43104,422.97952,412.57568,425.8272,404.14816
"7",1071.40736,817.81568,1005.73856,975.10272,1032.08928,1193.29024,1269.74368,1324.07904,1386.69152,1494.14496,1651.64768,1834.05664,1885.97024,2084.29664,2253.36288,2415.79264
"8",713.33216,512.03296,697.64512,653.69312,725.56864,816.85056,893.49984,924.832,983.37696,1061.31776,1247.00448,1333.5408,1469.87424,1571.08096,1781.55008,1872.06496
"9",66.79968,93.56544,82.4672,91.20416,92.51584,104.32192,111.8672,112.09056,110.76608,111.63392,123.81184,125.32544,122.7936,124.84768,129.2032,136.07136
"10",151.60896,197.06048,159.69376,170.80448,147.76288,171.42688,165.11424,167.72288,152.83424,155.61056,144.5744,164.07616,139.03328,153.54944,135.67328,142.21472
"11",643.76544,254.52096,477.65216,342.03008,401.2176,383.1392,422.57088,390.99104,405.49664,392.06656,418.46976,416.25152,419.14144,419.0832,412.95136,416.82976
"12",617.37888,261.68416,448.41888,316.7248,354.20384,336.58528,342.9792,314.71392,309.71488,306.7808,333.46624,332.8064,324.67104,318.47936,313.4432,310.1424
"13",155.60832,324.5808,257.37248,329.70976,317.65056,390.38912,396.81152,415.8016,427.53792,456.33056,510.17024,539.32512,597.39776,617.01376,679.89248,702.1088
"14",909.5984,812.32032,904.1952,908.49632,963.43264,1085.96672,1181.19392,1191.0128,1287.11584,1337.01888,1545.2736,1645.2256,1743.936,1856.20736,1991.24256,2117.2048
"15",910.07264,1086.25408,1132.46048,1269.464,1355.72672,1611.52768,1845.46432,1972.46592,2224.42656,2464.56736,2936.38656,3352.50272,3718.77728,4220.93888,4785.84704,5345.51104
"16",173.0096,327.32704,238.60416,299.82336,251.68864,316.71776,272.94816,306.43136,287.81184,322.97632,345.21376,369.82016,385.59136,390.57824,407.51296,426.57696
"17",99.29056,157.16352,118.06848,148.65728,132.21632,160.84352,155.61184,161.2384,157.13632,171.9584,182.96544,199.21888,191.60192,214.98976,201.392,236.6464
"18",104.2944,482.46176,285.04032,424.26912,354.77184,461.00864,446.5264,471.59168,480.39616,518.98912,562.07264,628.34016,657.3232,701.76128,777.43008,802.5984
"19",972.07776,890.15616,1038.40096,1091.29536,1161.94816,1340.89312,1457.656,1512.4704,1626.70912,1765.02464,2011.88896,2215.68448,2356.97824,2560.52192,2785.21216,3014.98144
"20",117.29856,206.62528,177.19584,204.6064,207.62112,235.38272,259.30272,264.1328,276.39648,299.75712,339.02112,384.61888,415.24448,455.13664,501.25376,529.86144
"21",468.6144,287.57728,417.37792,329.96736,381.82688,380.08416,422.55168,399.00224,416.6544,431.30752,451.3248,480.57632,473.88352,477.17184,489.11392,488.58688
"22",332.27104,159.56832,260.45504,190.33664,224.87872,220.30592,237.832,212.41792,216.16032,222.39008,233.27552,237.03552,218.0112,231.9968,230.72288,222.1472
"23",152.55552,401.85248,277.05536,400.60736,339.6496,452.9296,417.02208,471.144,455.51264,509.9952,540.27008,611.83776,613.19168,659.49792,717.2032,729.95232
"24",505.28608,582.52768,570.86848,614.3376,610.5328,672.47296,726.2336,699.97664,754.72736,779.83488,886.73952,981.1616,1012.39808,1125.23808,1193.85312,1282.51328
"25",779.76352,384.96512,618.79552,460.41472,556.61824,536.05984,607.1296,552.7648,588.52032,576.93536,634.53568,644.62752,640.85184,661.57792,686.18496,713.50496


Real N.J
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",104,241,134,204,208,205,215,244,231,266,262,289,246,294,265,259
"2",869,1186,1133,1211,1451,1458,1675,1731,1976,2005,2449,2347,2821,3076,3410,3538
"3",33,1349,545,1059,801,1045,967,1146,1072,1242,1362,1291,1411,1514,1512,1676
"4",529,636,539,452,468,397,364,350,304,284,319,261,241,238,212,207
"5",685,604,553,470,457,418,345,315,306,282,303,228,249,179,212,171
"6",375,1154,653,945,796,904,778,880,867,928,941,851,884,957,880,947
"7",678,1378,1089,1220,1355,1454,1545,1725,1861,2070,2169,2195,2485,2805,2991,3192
"8",312,844,616,840,804,991,953,1131,1113,1419,1394,1597,1659,2035,1997,2234
"9",242,104,210,149,173,199,167,222,193,231,199,192,206,200,194,223
"10",523,307,417,315,391,334,310,352,354,357,396,299,354,324,340,340
"11",40,1234,520,898,646,852,678,883,773,891,846,780,840,866,871,855
"12",142,1129,539,858,630,779,655,715,665,802,733,648,714,710,730,685
"13",411,296,396,429,481,504,555,534,574,667,640,685,753,821,802,915
