Years BR Data: 6
Number of Individuals in BR Data: 3000
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 225


Average HR Bias (Realized - Estimated)
"","x"
"A_1",-0.0610970107616336
"A_2",-0.042364104075318
"A_3",-0.0347996220761996
"A_4",-0.0244312791276325
"A_5",-0.0205817003491556
"A_6",-0.0216217518499498
"J_1",-0.0520771635637757
"J_2",-0.0361579289491961
"J_3",-0.053824709242282
"J_4",-0.064434471072297
"J_5",-0.0622712731455838
"J_6",-0.0406089978060838


Average Estimated HR
"","x"
"A_1",0.309965789042177
"A_2",0.28720946490006
"A_3",0.33117488860072
"A_4",0.296193487195573
"A_5",0.275768422340857
"A_6",0.267937541323634
"J_1",0.158676148335349
"J_2",0.145681738473006
"J_3",0.170845985838027
"J_4",0.150728887315952
"J_5",0.139194350068661
"J_6",0.134849835502419


Average Real HR
"","x"
"1",0.248868778280543
"2",0.244845360824742
"3",0.29637526652452
"4",0.271762208067941
"5",0.255186721991701
"6",0.246315789473684
"7",0.106598984771574
"8",0.10952380952381
"9",0.117021276595745
"10",0.0862944162436548
"11",0.0769230769230769
"12",0.0942408376963351


Average WSR Bias (Realized - Estimated)
"","x"
"1",0.00269743427562663
"2",0.015418257216696


Average Estimated WSR
"","x"
"1",0.98731998256493
"2",0.96252450000681


Average Real WSR
"","x"
"1",0.990017416840557
"2",0.977942757223506


Average Bias by Year (absolute value) - N.A
"","x"
"V1",107.0000768
"V2",88.0871296
"V3",98.6286848
"V4",93.9313408
"V5",105.5116032
"V6",98.3714048
"V7",109.6270336
"V8",105.737024
"V9",120.111424
"V10",123.5247232
"V11",133.8762752
"V12",141.6161664
"V13",151.6436864
"V14",158.9238784
"V15",167.8881536
"V16",175.94912


Bias by Year - N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",19.46272,-8.03008,8.44607999999999,18.5936,21.13984,39.28992,25.29184,29.28544,30.51168,34.33792,46.74464,45.36544,40.06464,24.94304,40.86752,52.04608
"2",-69.08832,-199.05952,-135.72448,-154.98048,-205.43872,-132.74816,-227.49856,-173.38624,-212.83296,-170.88512,-264.43552,-212.53888,-320.03328,-283.90976,-241.84512,-228.20128
"3",91.83136,-17.17728,46.5808,6.89503999999999,43.39392,56.36704,52.03776,52.49248,106.04352,82.3568,102.7056,130.00928,88.85472,44.8688,123.23744,107.63616
"4",206.13696,147.2448,158.47808,153.5728,102.952,109,100.91456,89.41024,98.4448,105.07168,83.5136,87.8128,74.42464,72.54432,70.20704,62.87968
"5",190.9088,162.752,144.58752,140.08256,126.08544,112.31104,105.60128,110.1104,92.99744,92.63616,92.5728,90.44832,68.61984,69.86592,65.30016,53.48832
"6",239.90016,101.76832,165.15872,116.15232,170.92832,139.18432,200.5936,117.60864,184.34368,189.67648,177.70656,215.51712,181.58304,173.68,192.47584,213.92576
"7",-63.29312,-78.4816,-134.7984,-110.56672,-124.47008,-110.4208,-98.9104,-75.94336,-111.98016,-126.1104,-105.48608,-126.43584,-148.608,-202.00736,-83.5990400000001,-64.0799999999999
"8",-77.52864,-76.16288,-117.41152,-124.85184,-138.2864,-151.69888,-155.92032,-186.68864,-151.4368,-178.51104,-159.8816,-200.6896,-214.2208,-235.31616,-229.75104,-280.66112
"9",3.32672,49.89344,17.97696,33.76096,22.92416,27.81088,32.46272,14.04576,31.51168,27.76,6.69248,22.9152,6.96256,21.9296,22.62912,28.95072
"10",63.9008,95.18656,79.44832,85.76448,72.9728,85.93504,82.16256,62.09536,98.28096,85.73504,100.92832,101.90016,69.4272,79.5792,98.49952,93.70688
"11",263.90624,101.88704,182.05568,117.68064,127.6672,113.4544,120.37824,96.024,148.79936,127.88576,136.68096,158.30656,151.05952,166.6272,148.24576,177.47968
"12",245.7664,105.40096,149.65504,91.80576,126.9072,95.69248,123.97504,129.68288,146.50912,148.7712,156.15552,146.43776,127.47968,138.26752,144.64512,185.04864
"13",42.30432,-65.18048,-0.463039999999978,-32.99968,-5.14591999999999,-20.74528,-36.36,-26.80448,-31.20416,-37.13888,-34.62784,-29.94496,-83.57632,-75.14208,-71.82528,-75.28704
"14",-28.86976,-28.83072,-55.31904,1.40096000000005,-63.51072,-7.31968000000006,18.69184,19.1027200000001,-14.94112,4.67840000000001,37.65824,38.6502399999999,-33.7753600000001,-12.1846399999999,71.21856,-10.6220800000001
"15",-328.46144,-406.7408,-439.80416,-486.15808,-541.97984,-559.90528,-652.32288,-718.3488,-765.21856,-892.76256,-962.30272,-1018.7168,-1291.70592,-1417.43712,-1493.5184,-1646.41824
"16",66.51008,115.09472,28.69088,108.256,70.70944,78.42816,75.76192,85.11584,76.65472,85.84384,85.95072,105.4144,77.77504,68.36064,106.23136,82.39968
"17",11.75296,9.81536,19.728,15.75936,20.12192,11.15552,19.71392,18.6336,18.496,11.46656,35.35616,24.30048,28.53728,23.024,37.01952,41.02944
"18",24.808,-2.80000000000001,-5.96928000000003,24.45184,-11.0128,12.13632,-0.327040000000011,-8.36864000000003,6.22879999999998,-2.84864000000005,33.51296,50.88352,10.51584,19.11136,23.74144,41.17376
