Years BR Data: 6
Number of Individuals in BR Data: 3000
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 225


Average HR Bias (Realized - Estimated)
"","x"
"A_1",-0.0292633261104289
"A_2",-0.0153951275061354
"A_3",-0.0079598720793832
"A_4",0.00269405282597107
"A_5",0.00517291158143751
"A_6",0.000271618056044337
"J_1",-0.0316165363233104
"J_2",-0.0188337464280306
"J_3",-0.0355036630264303
"J_4",-0.0468003751069827
"J_5",-0.0458680753663804
"J_6",-0.0263918843945996


Average Estimated HR
"","x"
"A_1",0.278132104390972
"A_2",0.260240488330878
"A_3",0.304335138603903
"A_4",0.269068155241969
"A_5",0.250013810410264
"A_6",0.24604417141764
"J_1",0.138215521094884
"J_2",0.12835755595184
"J_3",0.152524939622175
"J_4",0.133094791350637
"J_5",0.122791152289457
"J_6",0.120632722090935


Average Real HR
"","x"
"1",0.248868778280543
"2",0.244845360824742
"3",0.29637526652452
"4",0.271762208067941
"5",0.255186721991701
"6",0.246315789473684
"7",0.106598984771574
"8",0.10952380952381
"9",0.117021276595745
"10",0.0862944162436548
"11",0.0769230769230769
"12",0.0942408376963351


Average WSR Bias (Realized - Estimated)
"","x"
"1",0.00185517340777741
"2",0.0114923868302168


Average Estimated WSR
"","x"
"1",0.98816224343278
"2",0.966450370393289


Average Real WSR
"","x"
"1",0.990017416840557
"2",0.977942757223506


Average Bias by Year (absolute value) - N.A
"","x"
"V1",87.9643776
"V2",76.2422272
"V3",73.3116288
"V4",76.5551744
"V5",85.1171968
"V6",86.0906112
"V7",96.7483648
"V8",83.3379072
"V9",95.8510592
"V10",97.7288832
"V11",119.8522496
"V12",122.5708544
"V13",137.5099776
"V14",142.556928
"V15",151.9969024
"V16",160.8971776


Bias by Year - N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",-30.61472,-43.42208,-3.28319999999999,-1.36287999999999,4.57823999999999,14.06592,-0.0678399999999897,1.56095999999999,-6.04831999999999,9.61215999999999,20.12512,16.2544,-3.2448,-6.28,-3.3792,17.35456
"2",-94.07424,-215.49952,-155.17728,-128.91104,-156.09792,-155.51968,-269.80416,-113.0528,-111.608,-123.88448,-273.91008,-253.71008,-276.55424,-287.0976,-282.60064,-282.81216
