Years BR Data: 5
Number of Individuals in BR Data: 2500
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 300


Average HR Bias (Realized - Estimated)
"","x"
"A_1",-0.0248737326143174
"A_2",-0.0332808148909483
"A_3",-0.0203263219890861
"A_4",-0.0335305190830494
"A_5",-0.0339512581605318
"J_1",-0.0429489905938227
"J_2",-0.0300253186536365
"J_3",-0.0459577379322101
"J_4",-0.0316399149660215
"J_5",-0.0256768919728781


Average Estimated HR
"","x"
"A_1",0.325343216182392
"A_2",0.286089803654993
"A_3",0.253582673028347
"A_4",0.294310806557382
"A_5",0.262764817482566
"J_1",0.176282323927156
"J_2",0.152365744185551
"J_3",0.133137225111697
"J_4",0.157322975075311
"J_5",0.13858011777933


Average Real HR
"","x"
"1",0.300469483568075
"2",0.252808988764045
"3",0.233256351039261
"4",0.260780287474333
"5",0.228813559322034
"6",0.133333333333333
"7",0.122340425531915
"8",0.0871794871794872
"9",0.12568306010929
"10",0.112903225806452


Average WSR Bias (Realized - Estimated)
"","x"
"1",0.00485511743703115
"2",0.00243074637138996


Average Estimated WSR
"","x"
"1",0.984010130161306
"2",0.974750631337218


Average Real WSR
"","x"
"1",0.988865247598337
"2",0.977181377708608


Average Bias by Year (absolute value) - N.A
"","x"
"V1",39.3434752
"V2",28.3330432
"V3",68.8347008
"V4",36.3975168
"V5",61.5059072
"V6",47.4054784
"V7",32.5597568
"V8",43.436224
"V9",33.8416
"V10",66.715008
"V11",51.200192
"V12",60.8475392
"V13",80.5824
"V14",50.2621312
"V15",119.669248


Bias by Year - N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",132.78624,59.79648,129.84608,76.3264,97.39552,91.7024,-6.64192000000003,60.7744,21.47232,102.35264,73.6051200000001,60.87968,95.38976,121.24224,154.23904
"2",5.83648,-25.94912,2.01696,28.81312,49.39616,9.97504000000001,20.3088,21.8672,-21.27648,23.4976,24.82272,69.4432,76.6912,29.90752,51.46784
