Age,Model,Trial,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
A,M,1,1,-357.69984,-225.56224,-334.44128,-233.97728,-292.18816,-258.86688,-350.1232,-353.58784,-352.2112,-294.54336,-339.02368,-363.34976,-324.50464,-372.3024,-433.64352,-470.4144
A,M,1,2,-45.85344,-41.84352,-49.15712,-4.32,-58.448,-52.5008,-30.3696,-12.31872,-41.2576,-29.87136,-28.04992,-22.0272,-31.24992,7.17536,4.45792,3.6496
A,M,1,3,211.79648,137.79776,110.30848,69.85888,70.64896,60.19936,45.03808,53.10368,36.38048,11.84736,34.7632,39.47424,38.60288,-1.26272,16.52,-0.6784
A,M,1,4,35.54848,133.6144,56.9648,121.83264,73.12,69.47648,63.68352,58.60256,55.86944,25.11232,12.86752,25.54656,20.40704,31.62784,35.56448,38.47168
A,M,1,5,147.22176,37.97536,94.73248,80.56,84.67456,46.79552,91.67328,57.89984,49.20032,41.26112,37.32832,28.92224,23.48096,7.98912,35.07936,29.07616
A,M,1,6,-171.61216,-104.88288,-216.14272,-221.09312,-244.93696,-284.83744,-284.176,-279.04416,-345.20704,-330.4432,-348.24352,-374.46496,-375.6,-449.50176,-456.07648,-322.5712
A,M,1,7,-36.74368,-114.68416,-62.02944,-86.2576,-101.87008,-110.6192,-105.54624,-38.32256,-56.83296,-154.3984,-93.52608,-114.13568,-120.27744,-110.87584,-99.52384,-109.76704
A,M,1,8,149.34208,22.48576,55.4992,52.44192,99.5104,44.04064,39.02304,40.3392,48.82272,33.31936,21.15936,38.83776,35.4512,29.87328,35.52096,68.72096
A,M,1,9,139.84608,133.20576,130.78784,121.128,133.10176,125.33632,101.28384,103.76512,90.81888,62.42688,76.75488,103.26496,67.15328,72.74208,67.45696,62.32288
A,M,1,10,45.81184,29.54368,65.70144,28.01312,62.36864,67.93024,35.95872,13.9344,28.15936,29.9536,51.06848,17.38848,29.11488,30.54656,64.75264,59.37248
A,M,1,11,-296.19008,-216.98464,-207.92832,-194.50592,-236.08992,-197.0432,-313.2624,-284.73024,-302.06336,-412.22464,-403.82496,-319.5632,-430.83584,-470.85856,-451.2144,-428.81536
A,M,1,12,-154.7968,-149.36576,-107.05856,-25.1232,19.5232,-74.1184,-154.95872,-56.71008,-104.46688,-120.9792,-81.4224,-127.2192,-81.39616,-139.61312,-122.83104,-28.87264
A,M,1,13,130.16352,76.8976,149.65184,107.5472,110.97312,118.61664,107.21216,23.37824,75.384,52.90976,50.82688,22.55872,92.70976,79.19584,77.47456,97.59488
A,M,1,14,77.45664,10.1696,23.99776,49.2048,27.36608,38.21344,23.53472,20.86304,48.32832,-28.12608,16.80928,33.32224,-0.06464,42.42048,54.57696,64.72416
A,M,1,15,-140.52192,-106.48544,-191.6832,-152.63008,-183.3456,-241.8992,-206.1264,-112.74944,-75.76,-153.87936,-153.88736,-159.192,-239.20288,-288.0704,-235.0816,-260.73472
A,M,1,16,-19.32864,-22.65984,-29.15584,16.54528,-3.35552,-13.91136,-16.09728,22.43808,26.74432,-20.48096,28.93344,37.68224,-54.53824,19.62528,31.52608,44.1856
A,M,1,17,13.84,15.39552,36.24864,-40.10464,-20.90816,19.36096,-24.664,33.60768,42.1856,27.71296,9.97152,0.32384,-0.34752,28.3264,1.86624,52.16928
A,M,1,18,76.07008,48.25248,26.68224,19.5104,97.65824,55.36736,62.21152,63.80192,30.64544,-1.53248,5.61696,23.54432,11.95648,17.28832,27.84416,37.248
