"WMD","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1",464.316,240.170666666667,370.498666666667,294.637333333333,333.177333333333,300.885333333333,290.969333333333,266.92,264.932,250.474666666667
"2",215.756,132.728,168.662666666667,135.546666666667,145.964,138.313333333333,137.550666666667,134.157333333333,134.36,134.12
"3",152.070666666667,134.508,130.478666666667,112.102666666667,109.192,95.6813333333333,95.216,89.784,80.9666666666667,74.172
"4",280.381333333333,129.984,204.442666666667,137.705333333333,151.205333333333,112.841333333333,116.849333333333,102.72,98.7333333333333,97.512
"5",427.568,189.728,224.096,141.145333333333,138.861333333333,90.9266666666667,67.6946666666667,53.3613333333333,42.6173333333333,38.372
"6",267.581333333333,140.632,153.637333333333,112.68,102.856,83.5226666666667,72.948,59.96,48.3973333333333,42.2773333333333
"7",422.588,221.014666666667,236.202666666667,167.457333333333,164.878666666667,134.526666666667,131.530666666667,113.112,110.684,83.4
"8",174.482666666667,104.386666666667,112.502666666667,87.1706666666667,86.2853333333333,69.7306666666667,60.156,52.392,45.8693333333333,40.9066666666667
"9",318.706666666667,167.238666666667,185.977333333333,131.932,127.286666666667,112.309333333333,88.6946666666667,95.92,74.428,64.9306666666667
"10",497.168,219.316,270.865333333333,179.66,152.884,115.754666666667,93.396,77.708,66.76,52.804
"11",293.185333333333,132.505333333333,162.441333333333,112.618666666667,108.098666666667,87.604,80.952,66.212,59.8213333333333,48.5853333333333
"12",239.772,163.176,146.625333333333,124.038666666667,119.601333333333,98.7133333333333,88.8986666666667,66.716,61.3306666666667,48.5173333333333
"13",459.413333333333,164.913333333333,277.430666666667,171.170666666667,203.52,145.564,151.16,123.728,117.230666666667,96.2733333333333
"14",444.290666666667,221.137333333333,277.670666666667,212.005333333333,224.289333333333,171.656,160.893333333333,139.465333333333,127.694666666667,111.936
"15",426.796,205.708,246.389333333333,174.932,161.101333333333,122.214666666667,115.990666666667,100.361333333333,83.5213333333333,77.2346666666667
"16",165.348,71.12,99.7466666666667,63.0893333333333,68.1013333333333,53.408,51.5773333333333,43.036,39.5293333333333,35.8933333333333
"17",381.888,161.908,232.468,147.632,159.530666666667,113.718666666667,111.384,83.8253333333333,77.6933333333333,63.372
"18",507.393333333333,188.948,313.172,198.608,226.238666666667,178.125333333333,186.934666666667,162.309333333333,148.269333333333,135.424
"19",341.868,202.553333333333,197.533333333333,143.46,134.692,109.534666666667,94.8893333333333,88.2466666666667,75.6773333333333,61.0666666666667
"20",127.997333333333,128.609333333333,87.6933333333333,72.5066666666667,57.3666666666667,49.776,36.6893333333333,34.344,23.0466666666667,20.988
"21",94.2026666666667,46.6546666666667,58.9333333333333,33.36,41.2813333333333,26.4373333333333,27.6373333333333,21.8426666666667,19.0133333333333,18.444
"22",126.526666666667,99.2053333333333,97.6706666666667,74.364,71.9786666666667,49.9493333333333,48.1786666666667,37.116,35.8853333333333,30.988
"23",145.22,70.6746666666667,95.3733333333333,57.78,62.8746666666667,41.1373333333333,36.544,34.0986666666667,25.0146666666667,23.8986666666667
"24",368.385333333333,179.221333333333,232.954666666667,154.650666666667,166.861333333333,124.058666666667,121.310666666667,93.3426666666667,78.3626666666667,66.0013333333333
"25",105.550666666667,58.172,57.2106666666667,41.4773333333333,31.4186666666667,29.348,21.9746666666667,16.524,15.0346666666667,8.79466666666667
