"WMD","2014","2015","2016","2017","2018","2019"
"5",196.270666666667,14.384,17.0226666666667,19.7093333333333,16.7346666666667,20.86
"6",209.374666666667,121.976,128.310666666667,126.782666666667,147.608,76.648
"7",354.402666666667,139.048,231.832,117.885333333333,115.232,138.588
"8",168.518666666667,21.46,44.9666666666667,22.5493333333333,26.9746666666667,33.9173333333333
"9",227.237333333333,15.5253333333333,32.2453333333333,29.3533333333333,18.092,16.188
"10",249.296,16.632,18.088,27.7146666666667,17.2773333333333,24.8466666666667
"11",504.7,170.770666666667,239.757333333333,157.370666666667,272.013333333333,161.626666666667
"12",637.190666666667,454.570666666667,719.045333333333,363.169333333333,437.710666666667,327.697333333333
"13",537.562666666667,405.44,296.857333333333,328.7,377.946666666667,236.832
"14",254.094666666667,142.3,146.353333333333,181.189333333333,158.457333333333,114.014666666667
"15",1767.172,1764.89066666667,2324.01466666667,1678.04666666667,1665.28266666667,1598.692
"16",1142.232,1130.372,1441.888,1490.52666666667,1568.30133333333,1048.48
"17",1413.05733333333,1956.77866666667,2004.44933333333,2184.55733333333,1873.076,1525.89066666667
"18",435.849333333333,239.657333333333,342.944,295.534666666667,327.42,220.470666666667
"19",333.964,39.7666666666667,39.752,104.669333333333,44.784,67.6386666666667
"20",2318.27733333333,1428.06933333333,2318.78,1817.65733333333,1964.556,2244.256
"21",1681.888,1652.48133333333,1672.03066666667,1933.80933333333,1899.72933333333,1558.752
"22",1524.23733333333,1156.85733333333,1896.996,1693.54666666667,1891.16133333333,1112.22933333333
"23",1665.08266666667,1198.284,2088.496,2083.832,2346.47866666667,1545.664
"24",1588.428,1119.27866666667,1106.88666666667,467.209333333333,427.473333333333,428.206666666667
"25",1234.46266666667,1163.91466666667,1791.164,1848.34666666667,1903.776,615.558666666667
"26",971.630666666667,1134.40933333333,1242.452,1400.46666666667,1342.25466666667,735.932
"27",339.825333333333,270.204,175.277333333333,166.589333333333,224.610666666667,144.738666666667
"28",283.978666666667,81.184,217.321333333333,137.709333333333,167.545333333333,177.926666666667
