"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[5,1]",22.6170666666667,16.0682900785315,6,10,14,39,55,4.29607490962155,3
"N.A[6,1]",4.22586666666667,2.357017689976,0,3,4,6,10,1.06895832854314,35
"N.A[7,1]",271.991733333333,48.626470918372,187,235,273,303,373,1.62356852894823,7
"N.A[8,1]",23.3749333333333,9.50207181762182,7,16,24,30,42,2.54984264228104,4
"N.A[9,1]",36.0941333333333,16.9761398066507,15,23,30,48.7480636331793,74,3.19741013701197,4
"N.A[10,1]",9.26533333333333,4.36684669400037,3,6,8,12,19,1.8884012887769,5
"N.A[11,1]",159.757066666667,32.6216609448227,104.724045362143,134,159,181,232,2.34136309444009,4
"N.A[12,1]",1228.768,267.991339918922,822,979,1229,1469,1678,2.78918047374046,4
"N.A[13,1]",699.511466666667,92.6524221352914,542,635,691,748,915,1.09368091343948,31
"N.A[14,1]",356.736266666667,69.8369861365088,238,303,354,409,492,1.69882404334322,6
"N.A[15,1]",3551.43306666667,1023.75491739389,2050,2532.24996298246,3462,4574,5109.27498049006,4.58407560660818,3
"N.A[16,1]",2962.61386666667,343.554289714222,2475,2716,2884,3148.74997022313,3857,1.75512605276666,6
"N.A[17,1]",3137.50186666667,647.919026741695,2209.72495488079,2554,3048,3693.749974617,4332.54990797688,4.50938850916712,3
"N.A[18,1]",853.062666666667,267.263594279585,466.724786273189,609,857.499854227393,1089,1323.27492468315,3.21801243119761,4
"N.A[19,1]",13.064,4.67950247336611,5,9,13,16,22,1.9071507030395,5
"N.A[20,1]",2201.63626666667,418.591344577338,1502,1854.24994944956,2205,2550,2931.82469407716,3.42422964679073,4
"N.A[21,1]",2799.03466666667,369.483338525851,2295.72495657122,2519,2715,2999,3643.09956233018,1.13264503722539,23
"N.A[22,1]",3361.0456,474.62972587877,2382,3044.24996920761,3447.49996374185,3729,4058,2.77051691953669,4
"N.A[23,1]",3890.88293333333,543.258395803776,2971.72496645128,3431,3899.99987179487,4355.74997847508,4790.27497919091,1.91381410060245,5
"N.A[24,1]",2277.49733333333,495.375044428085,1605.72493790585,1884.24995025425,2133,2722,3241.27496924721,4.44290334645815,3
"N.A[25,1]",4448.39386666667,1418.13334957905,2422,2890,4611,5448.49993116529,7008.82487200818,5.8830781532345,3
"N.A[26,1]",2113.07786666667,467.699493857466,1336,1626,2185,2461.74996191218,2958.54986524846,4.27323310256165,3
"N.A[27,1]",373.253066666667,88.0164101793057,239,290,379,423,561.274822485831,3.5334334460798,4
"N.A[28,1]",28.9224,13.4641420226259,9,16,29,38,57,3.62416972673917,4
"N.A[5,2]",15.4576,13.847093561708,2,5,8,28,45.2750000000001,4.46545549565462,3
"N.A[6,2]",13.5213333333333,6.17793838873062,4,9,13,17,28,1.10244946777884,25
"N.A[7,2]",221.5688,50.9252239478869,135.724263889002,183,220,255,329,1.48519376599192,8
"N.A[8,2]",23.3653333333333,11.5022756667696,5,14,23,31,47,2.27173161018151,5
"N.A[9,2]",32.1829333333333,17.7091172041634,10,19,26,44,72.2736264049981,2.69865886046152,4
"N.A[10,2]",17.9912,8.52333826455608,6,12,16,23,38,2.05591294502045,5
"N.A[11,2]",262.963733333333,73.9153688114181,144,209,256,307,432,1.73340539690211,6
"N.A[12,2]",808.0408,199.634327457178,497,634.249852265244,798,970.749903392008,1196,2.3996535872299,4
"N.A[13,2]",639.085333333333,115.219679184654,442,555,633,707,897.274888936849,1.08020880236663,32
"N.A[14,2]",289.9496,69.9585776050953,170.724415064048,237,286,339,431,1.46553428146343,8
"N.A[15,2]",2289.13493333333,780.490110385544,1087.44963311397,1533,2292,2945.74996817089,3676.54989156004,3.97179571858333,3
"N.A[16,2]",2119.89653333333,335.702896537867,1539.4497408779,1894.24995051682,2084,2298,2890.82468973967,1.37208722401225,9
"N.A[17,2]",2467.21733333333,645.734107593529,1539,1961,2366.99978876214,2883,4017,2.80950637536101,4
"N.A[18,2]",737.285333333333,266.700877164519,364,509,701.499821810384,935.749899777275,1302,2.73561100217049,4
"N.A[19,2]",95.4517333333333,29.2580555177362,47,71,96,116,154,2.4517054643908,4
"N.A[20,2]",1583.13013333333,390.233127720308,916,1248,1607,1881,2292.09930449558,2.90481528777949,4
"N.A[21,2]",1569.35573333333,283.657243345291,1169,1361,1514,1721,2256,1.08184184632864,36
"N.A[22,2]",2022.71173333333,351.109557566732,1294.17430626681,1773.49978863314,2083,2285,2597.27496162286,2.29910628336591,5
"N.A[23,2]",2547.94373333333,439.843702424788,1824.7249453595,2206.2499575135,2519,2854.74996715616,3446.27497107636,1.69255587647299,6
"N.A[24,2]",1491.09253333333,414.906457653461,972.724897485661,1166,1346,1829.74994875416,2376.27495805413,3.48247946426891,4
"N.A[25,2]",2480.43386666667,875.984484781401,1188.44966430941,1593,2525,3111.74996986903,4146.54990384963,4.70577109489161,3
"N.A[26,2]",1275.06746666667,360.792681111901,680.724853492283,924,1315.49990497909,1550.74993953238,1915.82453191635,3.5526428480198,4
"N.A[27,2]",228.209333333333,60.5351846601962,132,177,228,266,359,2.84367728198702,4
"N.A[28,2]",101.708,31.968289419479,60,73,98,119,174,3.40395059556342,4
"N.A[5,3]",18.3776,15.1177587847818,3,7,11,30.7469176062019,53,3.39351080489636,4
"N.A[6,3]",7.46906666666667,4.51038077529518,1,4,7,10,18,1.10422067393131,27
"N.A[7,3]",341.076266666667,89.0502032585121,201,278,332,390,550,1.30642735358028,11
"N.A[8,3]",30.4149333333333,13.7567206469787,9,20,29,39,59.273326660214,2.10220720614839,5
"N.A[9,3]",55.2354666666667,25.9730305316795,24,36,47,69.7486494427694,120,2.6125521333756,4
"N.A[10,3]",17.7050666666667,9.56414521856983,5,11,15,23,41.2726021400161,1.91278437147655,5
"N.A[11,3]",226.590133333333,58.5618955306639,134,184,220,263,357,1.7528455410026,6
"N.A[12,3]",926.811733333333,242.424244441036,515,738,916,1095.74991441612,1428.27493021892,1.91833316595211,5
"N.A[13,3]",750.207733333333,140.742214985945,511,655,736,833,1086.27490825529,1.03668981962103,73
"N.A[14,3]",307.985066666667,79.1896359585463,175.724431736082,251,300,358,490,1.38259795395604,9
"N.A[15,3]",2642.70533333333,836.870465734453,1324.72492473148,1976,2563,3298,4274,3.02497516619365,4
"N.A[16,3]",2368.56453333333,377.974690069504,1725.72494222438,2095.24995526305,2338,2608,3187,1.22300718266379,14
"N.A[17,3]",2821.16,688.762075842763,1763.44977380377,2261,2761,3280.74997142131,4280.27497671166,2.44546592475264,4
"N.A[18,3]",723.637866666667,253.095179668522,357,508,684,920,1238.27491951436,2.5731866880306,4
"N.A[19,3]",174.220533333333,66.8875006892056,74,122,166,215,329,1.9467588833625,5
