"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",559.79648,39.8144486400624,499,531,553,583,651,1.26646585273202,17
"N.A[2,1]",225.32864,14.5202790631483,200,215,225,234,258,1.64826460550446,10
"N.A[3,1]",261.22176,26.6315936412367,219,240,261,278,315,1.26321532278014,18
"N.A[4,1]",182.24512,13.5357949845688,150,175,183,192,205,1.07938187756933,97
"N.A[5,1]",621.83584,36.7403892940746,561,595,619,643,699,1.64279879880633,10
"N.A[6,1]",708.23808,46.9743945986846,627,674,704,741,806,1.19266443260692,22
"N.A[7,1]",654.47968,34.0538285561871,592,629,655,678,720,1.092665868796,43
"N.A[8,1]",111.98112,8.05268117842322,98,106,112,118,127,1.21376947105603,20
"N.A[9,1]",1248.36128,169.237168810341,939,1120,1239,1388,1549.89997095587,1.11679864139372,32
"N.A[10,1]",935.99104,69.8909424585652,799,894,941,985,1071,1.10520518598857,37
"N.A[11,1]",89.93472,13.3396087263874,72,79,86,100,119,1.38303091738955,13
"N.A[12,1]",107.36448,10.9879438249674,87,99,108,116,127,1.04070477781473,90
"N.A[13,1]",87.52416,6.18259881792486,75,84,87,91,102,1.05667547382287,240
"N.A[14,1]",826.17408,54.814170120438,722,790,827,864,933,1.06615970143202,79
"N.A[15,1]",417.192,34.5069385663079,356,392,413,439,497,1.31820886659499,15
"N.A[16,1]",414.13696,32.5918449160524,363,389,411,436,485,1.07685286679686,51
"N.A[17,1]",546.23008,23.8573141416585,505,529,545,562,598,1.20270917062117,20
"N.A[18,1]",402.21024,29.386377423551,347,382,402,420,467,1.21605414879892,20
"N.A[19,1]",858.81024,99.299048572872,678,779,865,940,1037.89995662093,1.1144390550029,33
"N.A[20,1]",236.304,31.9960444898453,180.099750876102,213,235,262,290,1.10176037546293,35
"N.A[21,1]",175.60928,12.0943253283202,153,167,175,183,203,1.32812030468918,14
"N.A[22,1]",259.57568,18.1730843847801,226,246,259,273,297,1.31855192576475,14
"N.A[23,1]",327.01184,24.651336679832,285,310,322,344,380,1.26668213778094,18
"N.A[24,1]",859.6784,142.834780712913,632.09992886874,737,852,972,1115,1.20613650371932,20
"N.A[25,1]",1165.20704,156.341081054208,872.099948431946,1056,1167,1274,1499,1.26918783444318,17
"N.A[1,2]",369.63392,30.6529414303989,319,348,365,387,440,1.20737524939388,20
"N.A[2,2]",228.33408,17.9391418594371,195.0997699775,216,227,240,267,1.42627274429369,12
"N.A[3,2]",319.31488,35.4015024515325,260,293,318,342,393,1.23785098111663,19
"N.A[4,2]",333.22528,26.9251903986316,272,318,334,351,383,1.05552170501975,150
"N.A[5,2]",252.71008,20.698473445415,216.099792275478,238,252,266,296,1.41806709952287,12
"N.A[6,2]",249.33856,23.4929212887333,208,232,247,265,299,1.20374715816277,20
"N.A[7,2]",438.95264,29.9759025643175,384.099883005414,417,438,460,500,1.07473106281892,51
"N.A[8,2]",434.13504,32.4586066208087,375,410,434,457,497,1.16002558828353,25
"N.A[9,2]",991.13856,140.494502336519,739.199756844277,886,981,1107,1241,1.11261524358797,33
"N.A[10,2]",665.10336,53.8835516330736,561,628,668,703,768,1.08511228828063,46
