"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",552.7152,37.6000693327609,484,525,552,579,628,1.45777623855722,12
"N.A[2,1]",224.31232,18.0215511162353,192,212,224,236,262,1.36921828430392,13
"N.A[3,1]",281.63648,32.3556532535628,225,258,278,305,348,1.46247512280698,11
"N.A[4,1]",187.01504,16.4589301183341,156,175,187,198,220,1.07095606088536,51
"N.A[5,1]",630.38752,31.0575944333207,575,608,629,651,696,1.26824518325086,16
"N.A[6,1]",722.67424,47.2126335942943,635,687,721,755,815,1.45123832784701,12
"N.A[7,1]",673.62272,62.2511748210981,585.099923160099,627,659,705,813,2.46241004124608,7
"N.A[8,1]",110.09792,13.0395099944855,84,101,110,119,135,1.2611944218477,17
"N.A[9,1]",1279.94016,161.112507323235,962.299579831696,1184,1262,1384,1600.89997188144,1.47667307619329,11
"N.A[10,1]",965.32448,71.6186214985468,837,915,958,1013,1118,1.5840224136556,10
"N.A[11,1]",94.15808,14.3545277701219,68,84,94,104,123,1.51831545973919,11
"N.A[12,1]",114.216,13.5523738654143,89,105,114,123,142,1.15702811662747,25
"N.A[13,1]",85.37888,10.1733912374472,67,78,85,92,107,1.12571239927241,31
"N.A[14,1]",836.48672,55.180140041098,719,802,840,873,936.8999519419,1.24827655731883,18
"N.A[15,1]",427.97024,28.5326723358924,370,409,429,448,482,1.07685093040411,47
"N.A[16,1]",434.95328,45.3110079917019,360,401,432,465,531,1.56184054044338,10
"N.A[17,1]",543.15968,36.1643589431928,481,518,539,568,619,1.71520025692276,9
"N.A[18,1]",422.36768,28.2856210087647,369,402,422,442,476.899905534928,1.1427489300864,26
"N.A[19,1]",858.36256,84.3923490145256,704,797,852,920,1022.79982382875,1.56865795286888,10
"N.A[20,1]",252.85184,36.5819743273244,197,226,247,272,342.899868561905,1.76924743498371,9
"N.A[21,1]",171.60832,15.1102286170804,146,161,170,180,207,1.35855521391304,14
"N.A[22,1]",268.71296,26.1398382015571,224,251,266,285,328,1.57082953394461,10
"N.A[23,1]",340.28928,28.3978755837414,289,320,339,359,399,1.25950811927784,17
"N.A[24,1]",851.95552,96.9512510283076,654,796,859,918,1033.89995645302,1.53949535930213,11
"N.A[25,1]",1160.47616,115.630008247309,905,1102,1171,1234,1370.89996716207,1.13705809405093,30
"N.A[1,2]",361.96352,29.4221658216883,310,340,360,382,422,1.50485330232942,11
"N.A[2,2]",221.41856,18.2597957812192,187,209,221,234,259,1.3809016624996,13
"N.A[3,2]",334.08608,38.5706522203302,268,306,330,359,415,1.47453007037339,11
"N.A[4,2]",334.92096,27.2121971522704,283,316,334,353,391,1.09574579779528,39
"N.A[5,2]",255.84064,18.7614125636329,224,242,254,268,297,1.35172078713154,14
"N.A[6,2]",251.32064,25.070149460194,206.099782222643,233,250,268,304,1.57157350861516,10
"N.A[7,2]",450.74592,48.0239625569058,383,415,440,477,557,2.32074415995943,7
"N.A[8,2]",437.57184,43.5706672887822,343,412,442,468,513,1.47024211986539,12
"N.A[9,2]",996.85024,135.296743045498,731,915,981,1085,1262,1.48720599872415,11
"N.A[10,2]",682.2736,57.1188505068741,583.099922896783,641,673,720,807,1.68195198434115,9
"N.A[11,2]",88.39136,15.1892075237144,61,78,88,99,119,1.60271434172499,10
"N.A[12,2]",274.64,29.8896176716642,218.099794175691,257,273,290,345,1.22989275790401,19
"N.A[13,2]",286.488,29.6856276955253,237,263,283,309,345.899869703633,1.38009098500582,13
"N.A[14,2]",644.58176,46.2357648796652,551,614,647,676,730,1.25922131590099,17
"N.A[15,2]",308.54368,23.1784764258528,262,293,309,325,354,1.05878022615587,64
"N.A[16,2]",237.30432,30.7806018765423,187,213,234,258,302,1.63121361068901,10
"N.A[17,2]",367.6816,26.9295221861223,321.09986008905,348,365,386,423,1.56419530396848,10
"N.A[18,2]",218.69664,18.9899597327906,184,205,218,232,257,1.1676218580059,23
"N.A[19,2]",596.064,65.8352500842001,480,548,588,642,728,1.68667264744717,9
"N.A[20,2]",254.53344,39.9643717589759,198,226,247,274,357,1.88759994026132,8
"N.A[21,2]",95.48576,10.6915282364464,77,88,95,102,120,1.20740187633417,21
"N.A[22,2]",226.59456,23.7723902647346,186,210,224,241,280,1.48193453766279,11
"N.A[23,2]",446.9088,34.1742587944278,386,423,445,468,520,1.22125187416879,20
"N.A[24,2]",375.17312,52.2732875221549,273.099835546224,340,376,415,469.899904126102,1.67968307773923,9
"N.A[25,2]",1100.9072,113.336506036282,851,1039,1111,1174,1305,1.15370607243399,27
"N.A[1,3]",435.81216,31.3246023113078,377,414,436,458,498,1.41101906266305,12
"N.A[2,3]",185.33472,17.1077204277202,153,174,185,197,219,1.3764702660826,13
"N.A[3,3]",318.41184,35.8901482400313,255,292,315,342,393,1.47578837968921,11
"N.A[4,3]",236.2368,21.4009702174551,196,221,236,251,279,1.08519422386409,43
"N.A[5,3]",436.74176,22.9122819325067,394.099885970056,421,436,452,484,1.15262207597724,25
"N.A[6,3]",519.83968,35.4296144478482,451.099900361622,495,519,545,591,1.33053993135594,14
"N.A[7,3]",534.384,50.3024247015775,465,497,522,563,647.899930487607,2.27288285651782,7
"N.A[8,3]",225.66272,26.748415935962,171,209,227,244,275,1.53912367919677,11
"N.A[9,3]",1258.54912,158.578007751009,946,1164,1241,1362,1575,1.44504072173969,12
"N.A[10,3]",852.18976,63.7205066528209,731,807,846,896,985.899954331718,1.53648801642725,10
"N.A[11,3]",100.80832,15.7430368291621,73,90,100,111,133,1.55612501187311,10
"N.A[12,3]",184.87648,21.3223710860775,145,171,184,197,233,1.23144980959358,19
"N.A[13,3]",149.98912,17.4636409384511,120,137,149,162,185,1.22570487389782,19
"N.A[14,3]",738.4464,49.6439637261472,637.099929426515,706,742,772,827,1.20654844900131,21
"N.A[15,3]",379.7248,26.061149700034,327,362,380,397,430,1.05254483549071,74
"N.A[16,3]",359.41344,39.4459541908045,295,330,354,385,445,1.52899264570916,11
"N.A[17,3]",395.13056,27.7432019306979,346,375,393,414,453,1.53026622395122,11
"N.A[18,3]",342.24,23.9736571176654,297,325,342,359,389,1.09739009535565,36
"N.A[19,3]",761.14592,77.1759207695802,618.099927259,707,757,816,912,1.54629450957262,10
"N.A[20,3]",285.24896,41.3912436891636,224.099799673311,256,278,306,391.899885018268,1.82503742666262,8
"N.A[21,3]",128.97088,12.1797299924448,107,121,128,136,156,1.16053467909705,25
"N.A[22,3]",239.64512,24.4241321733235,198,223,237,255,296,1.4730638396053,11
"N.A[23,3]",362.59424,30.5518361399718,308,341,361,383,426,1.26171395042093,17
"N.A[24,3]",730.92512,82.8996015855768,561,683,736,786,888.899949345237,1.50936203819171,11
"N.A[25,3]",1205.46336,121.512163355692,937,1140,1216,1285,1430,1.13484570446292,31
"N.A[1,4]",342.4864,27.757608870219,293.099846747541,322,341,361,399.899887321551,1.43560099286344,12
"N.A[2,4]",187.6912,16.0968480543717,156,177,187,198,220.899795794643,1.36647950889113,14
"N.A[3,4]",335.62528,38.423678457727,269,308,331,361,417,1.4632957967825,11
"N.A[4,4]",288.29888,24.9658848286074,241,271,288,305,338,1.09284910013411,40
"N.A[5,4]",274.65664,18.3835798971133,242,262,274,286,313.899856398171,1.25691733262374,17
"N.A[6,4]",312.79104,28.024400317627,261,293,312,332,370,1.458598173359,11
"N.A[7,4]",419.84512,45.4570227938479,357,386,409,446,521,2.31830535078879,7
"N.A[8,4]",339.96256,35.7720528201912,262,317,343,365,404,1.45081056289949,12
"N.A[9,4]",1161.01472,155.891621348152,861.099947773604,1067,1142,1265,1471.89996941619,1.49341745255239,11
"N.A[10,4]",729.55424,60.5781736837864,627,686,722,770,858.899947574847,1.6398853576343,9
"N.A[11,4]",95.09088,15.9627867305451,66,83,95,106,128,1.57215701247698,10
"N.A[12,4]",228.6912,26.3979990899671,177,213,228,243,289.899844487854,1.20620789168636,21
"N.A[13,4]",239.08128,24.8822923918496,198,220,236,257,288,1.34938884714001,14
"N.A[14,4]",645.28256,46.7036708874816,550.099918275909,615,649,678,731,1.23809392066019,18
"N.A[15,4]",327.2064,24.2554419359517,280.099839648296,311,328,344,375,1.05831094842161,63
"N.A[16,4]",288.35456,34.4616970264992,233,262,285,312,361.899875472687,1.60190791953407,10
"N.A[17,4]",305.6368,23.7706495445439,263,288,304,322,354,1.49799585566515,11
"N.A[18,4]",239.66848,20.8893841873942,200,225,239,254,281,1.11913069559749,30
"N.A[19,4]",666.58624,72.8066960070096,533.099915672417,613,662,720,809,1.62492954913678,9
"N.A[20,4]",275.06592,43.8743200569644,212.099788367811,244,267,296,387.899883830951,1.85484015030385,8
"N.A[21,4]",89.95744,10.507197391762,72,83,89,96,114,1.18266419545296,23
"N.A[22,4]",218.42784,23.2180209624673,178,203,216,232,273,1.50113962148314,11
"N.A[23,4]",403.88608,32.3050017557328,347,381,402,425,473,1.22355769967802,19
"N.A[24,4]",547.56736,70.0512046822835,406.099889335152,504,551,598,676,1.62927578305219,10
"N.A[25,4]",1201.60672,123.627636329545,933,1135,1212,1285,1424.79987357182,1.14697293214321,28
"N.A[1,5]",347.616,27.6045399780682,297,328,347,366,402,1.38696060355973,13
"N.A[2,5]",152.52576,14.7661799137271,124,143,152,162,182,1.34419499688037,14
"N.A[3,5]",340.66176,37.8320953594031,275,313,337,366,420.899892950564,1.47595911802669,11
"N.A[4,5]",255.16096,21.7447069009317,213,240,254,270,298.899849178765,1.07645076718701,48
"N.A[5,5]",312.69184,18.6459038860698,279,300,312,325,350,1.13047944471902,29
"N.A[6,5]",401.6448,30.0123306285387,345,380,401,422,461,1.34324166208068,14
"N.A[7,5]",450.22016,43.159645169593,387,418,440,475,546,2.18690021789961,7
"N.A[8,5]",256.31328,30.1022919890855,194.099768795672,236,258,277,311,1.51585516247617,11
"N.A[9,5]",1324.24192,168.005000676749,995.099954802635,1224,1307,1432,1651,1.43309934516462,12
"N.A[10,5]",795.01472,60.8432141678009,684,752,788,835,919,1.53754794037098,10
"N.A[11,5]",104.6416,16.5363313198885,75,93,105,116,138,1.5734639391312,10
"N.A[12,5]",191.6064,23.6403772520601,148,177,190,204,245,1.235701593192,19
"N.A[13,5]",184.7792,19.7743484169188,151,170,183,199,225,1.26944955704133,17
"N.A[14,5]",654.94208,46.9741753379575,559,624,658,687,742,1.20451446064178,21
"N.A[15,5]",335.94752,23.8789051366466,290,320,336,352,383,1.04583828913986,84
"N.A[16,5]",329.96032,38.1266299358976,268,301,326,355,413,1.57532343410025,10
"N.A[17,5]",291.94496,22.3964292379843,253,276,290,307,338,1.47106025158557,11
"N.A[18,5]",283.14848,22.103086855757,241,267,283,298,327,1.10574936664151,33
"N.A[19,5]",754.5792,76.1386540309457,614,701,750,809,903,1.5528086599983,10
"N.A[20,5]",301.7888,45.4528734289147,235,269,294,323,418,1.86397133558885,8
"N.A[21,5]",94.56832,10.322065044659,77,87,94,101,117,1.1481310067072,27
"N.A[22,5]",216.95808,22.3615924248397,180,201,215,230,268,1.4621963733849,12
"N.A[23,5]",355.76064,30.4084389964744,301.099850812149,334,354,376,421,1.25075379999866,18
"N.A[24,5]",721.2768,82.5868215174084,553,674,727,779,874,1.53125691135619,11
"N.A[25,5]",1278.91456,129.326684118934,999,1207,1290,1364,1513,1.13043434325652,32
"N.A[1,6]",295.70592,25.095341506473,252,277,295,312,347,1.38773359590557,13
"N.A[2,6]",145.63904,14.0235401727122,119,136,146,155,174,1.31185537228659,15
"N.A[3,6]",335.6208,38.6804915312103,268.099832485285,308,332,360,416,1.46622284215279,11
"N.A[4,6]",261.64992,23.3390983612808,219,246,261,277,310,1.08481959564896,43
"N.A[5,6]",228.82368,16.447933678877,198,217,228,239,265,1.21191134982179,19
"N.A[6,6]",325.42656,26.6209846389988,274.099836145037,306,325,343,379.899881381202,1.41202439677756,12
"N.A[7,6]",377.23392,40.8582776076684,319,347,368,399,470,2.23750199857705,7
"N.A[8,6]",291.5104,32.8095663105332,222,272,294,314,350,1.46450009079666,12
"N.A[9,6]",1278.04224,172.019769306067,941.099952210694,1175,1257,1390,1618.89997219419,1.46979416498748,11
"N.A[10,6]",741.31104,60.6104975766713,635,698,734,783,871,1.61352342213189,10
"N.A[11,6]",104.25504,16.5993278977834,74,92,104,116,138,1.60318068004346,10
"N.A[12,6]",209.41504,24.819906339038,162,194,208,223,267,1.22580913587457,19
"N.A[13,6]",221.22976,22.6692879742599,183,204,219,237,268,1.29438343530645,16
"N.A[14,6]",612.5856,45.8003459329733,519,582,616,645,695.899935285933,1.22270458171854,19
"N.A[15,6]",295.55744,23.3130791732403,250.099820454682,279,296,311,341,1.0521894561005,71
"N.A[16,6]",301.18336,35.9577480690488,243,273,297,325,377.899880752535,1.5851625504768,10
"N.A[17,6]",247.23264,20.409271689825,212,232,246,260,291,1.49502098168957,11
"N.A[18,6]",239.99424,20.3436064345948,202.099777923686,226,240,253,281,1.1129612627181,31
"N.A[19,6]",695.8544,76.9740772168155,558,640,690,749,849.899947019344,1.61989886993256,9
"N.A[20,6]",290.84864,47.2499463335942,223,256,283,314,412,1.85734134723599,8
"N.A[21,6]",79.02656,9.29349302740623,63,72,78,85,100,1.15364849863763,26
"N.A[22,6]",194.97696,21.7725727357593,159,180,193,208,244.899815850319,1.47792736522213,11
"N.A[23,6]",344.75168,30.713648467779,289,323,344,365,410,1.22721547383784,19
"N.A[24,6]",624.66976,80.5362572381904,464,574,628,683,772,1.61041489779308,10
"N.A[25,6]",1286.47904,133.703198971495,992,1214,1298,1374,1530,1.13847621205084,30
"N.A[1,7]",297.69088,23.7127589960794,255,281,297,313,347,1.38465158176211,13
"N.A[2,7]",117.4688,12.4513677264244,94,109,117,125,143,1.3349904507474,14
"N.A[3,7]",340.52256,38.8837430502511,273,312,336,368,421,1.47929530439885,11
"N.A[4,7]",255.38144,21.86926675203,214,240,254,270,301,1.07902457781329,45
"N.A[5,7]",244.96768,15.8702095686907,215,234,244,255,277,1.11949752082468,31
"N.A[6,7]",348.31488,26.1785223302548,300,330,347,366,400.89988760299,1.34335270364306,14
