"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",189.173913043478,13.6890664974395,167,179,188,196,216.149705700945,1.25342957165911,16
"N.A[2,1]",487.026086956522,28.8013342982716,440,468.499733190959,484,505,552.149884639722,1.55986300767538,10
"N.A[3,1]",58.0695652173913,7.23868959151367,44.6941729319957,53,57,63,72.1491220925124,1.15897376126656,21
"N.A[4,1]",500.852173913043,31.9460190195517,438.548687517795,476.998951780819,498,525.497859177371,564.149887091516,1.40982895928569,12
"N.A[5,1]",138.521739130435,11.2189906557969,120,130.499042142078,138,147,160.149603091339,1.26016906673601,16
"N.A[6,1]",108.295652173913,9.39388931003468,91,103,107,114,125.445476791422,1.21378701453634,18
"N.A[7,1]",75.9826086956522,8.12185983442827,62,70,75,80,93.149319026915,1.10664406716922,28
"N.A[8,1]",512.530434782609,28.172813117119,460.548750405213,494.499747219349,509,532,568.488877380278,1.51381094771734,11
"N.A[9,1]",234.982608695652,15.8717351159586,207.547216797618,223,235,244,268.299052863072,1.51479771624005,10
"N.A[10,1]",176.504347826087,12.6805375896358,154.393312665939,168,176,184,204.149688441362,1.27414063567261,15
"N.A[11,1]",554.173913043478,31.3380719269331,494.849871051447,532,554,573,616,1.29165908525751,15
"N.A[12,1]",113.417391304348,10.3660906440314,94,106,113,120,133.149522887281,1.03886844513901,55
"N.A[13,1]",325.017391304348,20.1241683313808,289.699116931586,312.499599999744,322,337,368.448448689381,1.45320357836934,11
"N.A[14,1]",84.4,8.64890217148569,70,78,83,90,102,1.16889051187539,20
"N.A[15,1]",559.765217391304,33.2996313226476,496.548841257712,537.49976744181,555,585.499786507219,624.598371816869,1.38889889801723,12
"N.A[16,1]",166.504347826087,12.3972081697563,145.849561502844,157,167,173.499279537409,192.594754753752,1.20254207161715,18
"N.A[17,1]",289.704347826087,19.8834207199636,254.54773353839,276,289,303.499588138106,327.149805412723,1.36982480422201,13
"N.A[18,1]",445.513043478261,25.1474128338272,397.699357303916,427.499707602239,445,463.499730312759,494.149871112278,1.29853500272196,15
"N.A[19,1]",198.304347826087,13.1190058412946,177,189.499340368245,198,206.499394672236,225.149717440759,1.18858853328407,19
"N.A[20,1]",388.034782608696,24.512413766914,345.245352311065,369.499661704852,385,405,434.042856898424,1.30064310598237,15
"N.A[21,1]",503.469565217391,28.7375668735073,456.699440502545,485.499742533402,501,521.999042144715,569.598215113821,1.60104431547928,10
"N.A[22,1]",284.269565217391,17.4684285333095,252.698987153646,271,284,296,315.448189196647,1.34168916837598,13
"N.A[23,1]",69.9304347826087,8.02706140013807,56.8488693257495,64,70,75.4983443527075,86,1.10390234839552,28
"N.A[24,1]",315.84347826087,20.1418614901107,276.849769341919,303,316,331.499622925879,351.299276046694,1.38434710597055,12
"N.A[25,1]",122.895652173913,10.9250829319936,101,116.498927033686,123,128,148,1.14059339391011,23
