"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",69.8775061336703,9.36389475530944,53.0996941646438,63.0466951783357,69.8440151209917,76.3400627112971,88.9037922917707,1.18857702605938,15
"N.A[2,1]",112.240067162569,11.4633346873494,93.8605351347924,103.669852022593,110.887101826336,119.535275925604,139.357658746715,1.04727346490283,51
"N.A[3,1]",318.061518915653,25.2684905105352,274.98394230848,300.060210753234,316.379433449233,334.492917951793,371.010203383167,1.40710890359304,9
"N.A[4,1]",285.712531337811,21.7002897935046,245.29872010831,270.856482383526,285.179418655145,300.604490233059,331.287727378376,1.37174022036338,9
"N.A[5,1]",370.392435757303,25.9900818396483,323.482307910725,351.892940879627,367.992727463441,387.630960694189,425.543632804471,1.02631193710046,100
"N.A[6,1]",312.530550850045,20.5204496118467,274.154484004978,298.88934983193,312.311891038053,325.80409337597,354.309753757772,1.02390350374373,510
"N.A[7,1]",188.231243976563,14.4485777654888,161.486827004405,178.464926437302,187.896912287265,197.853566087057,217.540231867689,1.02009397520302,750
"N.A[8,1]",100.939780523416,12.181040922534,79.9029209139428,92.5032452196828,100.121649280448,108.511326758047,127.704273658448,1.27904899764826,11
"N.A[9,1]",179.407721986645,21.1959825880718,145.16553729947,163.677884637713,177.521043125388,191.820006768331,226.515358107819,1.83762337015367,6
"N.A[10,1]",312.796990276422,21.912115989853,273.706559825264,297.476188808629,311.364294224454,326.927431612556,358.742996242681,1.02801489789739,330
"N.A[11,1]",268.490426948935,18.4506157135919,234.364966673724,256.156995911534,267.873196722349,279.047393463604,308.090915836661,1.23326054102616,13
"N.A[12,1]",113.294737623504,12.3255553928101,92.1869487441764,103.95465443008,111.914966064009,121.907930445531,138.604913974701,1.25649065528696,12
"N.A[13,1]",228.429594764928,18.9409388457203,196.546993860812,215.600732215086,226.499826626286,240.600949871339,267.357208310937,1.01006411485514,310
"N.A[14,1]",61.8417635204992,9.23641797530341,45.851596962264,55.4309134145233,61.0292968415319,68.2782514575007,81.8955791423157,1.05250325885128,42
"N.A[15,1]",197.518083079338,16.8680039716907,168.284769153449,185.331663574587,196.503736690195,208.965553839229,232.963413074087,1.07195564644029,34
"N.A[16,1]",165.136128547049,15.3580404334444,138.553350077503,153.824608475866,164.205541653777,174.461285831464,198.984017532513,1.13799760102421,19
"N.A[17,1]",156.578028276818,14.7035061243568,128.465259208609,146.17348751935,156.008552498093,166.329978006157,186.091670590857,1.31148825403257,10
"N.A[18,1]",367.628234381678,34.1639132218664,313.50605714342,343.542800393192,363.330328962872,387.547778324852,445.598288160337,1.7809577919318,6
"N.A[19,1]",44.0351367197876,8.03355991054698,30.4141337262484,38.1837312963013,43.3866217022004,48.8850327583932,62.0777953334631,1.22572818750148,13
"N.A[20,1]",223.133621520987,17.3908886094071,189.56108985043,211.439349079677,222.273453921432,233.856854841027,257.593894061884,1.02970083849448,76
"N.A[21,1]",62.3121424988176,8.1526046738069,48.2895932799084,56.4294367742498,61.5664609900853,67.5753629748953,78.6484786684398,1.21394607954893,14
"N.A[22,1]",287.691688731632,20.3899855529062,248.929702291468,274.539879897696,287.109216729786,301.428052458251,328.866381435245,1.04482109821517,51
"N.A[23,1]",360.542201457761,23.1755349140225,316.896729255272,345.32026762472,360.163125462167,374.300127571475,412.253682025921,1.01489709646358,160
"N.A[24,1]",224.532012154709,24.0305249259606,188.331772180756,207.885917627159,221.482015921487,237.337376206283,280.859354984324,1.21589687533979,15
"N.A[25,1]",357.326687125174,34.7990542356123,304.246284915531,330.899339996143,351.336567840467,381.126845195059,434.235704617808,2.15843099441631,5
"N.A[1,2]",53.24,6.9409871827256,40,49,54,58,67,1.406163831553,9
"N.A[2,2]",51.4866666666667,6.22876811993711,40,47,51,56,63.2734319463892,1.04550589748868,52
"N.A[3,2]",139.857333333333,15.0463340755938,114,129,138,151,171,1.76750320304288,6
"N.A[4,2]",128.988,13.0190828411233,103.724036131796,121,129,137,156,1.54820079016722,7
"N.A[5,2]",173.450666666667,15.8096012244688,145,162,173,184.749491639399,205,1.04337706387285,65
"N.A[6,2]",112.4,12.1079920422447,91,104,112,121,138,1.05248066888111,120
"N.A[7,2]",74.284,7.93384765323734,59,69,74,79,91,1.02119054141548,390
"N.A[8,2]",71.256,8.74019366568909,55,65,71,76,92,1.30274688238261,11
"N.A[9,2]",95.6866666666667,14.1615402122721,74,85,93,103.749093467858,128.274224671448,2.32584051050889,4
"N.A[10,2]",158.385333333333,13.8714120761444,134,149,158,167,186.274465696503,1.06355661380293,42
"N.A[11,2]",123.666666666667,11.3141018537295,102,116,123,131,146.274319885495,1.29424775331403,11
"N.A[12,2]",76.5186666666667,8.38057059554408,61,71,76,82,93,1.4350344945846,8
"N.A[13,2]",132.272,11.9983594784272,110.724097233424,124,132,139,159,1.04457224139565,72
"N.A[14,2]",44.676,5.32924871401286,35,41,44,48,57,1.06557132903008,35
"N.A[15,2]",111.576,10.3309177302018,93,104,110,118,134,1.07172985085641,42
"N.A[16,2]",83.1013333333333,8.66266629115529,66,77,83,89,100,1.42983972871536,8
"N.A[17,2]",86.3786666666667,9.14170147346737,68.723543093903,80,87,92,104,1.45424415487207,8
"N.A[18,2]",179.094666666667,23.3608792456047,144,162,175,192.749512775294,231.274569523422,2.08611539747311,5
"N.A[19,2]",30.468,5.76471611928242,21,26,30,34,44,1.41549667878147,9
