Average HR Bias (Realized - Estimated)
"","x"
"A_1",0.0826815502020166
"A_2",0.0435067494000657
"A_3",0.0687941450115694
"A_4",0.0658380990587318
"A_5",0.0434079382591313
"A_6",0.0487116863602096
"J_1",-0.054070601040365
"J_2",0.015005506234423
"J_3",-0.0736840873393209
"J_4",-0.0791502172678147
"J_5",-0.0793599803195443
"J_6",-0.0875683376461668


Average Estimated HR
"","x"
"A_1",0.180831963311497
"A_2",0.190727484834169
"A_3",0.182347407499846
"A_4",0.177405144184511
"A_5",0.194510277354252
"A_6",0.187847453424737
"J_1",0.179070601040365
"J_2",0.188877988911208
"J_3",0.180554316346954
"J_4",0.17564144533799
"J_5",0.192567527489356
"J_6",0.185928993383872


Average Real HR
"","x"
"1",0.263513513513513
"2",0.234234234234234
"3",0.251141552511416
"4",0.243243243243243
"5",0.237918215613383
"6",0.236559139784946
"7",0.125
"8",0.203883495145631
"9",0.106870229007634
"10",0.0964912280701754
"11",0.113207547169811
"12",0.0983606557377049


Average WSR Bias (Realized - Estimated)
"","x"
"1",-0.00420394586776296
"2",0.0213705272274919


Average Estimated WSR
"","x"
"1",0.994025895000017
"2",0.95178347293104


Average Real WSR
"","x"
"1",0.989821949132254
"2",0.973154000158532


Average Proportional Bias by Year - N.A
"","x"
"V1",-0.396457620445092
"V2",-0.473064246698166
"V3",-0.425358882945596
"V4",-0.426010319821343
"V5",-0.358053251389964
"V6",-0.340104024740205
"V7",-0.379926712471542
"V8",-0.396238016426159
"V9",-0.372707822939404
"V10",-0.375875811829399
"V11",-0.413892875900524
"V12",-0.38045183831188
"V13",-0.403085132928693
"V14",-0.382574006781654
"V15",-0.375886417478799
"V16",-0.353086769997496


Average Proportional Bias by Year - N.J
"","x"
"V1",0.998732856430136
"V2",0.641646632616358
"V3",0.585584312761479
"V4",0.669370531088332
"V5",0.638226436723425
"V6",0.551696832742597
"V7",0.568417149837028
"V8",0.582684586771532
"V9",0.579373238188466
"V10",0.563034689324845
"V11",0.600936953492269
"V12",0.529302064605762
"V13",0.589049330068637
"V14",0.583374471206253
"V15",0.612313709408692
"V16",0.528817359738713


Real N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",51,206,120,174,135,152,142,154,163,159,176,169,179,190,177,192
"2",286,443,364,411,376,404,365,392,380,390,383,368,380,364,393,378
"3",937,402,849,614,860,739,864,866,951,972,1067,1102,1147,1258,1358,1386
"4",180,87,180,125,177,161,175,185,226,202,249,246,284,301,308,319
"5",68,54,58,53,70,55,70,61,75,74,62,75,73,74,84,86
"6",965,759,913,867,924,941,957,959,1002,1022,1066,1077,1084,1120,1158,1165
"7",86,51,77,60,64,60,56,54,60,59,53,66,48,61,54,57
"8",659,602,630,650,642,686,683,732,737,750,745,773,798,800,854,802
"9",205,361,277,313,303,314,350,348,352,370,377,380,376,406,400,419
"10",431,453,462,485,475,514,533,547,543,547,580,578,622,643,632,637
"11",468,594,554,620,641,693,708,812,836,904,914,1002,1051,1117,1203,1254
"12",58,231,116,187,144,196,165,187,178,191,179,194,183,194,194,212
"13",149,191,172,187,187,183,194,197,200,194,187,180,195,192,212,207
"14",418,422,445,440,467,444,479,471,506,509,538,595,558,646,661,630
"15",47,103,65,92,87,100,106,111,111,126,119,133,135,122,139,140
