Years BR Data: 7
Number of Individuals in BR Data: 3500
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 150


Average HR Bias (Realized - Estimated)
"","x"
"A_1",0.0238920466953123
"A_2",0.00364583158452308
"A_3",0.0088481646166243
"A_4",-0.00830944319653903
"A_5",-0.000948868149550558
"A_6",0.0119814148196099
"A_7",0.00179991960110132
"J_1",-0.0143675876342256
"J_2",0.00291470495780055
"J_3",-0.00410538876437394
"J_4",0.0154834619355421
"J_5",0.00563411125404686
"J_6",0.00766671825679605
"J_7",0.0167403413080018


Average Estimated HR
"","x"
"A_1",0.214913923453941
"A_2",0.256977397877233
"A_3",0.221330863516368
"A_4",0.28896982055503
"A_5",0.233980542357695
"A_6",0.25801858518039
"A_7",0.210914016829217
"J_1",0.105765437096591
"J_2",0.128513866470771
"J_3",0.109077764454982
"J_4",0.145974871397791
"J_5",0.115753171982947
"J_6",0.12869691810684
"J_7",0.103478237926971


Average Real HR
"","x"
"1",0.238805970149254
"2",0.260623229461756
"3",0.230179028132992
"4",0.280660377358491
"5",0.233031674208145
"6",0.27
"7",0.212713936430318
"8",0.0913978494623656
"9",0.131428571428571
"10",0.104972375690608
"11",0.161458333333333
"12",0.121387283236994
"13",0.136363636363636
"14",0.120218579234973


Average WSR Bias (Realized - Estimated)
"","x"
"1",-0.000363411684293546
"2",0.02654707914787


Average Estimated WSR
"","x"
"1",0.98568765014467
"2",0.93886403049883


Average Real WSR
"","x"
"1",0.985324238460376
"2",0.9654111096467


Average Proportional Bias by Year - N.A
"","x"
"V1",-0.129264085467308
"V2",-0.124094313610209
"V3",-0.132334430897903
"V4",-0.0821530764418095
"V5",-0.0932148639384832
"V6",-0.145013203288202
"V7",-0.119625038702305
"V8",-0.178953534473782
"V9",-0.183980720077338
"V10",-0.13054860792418
"V11",-0.174092441167023
"V12",-0.280763171694111
"V13",-0.14177808425106
"V14",-0.175409846816245
"V15",-0.117747337156478
"V16",-0.135999393247413
"V17",-0.0707595387176694


Average Proportional Bias by Year - N.J
"","x"
"V1",0.295344947658495
"V2",0.0728285634734632
"V3",0.112324050887082
"V4",0.0952213653632383
"V5",-0.0465365445784334
"V6",0.0806945306648509
"V7",-0.00751035525367168
"V8",0.0472328191517784
"V9",0.0828015854432058
"V10",-0.0508231369735834
"V11",0.0110237085225839
"V12",0.207877063908397
"V13",0.0306121528829295
"V14",0.120831681379647
"V15",0.0199417528101157
"V16",0.131354707708423
"V17",0.252638398402469


Real N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",355,484,407,457,453,476,469,443,434,470,472,462,470,481,474,472,486
"2",471,337,416,399,436,412,427,430,428,470,477,500,503,537,513,528,549
"3",527,585,512,541,465,488,436,459,414,416,407,346,350,334,308,280,237
"4",324,262,245,237,202,215,158,158,133,129,127,96,89,82,77,71,78
"5",38,57,35,38,22,33,19,12,6,11,7,2,3,1,2,2,4
"6",514,519,489,538,516,513,544,516,562,517,611,584,548,589,577,600,610
"7",255,429,320,446,379,441,423,440,461,487,518,528,537,574,575,557,621
"8",55,286,122,195,141,178,147,162,140,132,142,136,130,139,134,138,121
"9",225,279,217,212,201,163,175,142,127,121,102,98,74,79,75,55,61
"10",800,565,591,524,494,443,423,344,318,323,259,247,228,198,198,168,126
"11",348,572,414,583,460,542,505,556,541,524,597,597,570,601,603,618,613
"12",253,373,307,363,317,354,329,341,313,330,313,311,332,310,327,308,309
"13",79,101,69,73,72,80,49,47,35,47,41,41,38,35,25,28,23
"14",32,264,92,191,119,133,117,107,125,102,104,111,101,93,108,98,100
"15",828,567,731,546,680,503,583,543,533,498,450,423,415,408,368,360,347
"16",626,708,739,867,919,975,1017,1037,1086,1195,1244,1385,1441,1629,1736,1839,2018
"17",871,636,741,693,676,675,721,657,652,609,604,595,568,579,555,537,532
"18",854,400,605,419,497,362,376,309,292,263,249,237,214,218,176,178,170
"19",720,509,589,522,521,499,503,487,466,441,400,386,339,347,305,309,273
"20",333,412,342,384,340,313,312,299,306,286,272,258,228,239,231,211,209
"21",258,393,271,329,269,305,254,273,260,288,269,280,237,264,246,227,219
"22",923,319,639,402,541,399,475,383,400,380,305,312,307,277,284,269,230
"23",391,405,327,306,266,227,205,175,167,126,120,107,86,89,72,78,56
"24",40,354,127,211,128,127,97,104,70,71,52,46,37,31,35,31,21
"25",388,337,311,318,277,281,249,258,260,221,207,187,208,186,178,158,162


Estimated N.A
"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1",438.57408,679.26624,510.9088,633.45792,582.48352,643.46624,623.17248,588.6608,600.02144,585.688,636.824,512.2112,556.34912,646.7376,629.304,628.83008,519.79808
"2",643.77472,422.85568,567.62176,492.70912,537.80672,526.92384,527.63552,552.65792,560.69664,578.72224,585.86496,650.10752,632.41888,676.16352,685.7344,694.72992,639.9568
"3",540.32928,563.83328,495.71232,542.2736,463.66624,496.75232,472.17216,468.46784,428.43648,366.63168,388.624,322.23008,320.91392,323.68128,319.07168,328.72128,272.14432
"4",312.55712,221.82208,262.81824,200.3792,161.81376,211.39808,151.04448,162.16832,127.15904,125.82144,129.11712,93.21856,80.07648,63.6864,69.94208,59.40608,61.85856
"5",43.5872,60.15232,24.73184,34.46304,20.61536,33.4272,12.73088,12.81344,7.25472,13.93984,12.34592,8.81632,3.19648,2.24704,1.48192,1.20768,1.82464
"6",562.09376,560.62368,556.88416,573.85952,565.00672,587.83104,658.33568,647.72608,632.66976,594.31904,667.08192,678.80096,633.4352,616.15936,640.80928,711.16896,654.8176
"7",347.0928,594.77408,443.296,591.56832,547.74368,590.25472,548.11072,620.10112,630.39968,600.55424,675.672,689.78144,697.78496,779.00288,809.89472,800.32672,771.3136
"8",97.04576,300.50848,141.90144,232.76864,153.74656,199.6144,157.45312,183.94784,155.3712,145.91456,144.89888,160.13664,151.60992,139.89888,150.31776,163.36736,128.18208
"9",161.25056,256.76352,203.14656,175.94976,177.80352,171.41152,152.09792,138.54304,123.66176,115.14976,81.97728,103.52864,78.36256,70.03072,70.79552,56.15744,44.09504
"10",678.81408,457.99776,515.2016,462.26656,402.07552,393.06432,395.69184,338.8912,296.5136,283.6512,251.6128,210.02784,195.15296,181.07424,163.20512,162.02272,143.51104
"11",443.49216,754.67488,567.792,760.69184,623.75552,743.75808,679.02624,737.40672,687.43712,730.09248,763.41248,787.16288,783.41184,767.25728,799.41056,900.24032,782.12256
"12",344.70976,532.83296,392.04768,386.19776,380.40096,471.94592,404.08416,409.11072,395.77216,397.89536,398.008,363.16672,445.36256,385.18912,399.25152,381.39392,373.79424
"13",84.50752,127.73824,89.50304,89.75904,65.39168,69.32352,49.25536,68.97856,67.52832,50.78752,36.75072,51.6128,34.86464,60.776,32.96704,33.36064,29.65376
"14",24.14912,213.15104,96.37824,184.88832,122.41824,144.57408,109.9728,132.06496,128.32672,108.24576,119.62592,124.6784,110.35296,100.2896,109.10336,103.26944,86.90688
"15",800.12576,563.0352,694.69152,547.2976,636.58496,512.77984,553.3968,512.96064,487.8608,453.7456,413.83488,391.36448,423.48832,423.19104,372.7024,373.432,318.68
"16",1330.45472,1244.81632,1401.968,1641.52448,1789.04992,2070.66848,2134.51904,2366.37088,2429.57824,2552.31328,2681.28736,2907.1488,3079.94944,3176.17344,3492.2992,3697.99168,3927.44576
"17",1064.13952,780.31584,930.79648,801.80288,802.35904,848.04608,850.23488,846.872,842.2144,772.33632,828.26592,742.61888,727.05152,674.32736,678.95392,713.02656,633.44928
"18",781.22176,375.86976,553.22912,343.096,430.73088,380.02912,344.58336,283.70912,294.53856,261.79584,249.63648,218.03104,203.86784,177.7328,161.45696,143.8576,124.25696
"19",654.0944,508.64544,559.7152,456.77216,459.59104,474.02688,498.2496,494.8176,448.91264,432.18112,452.456,390.51264,384.66816,348.3712,271.07872,331.3104,277.00256
"20",332.78176,445.93472,355.58496,387.47488,372.31648,349.00544,316.96448,349.87136,340.4384,312.7424,311.67168,281.72576,277.77952,226.10304,195.8992,227.75808,187.65728
"21",379.0496,494.70336,362.05344,410.8752,374.28928,396.20928,369.50304,340.1056,270.81056,327.64288,324.0576,378.10016,333.41184,344.37568,317.20928,292.90432,281.8688
"22",1071.24032,428.17792,695.128,424.30752,564.7424,449.45696,528.31296,463.13664,423.67584,390.08128,399.88544,403.1552,320.45888,311.9824,347.32288,334.79392,310.77152
"23",314.09216,344.47104,301.21024,269.22208,248.32352,194.10176,178.7776,149.88512,159.98848,117.97664,113.14144,77.22528,62.84448,83.71104,69.98592,68.4832,49.85472
"24",26.88544,327.12416,130.14208,208.45344,131.63904,127.24512,109.76576,97.9664,84.57504,75.39264,53.344,49.47488,41.21728,30.8448,32.66272,23.12256,24.9584
"25",390.12768,382.48896,334.30432,281.49408,261.15488,275.36544,273.08928,227.7456,236.80736,233.59776,215.40832,213.6784,191.3616,178.70144,176.1712,143.96544,136.05184


Real N.J
