Years BR Data: 6,,,,,,,,,,,,,,,,
Number of Individuals in BR Data: 3000,,,,,,,,,,,,,,,,
Additional Years of Total Harvest Data in SS: 10,,,,,,,,,,,,,,,,
Years WSR Data: 3,,,,,,,,,,,,,,,,
Number of Individuals in WSR Data: 150,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Average HR Bias (Realized - Estimated),,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,
A_1,-0.082061372,,,,,,,,,,,,,,,
A_2,-0.049846551,,,,,,,,,,,,,,,
A_3,-0.080481006,,,,,,,,,,,,,,,
A_4,-0.052663147,,,,,,,,,,,,,,,
A_5,-0.048604562,,,,,,,,,,,,,,,
A_6,-0.046967429,,,,,,,,,,,,,,,
J_1,-0.038365254,,,,,,,,,,,,,,,
J_2,-0.068213765,,,,,,,,,,,,,,,
J_3,-0.009354862,,,,,,,,,,,,,,,
J_4,-0.033084954,,,,,,,,,,,,,,,
J_5,-0.039470373,,,,,,,,,,,,,,,
J_6,-0.027067998,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Average Estimated HR,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,
A_1,0.315245229,,,,,,,,,,,,,,,
A_2,0.332346551,,,,,,,,,,,,,,,
A_3,0.354453609,,,,,,,,,,,,,,,
A_4,0.321804679,,,,,,,,,,,,,,,
A_5,0.291234948,,,,,,,,,,,,,,,
A_6,0.289793036,,,,,,,,,,,,,,,
J_1,0.152001618,,,,,,,,,,,,,,,
J_2,0.161237021,,,,,,,,,,,,,,,
J_3,0.17360607,,,,,,,,,,,,,,,
J_4,0.15542538,,,,,,,,,,,,,,,
J_5,0.138946813,,,,,,,,,,,,,,,
J_6,0.13817911,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Average Real HR,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,
1,0.233183857,,,,,,,,,,,,,,,
2,0.2825,,,,,,,,,,,,,,,
3,0.273972603,,,,,,,,,,,,,,,
4,0.269141531,,,,,,,,,,,,,,,
5,0.242630385,,,,,,,,,,,,,,,
6,0.242825607,,,,,,,,,,,,,,,
7,0.113636364,,,,,,,,,,,,,,,
8,0.093023256,,,,,,,,,,,,,,,
9,0.164251208,,,,,,,,,,,,,,,
10,0.122340426,,,,,,,,,,,,,,,
11,0.09947644,,,,,,,,,,,,,,,
12,0.111111111,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Average WSR Bias (Realized - Estimated),,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,
1,0.004912693,,,,,,,,,,,,,,,
2,0.008628665,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Average Estimated WSR,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,
1,0.98398566,,,,,,,,,,,,,,,
2,0.958342151,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Average Real WSR,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,
1,0.988898353,,,,,,,,,,,,,,,
2,0.966970817,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Average Bias by Year (absolute value) - N.A,,,,,,,,,,,,,,,,
,x,,,,,,,,,,,,,,,
V1,89.3113472,,,,,,,,,,,,,,,
V2,80.003456,,,,,,,,,,,,,,,
V3,85.5396992,,,,,,,,,,,,,,,
V4,83.2720768,,,,,,,,,,,,,,,
V5,75.0240384,,,,,,,,,,,,,,,
V6,92.7716736,,,,,,,,,,,,,,,
V7,98.9895808,,,,,,,,,,,,,,,
V8,102.7112064,,,,,,,,,,,,,,,
V9,105.6282496,,,,,,,,,,,,,,,
V10,105.6227456,,,,,,,,,,,,,,,
V11,105.418304,,,,,,,,,,,,,,,
V12,109.4513536,,,,,,,,,,,,,,,
V13,112.737024,,,,,,,,,,,,,,,
V14,120.9154944,,,,,,,,,,,,,,,
V15,127.6116864,,,,,,,,,,,,,,,
V16,129.611776,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bias by Year - N.A,,,,,,,,,,,,,,,,
,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
1,45.80896,110.4608,71.00384,72.00512,55.61408,59.7056,67.98016,50.59424,62.90528,66.79808,59.32224,44.4016,54.41536,27.90944,46.33184,37.71104
2,129.5904,85.2192,114.77248,90.5904,68.46944,101.04416,138.65408,127.25568,162.46272,130.09792,150.38112,129.76608,228.44032,197.95744,239.3808,221.24864
