Years BR Data: 8
Number of Individuals in BR Data: 4000
Additional Years of Total Harvest Data in SS: 10
Years WSR Data: 3
Number of Individuals in WSR Data: 150


Average HR Bias (Realized - Estimated)
"","x"
"A_1",-0.0983779591036844
"A_2",-0.0973201912526452
"A_3",-0.0999232258559832
"A_4",-0.0794583892304613
"A_5",-0.0721656394865655
"A_6",-0.0797131092400643
"A_7",-0.0746032431054362
"A_8",-0.0731036071049286
"J_1",-0.0362194419288317
"J_2",-0.0650552814205628
"J_3",-0.0460279922874987
"J_4",-0.0504644720325536
"J_5",-0.0882168589262632
"J_6",-0.0442629471621181
"J_7",-0.0179922105522217
"J_8",-0.0268968241072055


Average Estimated HR
"","x"
"A_1",0.326688461386789
"A_2",0.409175861355738
"A_3",0.369244068947318
"A_4",0.320762737056548
"A_5",0.373013097113684
"A_6",0.325248823525779
"A_7",0.301298158359673
"A_8",0.348313691138542
"J_1",0.153240718524576
"J_2",0.199314540679822
"J_3",0.176462774896194
"J_4",0.149990538383265
"J_5",0.178578304709396
"J_6",0.152371055270226
"J_7",0.139685332245343
"J_8",0.164827858589964


Average Real HR
"","x"
"1",0.228310502283105
"2",0.311855670103093
"3",0.269320843091335
"4",0.241304347826087
"5",0.300847457627119
"6",0.245535714285714
"7",0.226694915254237
"8",0.275210084033613
"9",0.117021276595745
"10",0.134259259259259
"11",0.130434782608696
"12",0.0995260663507109
"13",0.0903614457831325
"14",0.108108108108108
"15",0.121693121693122
"16",0.137931034482759


Average WSR Bias (Realized - Estimated)
"","x"
"1",0.00162612108384197
"2",0.0352832762063555


Average Estimated WSR
"","x"
"1",0.985837600825063
"2",0.939737567095798


Average Real WSR
"","x"
"1",0.987463721908905
"2",0.975020843302154


Average Proportional Bias by Year - N.A
"","x"
"V1",0.199630495986595
"V2",0.179703152964491
"V3",0.194792684215429
"V4",0.211043118468154
"V5",0.200765684040638
"V6",0.197908930474372
"V7",0.177500359398625
"V8",0.205328808750527
"V9",0.218640454228302
"V10",0.206690524533627
"V11",0.186412498551817
"V12",0.174442172487742
"V13",0.154743910510813
"V14",0.194104899152161
"V15",0.188678078834667
"V16",0.187499807338297
"V17",0.227828758744796
"V18",0.198776785432324


Average Proportional Bias by Year - N.J
"","x"
"V1",0.58890707786305
"V2",0.458744289846383
"V3",0.456257257988531
"V4",0.436901912007031
"V5",0.394944769873169
"V6",0.369238170437993
"V7",0.413133740515418
"V8",0.422496536311879
"V9",0.385390571525944
"V10",0.373879333687308
"V11",0.348681661328582
"V12",0.310275485005381
"V13",0.423558370511238
"V14",0.346265909378187
"V15",0.409549552574509
"V16",0.399318081349762
"V17",0.393232080644172
"V18",0.30796028246203


Real N.A
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",626,751,811,970,1090,1241,1434,1588,1795,2018,2374,2601,2932,3468,3877,4660,4929,6022
"2",51,325,166,273,230,277,243,261,249,233,253,253,253,297,288,335,311,385
"3",33,264,107,205,142,197,162,199,155,200,167,192,145,160,171,188,167,156
