"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",55.4088533333333,9.01571456680676,40,49,55,61,75,1.05727709473649,69
"N.A[2,1]",318.207573333333,36.0783173403276,257,293,315,340,403,1.12578656994052,44
"N.A[3,1]",1219.35541333333,130.312629684864,1000,1119,1208,1310,1494.64992388504,1.12218480911621,36
"N.A[4,1]",215.84448,22.1340670611668,175,201,215,230,261,1.05010849129791,72
"N.A[5,1]",60.1624533333333,10.0357031916354,43,53,59,66,83,1.05511072226185,86
"N.A[6,1]",1115.32,83.4254904690151,971,1055,1107,1170,1291,1.13266747950804,30
"N.A[7,1]",122.145813333333,13.548676648046,97,113,122,131,150,1.10566411955077,36
"N.A[8,1]",656.64064,52.5139890291631,556,620,657,693,760,1.05149201983195,75
"N.A[9,1]",289.23424,29.4412941722111,236,269,288,308,352.649677259024,1.21339434022165,21
"N.A[10,1]",407.092906666667,40.0404692845944,343,380,403,428,508,1.14789053569154,33
"N.A[11,1]",700.973973333333,70.6537484557202,580,648,692,751,843,1.1352225698503,30
"N.A[12,1]",61.7028266666667,8.96078788686433,45,55,61,68,80,1.02545136949843,140
"N.A[13,1]",163.696853333333,18.5512985575357,131,150,163,175,203.649440893733,1.07781696610596,54
"N.A[14,1]",491.93152,36.7791748952887,425,466,490,516,567,1.03951538408034,95
"N.A[15,1]",61.7499733333333,8.42727607379977,46,56,62,67,79,1.03343749909601,97
"N.A[16,1]",879.816746666667,89.8309171807895,721,816,874,937,1077,1.13639750699682,31
"N.A[17,1]",315.198293333333,39.2608966319044,245.34953675375,287,313,339,402,1.08644041315739,55
"N.A[18,1]",304.08832,31.0925768107613,250,281,302,324,372,1.07761101150221,48
"N.A[19,1]",828.724266666667,63.732224837626,710,781,828,875,950,1.17258718634312,22
"N.A[20,1]",641.8032,47.7340146396297,554,608,641,674,739,1.08288769462939,70
"N.A[21,1]",1428.93738666667,159.524596504443,1153,1308,1418,1539,1758,1.20139251700403,22
"N.A[22,1]",1071.88757333333,111.356628206108,886,982,1064,1160,1282,1.27912535502075,16
"N.A[23,1]",483.51776,46.8981082495714,399.349715304607,450,482,514,581.649804368353,1.21508716409265,20
"N.A[24,1]",33.0509866666667,5.90443440785774,22,29,33,37,45,1.04423166606036,74
"N.A[25,1]",1055.75008,82.7626177052285,889,997,1059,1116,1205,1.09160641575346,40
"N.A[1,2]",188.190613333333,23.6842188048075,150,172,185,201,248,1.09049693799753,54
"N.A[2,2]",535.185813333333,57.2383093505093,437,495,530,570,670,1.11963147138384,54
"N.A[3,2]",583.107306666667,83.2925444906636,454,513,578,643,755.649849427477,1.20232905383992,21
"N.A[4,2]",119.76608,15.1446338073855,92,109,119,130,151,1.01804675163518,250
"N.A[5,2]",51.3506133333333,9.21716364227198,36,45,51,57,72,1.06503249700271,72
"N.A[6,2]",918.790826666667,78.8107917835249,781,861,912,972,1084,1.15099555824193,27
"N.A[7,2]",73.2488533333333,10.4336853800317,54,66,73,80,95,1.07248681981906,52
"N.A[8,2]",666.170666666667,55.08333091519,562,627,666,705,776,1.05249431797504,72
"N.A[9,2]",407.634773333333,41.3278139782903,336,377,405,434,499,1.32766771073296,15
"N.A[10,2]",447.238613333333,47.7431401055277,370,415,443,472,572,1.15569395319048,31
"N.A[11,2]",835.362133333333,87.6984035231741,684,771,824,897,1011,1.13848625381475,29
"N.A[12,2]",244.263466666667,25.0477488054125,198,226,244,262,293.649612369801,1.09187161477885,39
"N.A[13,2]",224.90336,24.1053277894888,184,208,223,240,278,1.10283371546774,44
"N.A[14,2]",510.760853333333,39.6738676026678,439,483,508,537,592,1.03954561168882,92
"N.A[15,2]",106.429866666667,12.7626643944939,82,97,106,115,132,1.07228091182347,48
"N.A[16,2]",888.76064,94.4703272039114,723,821,883,948,1096,1.13928203191465,30
"N.A[17,2]",388.18656,50.8600038763184,300,352,385,420,499,1.09223588501147,50
"N.A[18,2]",447.59872,44.9038305580731,370,415,445,477,548.649792597277,1.07108867170325,53
"N.A[19,2]",745.69888,64.1989960040522,627,698,745,792,869,1.21359573509594,19
"N.A[20,2]",297.044053333333,31.4683859393934,236,275,297,319,358,1.1403453214205,35
"N.A[21,2]",945.032533333333,125.226342154933,735,849,931,1035,1203,1.25767740009237,17
"N.A[22,2]",505.633813333333,68.1696542325056,393,451,499,560,637,1.34201897219773,14
"N.A[23,2]",526.043946666667,54.6074611447054,425,488,525,562,640,1.24623519043017,18
"N.A[24,2]",316.030933333333,30.1500532758771,260,294,315,337,376,1.13510897012306,28
"N.A[25,2]",797.719893333333,74.2228553997807,647,745,802,853,930,1.10358198234539,37
"N.A[1,3]",106.66464,17.4491294156161,78,95,105,116,150,1.09228894366912,49
"N.A[2,3]",421.012053333333,54.3491659253364,332,382,415,454,548,1.13035170357232,41
"N.A[3,3]",1078.92288,124.705985453807,871,987,1067,1161,1348.64991564388,1.11319765623107,39
"N.A[4,3]",195.08448,25.3760896126287,150,177,194,211,250,1.03968276679354,85
"N.A[5,3]",87.9073066666667,16.5259345466644,60,76,87,98,125,1.02985434688342,150
"N.A[6,3]",1052.96330666667,87.1495000026011,902,990,1044,1111,1238,1.12067941721967,32
"N.A[7,3]",83.8507733333333,13.1308355691929,61,75,83,92,113,1.06583168415462,53
"N.A[8,3]",781.187733333333,67.6534404760746,655,732,781,828,917,1.0414855897437,88
"N.A[9,3]",358.023893333333,42.4424316084982,285,328,355,384,451,1.24964094762927,18
"N.A[10,3]",512.9056,56.1361247640089,422,476,508,542,654,1.12447606286214,38
"N.A[11,3]",780.238933333333,86.3467468910675,632,717,770,838,959,1.13863970657781,29
"N.A[12,3]",159.561066666667,21.5505983647742,120,144,159,174,203,1.04818237345732,78
"N.A[13,3]",212.051946666667,26.3781758482463,168,193,209,229,269.649577843396,1.0734537217633,55
"N.A[14,3]",558.26816,45.8905687217553,476,526,555,588,653,1.03342613656774,100
"N.A[15,3]",90.2811733333333,14.0797388844742,65,80,89,99,120,1.0463086312511,72
"N.A[16,3]",1024.33301333333,114.294201659591,822,944,1016,1095.49988589684,1275,1.12124964239836,34
"N.A[17,3]",406.019093333333,56.1747019497163,310,366,402,440,531,1.07864650951595,58
"N.A[18,3]",395.0048,44.4526568507228,318,363,392,423,490.649768070079,1.07489284296284,50
"N.A[19,3]",937.606186666667,77.4712621730224,791.349856294598,882,936,993,1089.64989558951,1.1776720461608,22
"N.A[20,3]",512.837013333333,46.1298907268789,431,480,511,543,609,1.06290259412074,96
