"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[1,1]",358.3524,28.359475774655,313,336,355,378,417,1.46632840341767,11
"N.A[2,1]",822.7082,69.3305848724771,691.974982371232,776,822,868,965,1.76097536888064,9
"N.A[3,1]",839.1384,68.9866006964768,704,796,844,884,971,1.71424826341704,9
"N.A[4,1]",686.8984,71.5455199836156,565,639,676,734,846.024985605172,2.1278305597311,7
"N.A[5,1]",1139.9334,127.898666835255,912,1052,1128,1220,1418,2.26052286817139,7
"N.A[6,1]",427.374,37.2264164971199,362,399,426,455,502,1.53467327300847,10
"N.A[7,1]",1275.964,101.626194854949,1074.97498865584,1214,1279,1335,1493,1.36907889673329,14
"N.A[8,1]",872.7942,69.7299469342971,740,833,873,917,1015.02498800039,1.51397566036645,11
"N.A[9,1]",956.7348,104.440917508465,797,879,935,1031,1186.02498972956,2.20255340506546,7
"N.A[10,1]",695.84,60.5140511788627,571,660,695,736,822.024985185221,1.66961287874443,9
"N.A[11,1]",104.1218,9.4306071930924,88,97,104,111,122.024900638258,1.70660555255758,9
"N.A[12,1]",1113.9626,130.124551415235,917,1023,1086,1187,1410,2.33163021520322,7
"N.A[13,1]",41.397,4.40727532781457,34.9746450935491,38,41,45,50,2.11684116101546,7
"N.A[14,1]",128.8578,18.4608705078602,104,113,124,142,167,3.02106341424866,6
"N.A[15,1]",899.7708,96.1720212894362,760,830,882,965,1118,2.11688968218008,7
"N.A[16,1]",747.1622,89.7549635499696,615,684,723,799,964,2.46337839093281,7
"N.A[17,1]",562.1162,42.8653354700158,488,530,561,590,656.024981440117,1.36295647971316,13
"N.A[18,1]",449.136,34.7368800292547,373,429,450,472,515,1.58324065587552,10
"N.A[19,1]",438.8894,46.5913652805296,366,403,432,470,538,2.21443999349758,7
"N.A[20,1]",927.869,108.753363616118,732,841,924,1007,1138,2.46317082778531,7
"N.A[21,1]",170.7604,20.0285800955567,144,155,166,186,214.024943223658,2.37363858560199,7
"N.A[22,1]",685.2056,49.6737881149116,602,648,683.499817117752,716,794,1.23642251735115,18
"N.A[23,1]",644.5214,53.6945636286641,553,606,635,685,757,1.71430624063364,9
"N.A[24,1]",150.0498,16.5023812123322,121,136,152,163,179,2.53668311680746,6
"N.A[25,1]",398.1934,44.1462815566051,324,367,395,428,491.024975211438,2.33174704466084,7
"N.A[1,2]",382.0394,37.4572724192702,320,353,378,408,460,1.56110730212456,10
"N.A[2,2]",510.379,51.7669558941272,412,475,509,545,615,1.73798999567843,9
"N.A[3,2]",431.9178,43.8036390602309,347,402,434.499712312908,461,517,1.63624853460422,10
"N.A[4,2]",396.9292,50.5311989544435,313,362,389,429,506,2.05943466100251,7
"N.A[5,2]",666.2782,85.6938241126991,520,608,654,715,853,2.31075216560066,7
"N.A[6,2]",514.638,47.7510522250319,430.974971679471,478,513,550,607,1.61846923889328,10
"N.A[7,2]",780.7594,67.0384900148317,646,738,780,823,920,1.39070445324099,13
"N.A[8,2]",330.7534,33.2751143512238,266,309,331,352,398,1.37712259541238,13
"N.A[9,2]",340.4006,47.3119456763378,266,305,332,373,441,2.04987892406671,7
"N.A[10,2]",314.4416,34.6394943432157,247,292,314,337,384,1.66256151005303,9
"N.A[11,2]",159.0974,18.2600273537526,127,145,159,172,196,1.6024234869419,10
"N.A[12,2]",568.906,82.0270763361126,451,510,550,613,758,2.38482625538384,7
"N.A[13,2]",156.3592,22.7086439899518,118,139,154,173,202,2.17597735088686,7
"N.A[14,2]",298.028,52.8676594326132,224,253,287,339,404,3.22912689182572,6
"N.A[15,2]",434.5268,54.784519259277,348,394,426,469.24980035487,553,2.00194667557011,8
"N.A[16,2]",315.1738,46.3691968233526,248,281,305,343,424,2.3142969987856,7
"N.A[17,2]",348.2082,30.9479047323315,294,326,347,368,413,1.31732103534465,14
"N.A[18,2]",259.2794,26.0652108121714,205,243,260,277,309,1.56891766056139,10
"N.A[19,2]",351.6362,45.1937246098263,281,317,344,381,448,2.26860945619338,7
"N.A[20,2]",521.4264,70.2760209948271,399,467.749799429433,515,572,659,2.44556434989366,7
"N.A[21,2]",87.8814,13.8885532875993,65,78,86,97,117,1.84469320918336,8
"N.A[22,2]",360.3036,30.2550442171238,307,339,358,379,426,1.23384520454357,18
"N.A[23,2]",272.3188,31.1803016149902,220,249,269,294,338,1.60815738288732,10
"N.A[24,2]",67.8854,12.3460581511013,46,58,68,77,91.024867032475,1.96152145307372,8
"N.A[25,2]",240.4398,35.1238425122105,183,215,235,263,315,2.20745507134529,7
"N.A[1,3]",255.0112,28.9030820534842,206,234,253,274,317,1.35016473727331,14
"N.A[2,3]",452.289,47.2826501880104,366,419,452,483,547.024977746157,1.65759431194284,9
"N.A[3,3]",460.5082,45.4762745953339,371,431,462,490,550,1.53856053758924,11
"N.A[4,3]",380.2138,47.9942369344048,299,346,374,410,486,1.89698741805788,8
"N.A[5,3]",644.5708,83.3341124763469,501,588,634,695,826,2.1565687314852,7
"N.A[6,3]",389.765,42.822065817335,314,358,387,419,477,1.39882723338874,12
"N.A[7,3]",873.9348,78.264168078125,722,823,874,923,1038,1.30480715340162,15
"N.A[8,3]",431.5192,42.9410388547318,350,403,431,459,519,1.35941152369761,14
"N.A[9,3]",533.3782,69.6704037435665,426,483,520,580,685.02498222511,2.01165479593127,8
"N.A[10,3]",472.286,49.7644200559064,376,439,472,505,575.024978828583,1.48707908978379,11
"N.A[11,3]",119.583,16.44355159562,91,108,119,130,155,1.25988799520925,17
"N.A[12,3]",669.7422,92.6251047025818,533.97497714879,603,651,721,883,2.17926377152327,7
"N.A[13,3]",66.7226,12.2559247214625,47,57,65,75,93,1.71214622738312,9
"N.A[14,3]",192.7916,37.6806015741123,139,162,185,219,274,2.47373837499853,7
"N.A[15,3]",612.7392,77.7493393882872,490.974975144876,556,599,660,789.024984566107,2.00597412168108,8
"N.A[16,3]",436.5392,64.6068299164598,343.974964503272,389,422,474,593,2.2389055354719,7
"N.A[17,3]",377.2222,36.6844214417415,313,351,376,401,455,1.24413934567772,17
"N.A[18,3]",280.0282,30.2405605612828,218,260,280,300,339,1.38666544473655,13
"N.A[19,3]",279.6386,38.5170391190769,219.974944435937,251,273.499542961227,305,365,1.89709308890677,8
"N.A[20,3]",564.3778,77.5156990801268,430,504,560,622,717,2.2813125523232,7
"N.A[21,3]",125.3192,21.0854981208935,93,110,122,139,172,1.64916071731347,9
"N.A[22,3]",455.6584,41.7757292186546,380.97496795643,427,454,481,547,1.18962711490492,21
"N.A[23,3]",343.0062,37.3235096210698,280,315,340,368,420,1.5646066643873,10
