"WMD","NA"
"1",0.323238772650426
"2",0.322981782071476
"3",0.317680067754656
"4",0.336521110920549
"5",0.372645364726853
"6",0.323286070921443
"7",0.345254622131497
"8",0.316416717180217
"9",0.346527909110687
"10",0.336512803637626
"11",0.32019869938041
"12",0.327120851324898
"13",0.316415099495098
"14",0.318911816793569
"15",0.387704642821024
"16",0.325103193461195
"17",0.326462258064356
"18",0.302460961335226
"19",0.335881580767343
"20",0.367233596660136
"21",0.325726883735009
"22",0.330351537772891
"23",0.293549457018209
"24",0.33098299796936
"25",0.345982901976957
