"Location","Road_Density"
"130 Stillwater",0.756139142825455
"Albion (Cookson)",0.354935165709033
"Albion (Hawes Farm)",0.575291815732387
"Albion (Misty Brook Lower)",0.387689677611384
"Albion (Misty Brook)",0.42174097220706
"Bethel",-0.760707072205388
"Blaine Ave",-0.680992090245198
"Bowerbank Road",-0.717948570948443
"Brad St",0.119319905904011
"Bradbury",-1.25889712071063
"Bradford",-0.617421983096608
"Buckfield",0.228951731037483
"Burbank Hill",-0.427006376516337
"Butter Street",-0.481322776007492
"Canton",0.0485727446601726
"China (Ross)",0.6362680530784
"Cloud 9",-1.37150344085395
"Concord",-0.140102120720082
"Davis Oil",1.06857547526262
"Day",-0.0489095651921712
"Drummond/River Rd. Jct.",0.20678271501499
"E. Dixfield",-0.0211917065028251
"East Machias",-1.04480531503127
"Elliotsville Road",-1.15810544490729
"Emera",1.15255194428687
"Essex",1.10511538566891
"Euguly",-1.16084947217226
"Fernald Farm (Poland)",1.59165534921068
"Fortin Farm",0.436903295898855
"Glenburn",0.929428026128024
"Gorham (DiagleFarm)",2.61029918442279
"Gray Fire Department",1.2171841560059
"Guptill Road",-1.4685312704602
"Hill Farm (Houlton)",0.00178024288752945
"Horseback",-1.36212444694067
"Howland",-0.864236249394036
"Jonesboro",-0.964826865876675
"Junkyard",0.830106793217975
"Laskey (Grey)",1.5951202113848
"Lincoln",-0.835776866203476
"Lincoln 3.6.2020",-0.787517174140941
"Lincoln Mill",-0.823976616270067
"Madden",-1.22351901797924
"Maple Lane",-0.356485412049444
"Martin",-1.03861485528883
"McAllister's",1.07390667505678
"McGinnis",-0.597263815097807
"Millvale Road",-0.023062938218174
"Monroe (Cunningham)",0.215338947795307
"Monroe (Doak)",0.293406443344326
"Monson",-1.12277270151751
"Mosher Corner (Gray)",3.13880506321076
"Mount View",-0.00673430973543213
"Myra",-1.39754421079664
"Myra Rd",-1.38018739876818
"Newburgh",1.03150740862417
"Papermill Road",1.11671201497823
"Parker",-0.510249777170315
"Paul",-1.30411367819914
"Perry",1.15981888447151
"Pollis",-1.30411367819914
"Quaker Hill Road",-0.0452856515495744
"Roger's Farm",0.339823703612781
"Rumford 12.20.2018",-0.474017023210986
"Rust Farm",2.42797728608284
"Sanborn",-0.0652034535552878
"Sewall",0.73606647232485
"Smith (Corinna)",0.200558187392603
"Smith (Stockton Springs)",0.036376978045531
"Smith Lane",-0.857951342926781
"Strong Site 3.5.2020",-0.331256273632517
"Sydney (Bragg Farm)",0.763218120007925
"Ward Hill",-0.104820639788033
"Winterport (Hodgman)",0.332020548976113
