AlumBand,TransFreq,Date,Fate,Lat1,Long1,Bear1,Lat2,Long2,Bear2,Lat3,Long3,Bear3,Notes,Recovered,Downloaded,
141,150.952,3/18/2020,L,44.29844,-70.38329,192,,,,,,,,,,
141,150.952,3/26/2020,L,44.29870,-70.39235,355,,,,,,,,,,
141,150.952,4/1/2020,L,44.29686,-70.38960,320,,,,,,,,,,
141,150.952,4/8/2020,L,44.29699,-70.38895,150,,,,,,,,,,
141,150.952,4/16/2020,L,44.29699,-70.38895,20,,,,,,,,,,
141,150.952,4/22/2020,L,44.299385,-70.383526,260,,,,,,,,,,
141,150.952,4/29/2020,L,44.299385,-70.383526,20,,,,,,,,,,
141,150.952,5/7/2020,L,44.299184,-70.383962,354,,,,,,,,,,
141,150.952,5/12/2020,L,44.29993,-70.38980,220,,,,,,,,,,
141,150.952,5/19/2020,L,44.29938,-70.38347,224,,,,,,,,,,
141,150.952,5/28/2020,L,44.29937,-70.38331,50,,,,,,,,,,
141,150.952,6/8/2020,L,44.29937,-70.38331,30,,,,,,,,,,
141,150.952,6/14/2020,L,44.30151,70.88898,90,,,,,,,,,,
141,150.952,6/28/2020,L,44.29999,-70.38375,10,,,,,,,,,,
142,150.111,3/18/2020,L,44.29844,-70.38329,192,,,,,,,,,,
142,150.111,3/26/2020,L,44.29870,-70.39235,355,,,,,,,,,,
142,150.111,4/1/2020,L,44.29686,-70.38960,320,,,,,,,,,,
142,150.111,4/8/2020,L,44.29699,-70.38895,150,,,,,,,,,,
142,150.111,4/16/2020,L,44.29699,-70.38895,20,,,,,,,,,,
142,150.111,4/22/2020,L,44.299385,-70.383526,190,,,,,,,,,,
142,150.111,4/29/2020,L,44.299385,-70.383526,20,,,,,,,,,,
142,150.111,5/7/2020,L,44.299184,-70.383962,354,,,,,,,,,,
142,150.111,5/12/2020,L,44.29993,-70.38980,220,,,,,,,,,,
142,150.111,5/19/2020,L,44.29938,-70.38347,224,,,,,,,,,,
142,150.111,5/28/2020,L,44.29937,-70.38331,50,,,,,,,,,,
142,150.111,6/8/2020,L,44.29937,-70.38331,30,,,,,,,,,,
