Study.Area,Location,Town,WMD,Region,Date,AlumBand,Rivet Band,TransFreq,Trans.Type,GPS ID,Color Band,Pat Tag,Recapture,Tier Init,Trans On?,Sex,Age,Bld Red,Bld  Purp,ClclSwb,CapTube,Weight (lbs),Spur ,Beard,Tarsus,Time.Fired,Release Time,Hematoma,Flock.Size,Comments,Comments 2
NC,130 Stillwater,Orono,26,B,1/31/2020,466,T415,149.126,GPS_Back,46733,,,Y,AB,X,M,A,Y,Y,Y,,17,1.5,18.5,15,12:40,13:57,,8,,
NC,130 Stillwater,Orono,26,B,1/31/2020,451,T401,150.721,VHF_Neck,,,,Y,AB,X,M,A,Y,Y,Y,,17,2.5,9.5,15.5,12:40,13:57,,8,,
NC,130 Stillwater,Orono,26,B,1/31/2020,547,T1352,,,,,,N,,,M,A,,,,X,17,1.6,7.5,15.5,12:40,14:38,,8,,
NC,130 Stillwater,Orono,26,B,1/31/2020,548,T1353,,,,,,N,,,M,A,,,,X,17.5,2.4,21,14.25,12:40,14:38,,8,,
NC,130 Stillwater,Orono,26,B,1/31/2020,549,T1351,149.143,VHF_Neck,,,,N,AB,X,M,A,Y,Y,Y,,14.5,1.8,9,15,12:40,13:57,,8,,
NC,130 Stillwater,Orono,26,B,1/31/2020,550,T1354,,,,,,N,,,M,A,,,,X,16.5,1.3,18,15.5,12:40,14:38,,8,,
WMD 23,Albion (Cookson),Albion,23,B,3/7/2019,221,T371,,,,,,N,,,M,J,,,,,13.5,0.4,8.1,16,,15:44,0,40,25 On Bait,
WMD 23,Albion (Cookson),Albion,23,B,3/7/2019,222,T372,,,,,,N,,,M,J,,,,,13.5,0.4,3.5,16,,15:41,0,40,25 On Bait,
WMD 23,Albion (Cookson),Albion,23,B,3/7/2019,223,T373,,,,,,N,,,M,J,,,,,13.5,0.5,5,16.5,,15:34,0,40,25 On Bait,
WMD 23,Albion (Cookson),Albion,23,B,3/7/2019,224,T374,,,,,,N,,,M,J,,,,,14.5,0.5,8.7/4.2,,,15:30,0,40,25 On Bait,Double Beard
WMD 23,Albion (Cookson),Albion,23,B,3/7/2019,606,T306,,,,,,N,,,M,J,,,,,15.5,0.7,9.2,16,13:40,14:15,0,40,25 On Bait,
WMD 23,Albion (Cookson),Albion,23,B,3/7/2019,607,T307,,,,,,N,,,M,J,,,,,13.5,0.4,7.4,16,13:40,14:21,0,40,25 On Bait,
WMD 23,Albion (Cookson),Albion,23,B,3/7/2019,608,T308,,,,,,N,,,M,A,,,,,17.5,2,22.6,15.8,13:40,14:27,0,40,25 On Bait,
WMD 23,Albion (Cookson),Albion,23,B,3/7/2019,609,T309,,,,,,N,,,M,J,,,,,14.5,0.7,6.2,16,13:40,14:38,0,40,25 On Bait,
