Name,Estimate,Year,Age,Trial ,Model
Bias,-0.003475153,1,A,1,D
Bias,-0.010885794,2,A,1,D
Bias,-0.015130276,3,A,1,D
Bias,0.00041859,4,A,1,D
Bias,0.011379174,5,A,1,D
Bias,0.006682076,6,A,1,D
Bias,-0.056053003,1,J,1,D
Bias,-0.042352966,2,J,1,D
Bias,-0.023920361,3,J,1,D
Bias,-0.03519191,4,J,1,D
Bias,-0.028219738,5,J,1,D
Bias,-0.051423605,6,J,1,D
Est,0.239324209,1,A,1,D
Est,0.234004073,2,A,1,D
Est,0.242808847,3,A,1,D
Est,0.22053813,4,A,1,D
Est,0.236169846,5,A,1,D
Est,0.241024346,6,A,1,D
Est,0.159313873,1,J,1,D
Est,0.155755028,2,J,1,D
Est,0.161851396,3,J,1,D
Est,0.146303021,4,J,1,D
Est,0.157251997,5,J,1,D
Est,0.160619008,6,J,1,D
Real,0.235849057,1,A,1,Real
Real,0.22311828,2,A,1,Real
Real,0.227678571,3,A,1,Real
Real,0.22095672,4,A,1,Real
Real,0.24754902,5,A,1,Real
Real,0.247706422,6,A,1,Real
Real,0.10326087,1,J,1,Real
Real,0.113402062,2,J,1,Real
Real,0.137931034,3,J,1,Real
Real,0.111111111,4,J,1,Real
Real,0.129032258,5,J,1,Real
Real,0.109195402,6,J,1,Real
Bias,0.058042176,1,A,1,I
Bias,0.042620861,2,A,1,I
Bias,0.040733028,3,A,1,I
Bias,0.035052311,4,A,1,I
Bias,0.050224824,5,A,1,I
Bias,0.039055817,6,A,1,I
Bias,-0.057490628,1,J,1,I
Bias,-0.049798383,2,J,1,I
Bias,-0.031152851,3,J,1,I
Bias,-0.056998795,4,J,1,I
Bias,-0.049510546,5,J,1,I
Bias,-0.079700316,6,J,1,I
Est,0.177806881,1,A,1,I
Est,0.180497418,2,A,1,I
Est,0.186945543,3,A,1,I
Est,0.185904409,4,A,1,I
Est,0.197324196,5,A,1,I
Est,0.208650605,6,A,1,I
Est,0.160751497,1,J,1,I
Est,0.163200445,2,J,1,I
Est,0.169083885,3,J,1,I
Est,0.168109906,4,J,1,I
Est,0.178542804,5,J,1,I
Est,0.188895718,6,J,1,I
Bias,-0.07246914,1,A,1,L
Bias,-0.057896416,2,A,1,L
Bias,-0.058531723,3,A,1,L
Bias,-0.040780858,4,A,1,L
Bias,-0.025306823,5,A,1,L
Bias,-0.024849243,6,A,1,L
Bias,-0.056021565,1,J,1,L
Bias,-0.030143003,2,J,1,L
Bias,-0.008577811,3,J,1,L
Bias,-0.021599977,4,J,1,L
Bias,-0.00994357,5,J,1,L
Bias,-0.0295838,6,J,1,L
Est,0.308318197,1,A,1,L
Est,0.281014696,2,A,1,L
Est,0.286210295,3,A,1,L
Est,0.261737578,4,A,1,L
Est,0.272855842,5,A,1,L
Est,0.272555665,6,A,1,L
Est,0.159282434,1,J,1,L
Est,0.143545065,2,J,1,L
Est,0.146508846,3,J,1,L
Est,0.132711088,4,J,1,L
Est,0.138975828,5,J,1,L
Est,0.138779202,6,J,1,L
Bias,-0.066520012,1,A,1,K
Bias,-0.054086192,2,A,1,K
Bias,-0.052734772,3,A,1,K
Bias,-0.035387617,4,A,1,K
Bias,-0.021235692,5,A,1,K
Bias,-0.023351588,6,A,1,K
Bias,-0.058780707,1,J,1,K
Bias,-0.033676698,2,J,1,K
Bias,-0.010997964,3,J,1,K
Bias,-0.023834196,4,J,1,K
Bias,-0.013072349,5,J,1,K
Bias,-0.03425141,6,J,1,K
Est,0.302369068,1,A,1,K
Est,0.277204472,2,A,1,K
Est,0.280413343,3,A,1,K
Est,0.256344337,4,A,1,K
Est,0.268784711,5,A,1,K
Est,0.27105801,6,A,1,K
Est,0.162041577,1,J,1,K
Est,0.14707876,2,J,1,K
Est,0.148928999,3,J,1,K
Est,0.134945308,4,J,1,K
Est,0.142104607,5,J,1,K
Est,0.143446813,6,J,1,K
Bias,-0.04665453,1,A,1,M
Bias,-0.040227128,2,A,1,M
Bias,-0.038448022,3,A,1,M
Bias,-0.021370449,4,A,1,M
Bias,-0.008263751,5,A,1,M
Bias,-0.011237427,6,A,1,M
Bias,-0.036390147,1,J,1,M
Bias,-0.015804532,2,J,1,M
Bias,0.007166084,3,J,1,M
Bias,-0.006901299,4,J,1,M
Bias,0.003906128,5,J,1,M
Bias,-0.01759036,6,J,1,M
Est,0.282503586,1,A,1,M
Est,0.263345407,2,A,1,M
Est,0.266126594,3,A,1,M
Est,0.242327169,4,A,1,M
Est,0.25581277,5,A,1,M
Est,0.258943849,6,A,1,M
Est,0.139651016,1,J,1,M
Est,0.129206593,2,J,1,M
Est,0.13076495,3,J,1,M
Est,0.118012411,4,J,1,M
Est,0.12512613,5,J,1,M
Est,0.126785763,6,J,1,M
