WMD,COUNT,AREA,MEAN
1,5823129,3734482388,0.002239873
2,4905891,3146240370,0.00196159
3,4082186,2617982827,0.015066648
4,8523676,5466394082,0.000834247
5,6418632,4116389687,0.001103904
6,5797017,3717736271,0.013795737
7,5950141,3815937578,0.00537552
8,8761997,5619233832,0.002248417
9,4706918,3018635234,0.00153581
10,4021722,2579206124,0.005078473
11,7143865,4581495280,0.00840965
12,4094854,2626107054,0.016962321
13,2348112,1505888485,0.017969587
14,3382643,2169352716,0.007491691
15,4453006,2855796683,0.031254722
16,3605284,2312136585,0.031195241
17,5875074,3767795696,0.023508047
18,5317139,3409981464,0.010308585
19,5255649,3370546768,0.004056483
20,2682523,1720352563,0.046776878
21,2809127,1801546095,0.050474413
22,2512830,1611525244,0.04056194
23,3770322,2417978566,0.029902269
24,1545862,991390438.7,0.042362331
25,3570363,2289741090,0.027184311
26,4502139,2887306602,0.024439699
27,8751962,5612798197,0.007175164
28,4700492,3014514120,0.008240769
29,17815961,11425711604,0.007765803
30,978067,627252802.8,0.002205098
