"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"HR.A.year[1]",0.0866616842613567,0.0370088286386053,0.0270833496075716,0.0593098095669984,0.0825751781746684,0.109943627094519,0.167796896157178,1.08864540378589,49
"HR.A.year[2]",0.272638087089689,0.0476178637008111,0.179265455152069,0.240392377155564,0.273534778750178,0.303940743531129,0.365401526187297,1.27866438006086,19
"HR.A.year[3]",0.26178395015332,0.0488114859952606,0.169416494335226,0.22710261787554,0.264096905479326,0.296368163254201,0.354319351509157,1.54407579583361,12
"HR.A.year[4]",0.224288142704127,0.0602745355989102,0.11472592422602,0.18023911496348,0.225741367792913,0.267255704681903,0.34082975104756,1.64810824829971,11
"HR.J.year[1]",0.0201764706077039,0.00868653369907979,0.0066691574636361,0.0137071532848998,0.0189139387248572,0.0255260785572374,0.0398210931051982,1.01738667698248,220
"HR.J.year[2]",0.0693336337706546,0.0132764011141761,0.047418054310299,0.0597372291636335,0.0678643249818009,0.0776450822404614,0.0989203359836314,1.24281219625296,21
"HR.J.year[3]",0.0659352893002775,0.0116534398248376,0.0439717895927808,0.0576967017695622,0.0656589192697105,0.0738665667455174,0.0890409881966276,1.14594199872767,31
"HR.J.year[4]",0.0550113888948299,0.0132465648701501,0.0334360422233064,0.045580035581519,0.0529890174065681,0.0629860078948266,0.0855081575452531,1.14027056894232,33
"N.A[1,1]",255.991333333333,51.8843180300421,190,221,241,277,392,1.80888326244879,10
"N.A[2,1]",60.6251555555556,13.9268829088415,41,51,58,67,96,1.53187657131319,12
"N.A[3,1]",31.5396888888889,8.15376134511973,19,26,30,36,52,1.36302224752077,15
"N.A[4,1]",27.3870666666667,7.33908834368023,16,22,26,31,46,1.33537437937043,16
"N.A[5,1]",172.060577777778,35.9993952967427,126,147,162,187,266,1.74321956049281,10
"N.A[6,1]",524.959155555556,102.057460762553,398,456,494,564,796,1.84903388915774,10
"N.A[7,1]",605.030977777778,118.829860060346,459,525,568,651,922,1.89182025101102,9
"N.A[8,1]",132.542977777778,26.652335972253,97,114,126,144,200,1.66528168531504,11
"N.A[9,1]",1474.82595555556,283.496257358787,1133,1286,1384,1580,2232,1.91153079980543,9
"N.A[10,1]",1861.77955555556,361.183748883585,1430,1620,1743,1993,2833,1.93550754536978,9
"N.A[11,1]",2275.06426666667,441.788180309003,1748,1978,2131,2440,3468.52496405138,1.94068996672314,9
"N.A[12,1]",369.461822222222,74.1964375654658,277,319,347,398,567,1.84561898456293,10
"N.A[13,1]",121.951111111111,25.8361174647584,87,104,115,133,188.524338497442,1.67278412301981,11
"N.A[14,1]",1436.75053333333,281.250971107645,1100,1249,1345,1541,2193,1.92721413550734,9
"N.A[15,1]",1444.7472,280.039700225784,1108,1258,1355,1548,2199,1.91311594010683,9
"N.A[16,1]",2158.172,419.762656803318,1659,1877,2021,2312.24995946092,3289,1.93519615697345,9
"N.A[17,1]",2194.08764444444,423.071706705674,1688,1910,2057,2351,3335,1.92962224732956,9
"N.A[18,1]",1303.44573333333,251.230573116611,1001,1134,1223,1397,1976,1.91262979782957,9
"N.A[19,1]",2139.41551111111,407.520845745007,1650,1867,2008,2289,3232,1.93161321807945,9
"N.A[20,1]",1085.30395555556,211.426322689792,831,943,1018,1166,1650,1.91654018200767,9
"N.A[21,1]",168.504311111111,34.5529664198865,123,145,159,183,259,1.72745064216142,10
"N.A[1,2]",244.4684,52.6139883234138,178,209,229,266,383,1.79971976085461,10
"N.A[2,2]",27.0979111111111,8.08530264379912,15,21,26,31,46,1.27409798177759,18
"N.A[3,2]",43.7594222222222,11.7497589749745,27,36,41,49,73,1.47413985550902,13
"N.A[4,2]",60.1193333333333,14.7221576497255,39,50,57,67,98,1.56194154675986,12
"N.A[5,2]",280.489244444444,63.679622239054,203,237,261,304,452,1.8772513447897,9
"N.A[6,2]",560.753377777778,103.792511264581,433,491,529,600,839,1.87000933932351,10
"N.A[7,2]",490.276088888889,101.088869569827,364,422,460,529,760,1.82127676912882,10
"N.A[8,2]",120.588933333333,21.7231048913221,91,105,115,130,175,1.61159041691918,11
"N.A[9,2]",1700.35782222222,317.361502005818,1318,1488,1598,1821,2556,1.93566692141792,9
"N.A[10,2]",1358.97942222222,276.600329654729,1015,1175,1273,1465,2093,1.82708689536857,10
"N.A[11,2]",1787.93466666667,364.704944588033,1343,1544.74993929747,1673,1923,2765,1.86209040321922,10
"N.A[12,2]",325.389022222222,70.264117896454,237,278,305,352,511,1.81089037297798,10
"N.A[13,2]",150.729511111111,33.7013627066856,107,128,142,165,240,1.76033585584785,10
"N.A[14,2]",1994.00142222222,409.055693492266,1513.4749176169,1720,1858,2138,3103,1.99272094418461,9
"N.A[15,2]",1657.92551111111,321.570055022189,1274,1443,1554,1776.24994723017,2524,1.94252792072002,9
"N.A[16,2]",1741.12102222222,355.056050176448,1305,1504,1630,1875,2684,1.85224551361914,10
"N.A[17,2]",1831.92657777778,359.242030177906,1393,1592,1718,1968,2793,1.86743057014528,10
"N.A[18,2]",1544.89817777778,293.788055059091,1193,1348,1450,1654,2337,1.95272397941785,9
"N.A[19,2]",1491.54626666667,282.417698107105,1134,1302,1407,1599,2229,1.79085774393951,10
"N.A[20,2]",981.070933333333,197.768546559795,738,849,919,1055,1508,1.87368883827809,9
"N.A[21,2]",130.846355555556,27.9597453481612,93,112,124,143,202,1.64434305707753,11
"N.A[1,3]",187.720088888889,42.8086853614049,130,158,177,207,297,1.55134879740919,12
"N.A[2,3]",38.3684,11.1107371110194,22,31,37,44,66,1.18416884001643,26
"N.A[3,3]",20.4538222222222,6.98961730327025,10,15,19,24,37,1.19261320354314,24
"N.A[4,3]",31.7844,9.86142737504707,18,25,30,37,56,1.19567756157509,24
"N.A[5,3]",206.425688888889,48.7497497611465,142,173,194,227,332,1.59518655335968,11
"N.A[6,3]",551.672222222222,112.298927013356,407,475,521,595,849,1.73137740557971,10
"N.A[7,3]",458.692888888889,98.0204576997067,334,392,431,497,714.524825487794,1.74674443927734,10
"N.A[8,3]",165.250311111111,36.7652637583306,114,140,157,181,260,1.49182823825854,13
"N.A[9,3]",1905.11764444444,366.800205378945,1463,1656,1791,2043,2883,1.87534098634155,9
"N.A[10,3]",1267.06448888889,256.310115489631,952,1093,1189,1368,1953,1.82153108753096,10
"N.A[11,3]",1965.42426666667,395.169264138671,1490,1701,1839,2109,3024,1.89565992184783,9
"N.A[12,3]",277.238666666667,63.0158277664514,195,234,260,304,441,1.65718833182957,11
"N.A[13,3]",77.5363555555556,21.1117207740257,47,63,73,87,131,1.38526283557673,15
"N.A[14,3]",1596.87013333333,336.027380559653,1182,1371,1494,1724,2477.52494967188,1.81787488930032,10
"N.A[15,3]",1793.07395555556,349.390924702862,1368,1557,1686,1925.24995131345,2722.52495420096,1.88691561318172,9
"N.A[16,3]",1537.87933333333,297.576129937505,1177,1339,1445,1646,2332,1.86049325933211,10
"N.A[17,3]",1485.46568888889,291.134155376921,1126,1289,1395,1602,2252,1.84010503058864,10
"N.A[18,3]",1330.00862222222,257.901667014313,1012,1155,1251,1431,2011,1.86345638850135,10
"N.A[19,3]",1463.35946666667,280.833826727308,1115,1273.74992637916,1381,1567,2214,1.8283679647984,10
"N.A[20,3]",1137.18151111111,227.144640105634,859,984,1067,1223,1738,1.86894983541723,10
"N.A[21,3]",109.153377777778,26.3974548595647,71,91,104,122,177,1.41201928333996,14
"N.A[1,4]",224.452177777778,51.7872937943007,156,189,212,247,357,1.61597689518231,11
"N.A[2,4]",43.8925777777778,14.6031299717924,22,34,41,51,80,1.24446590263631,20
